basin_id;basin_name;population;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;average;low;moderate;significant;severe
39;Mezen;42092;0.1069;8.8700;14.5605;0.0102;0.0038;0.0103;0.0192;0.0319;0.0499;0.0460;0.1032;0.1708;1.9985;12;0;0;0
40;Iijoki;62828;0.7374;675.6757;675.6757;0.0524;0.0697;0.1756;0.2987;0.4619;0.4464;0.2317;0.6793;1.1239;112.97;10;0;0;2
41;Joekulsa A Fjoellum;762;0.0150;675.6757;675.6757;0.1984;0.0015;0.0019;0.0048;0.0076;0.0077;0.0051;0.0137;0.0229;112.64;10;0;0;2
42;Svarta. Skagafiroi;2060;0.0554;675.6757;0.1037;0.0246;0.0084;0.0077;0.0206;0.0342;0.0400;0.0200;0.0442;0.0845;56.343;11;0;0;1
43;Oulujoki;196925;0.9418;194.5674;270.9785;0.0403;0.1309;0.2469;0.4362;0.7037;0.5771;0.3101;0.8793;1.4547;39.272;10;0;1;1
44;Lagarfljot;3054;0.0400;675.6757;675.6757;0.2021;0.0038;0.0061;0.0139;0.0195;0.0175;0.0146;0.0352;0.0609;112.65;10;0;0;2
45;Thelon ;2168;0.0151;104.2937;156.8097;225.3312;0.0012;0.0007;0.0021;0.0036;0.0043;0.0084;0.0140;0.0231;40.542;9;1;1;1
46;Angerman;66555;0.1709;108.7415;162.8558;0.0146;0.0167;0.0219;0.0476;0.0704;0.0768;0.0615;0.1582;0.2619;22.708;10;1;1;0
47;Thjorsa;1985;0.0065;0.0826;0.0299;0.0024;0.0016;0.0021;0.0041;0.0047;0.0041;0.0033;0.0057;0.0095;0.0130;12;0;0;0
48;Northern Dvina(Severnaya Dvina);1718380;1.5931;46.3197;73.3917;0.0365;0.0942;0.2056;0.3492;0.5502;0.8113;0.7758;1.6744;2.7678;10.714;12;0;0;0
49;Oelfusa;7587;0.0296;675.6757;0.0347;0.0065;0.0162;0.0163;0.0198;0.0281;0.0238;0.0170;0.0258;0.0350;56.327;11;0;0;1
50;Nizhny Vyg (Soroka);86906;0.3985;675.6757;675.6757;0.0151;0.0507;0.0888;0.1487;0.2461;0.1958;0.1314;0.3671;0.6075;112.80;10;0;0;2
51;Kuskokwim ;11404;0.0227;20.4901;33.2636;53.3575;0.0018;0.0037;0.0053;0.0053;0.0054;0.0120;0.0210;0.0347;8.9353;12;0;0;0
52;Vuoksi;750077;2.4651;675.6757;675.6757;0.0784;0.2890;0.5207;0.9400;1.6671;1.6837;0.8682;2.1329;3.7524;113.8124;10;0;0;2
53;Onega;176080;0.7413;59.1222;92.5763;0.0157;0.0561;0.1120;0.1881;0.2819;0.3877;0.2997;0.7102;1.1819;12.9728;12;0;0;0
54;Susitna ;30093;0.0600;34.0115;54.5130;0.0210;0.0113;0.0107;0.0156;0.0188;0.0158;0.0279;0.0557;0.0921;7.4044;12;0;0;0
55;Kymijoki;587655;3.4503;675.6757;675.6757;0.1406;0.5170;0.9373;1.6307;2.9313;3.3671;2.1029;2.0639;5.2481;114.4784;10;0;0;2
56;Neva;4244810;3.3585;378.5483;458.3735;0.1251;0.5531;1.1039;1.6824;2.9494;2.6044;1.5526;2.3799;5.1865;71.5348;10;0;0;2
57;Ferguson ;7;0.0006;675.6757;675.6757;675.6757;675.6757;0.0000;0.0001;0.0001;0.0002;0.0003;0.0005;0.0008;225.2254;8;0;0;4
58;Copper;4949;0.0114;675.6757;675.6757;0.7201;0.0017;0.0012;0.0017;0.0030;0.0031;0.0056;0.0105;0.0174;112.6773;10;0;0;2
59;Gloma;759489;1.5345;675.6757;72.0236;0.2514;0.2825;0.4131;1.0384;1.5595;0.7779;0.6430;1.2754;2.3375;63.1510;11;0;0;1
60;Kokemaenjoki;773376;3.6118;531.9680;580.8959;0.2335;0.8757;1.6857;3.0361;5.7593;7.2883;5.6361;1.7038;5.5237;95.6848;10;0;0;2
61;Vaenern-Goeta;1485740;1.1060;407.7808;0.5864;0.2466;0.6221;1.1629;2.1068;2.2544;1.7350;0.8982;0.8196;1.2777;35.0497;11;0;0;1
62;Thlewiaza ;52;0.0019;0.0168;0.0279;0.0462;0.0001;0.0003;0.0005;0.0008;0.0009;0.0018;0.0030;0.0050;0.0088;12;0;0;0
63;Alsek;1032;0.0115;675.6757;675.6757;0.0056;0.0013;0.0012;0.0030;0.0045;0.0034;0.0048;0.0106;0.0175;112.6179;10;0;0;2
64;Volga;61273800;18.7675;394.2596;77.6644;0.5405;5.9489;13.9749;32.6405;44.8040;25.8475;12.5620;19.0591;30.5202;56.3824;11;0;0;1
65;Dramselv;282181;1.2364;675.6757;3.3103;0.2605;0.2243;0.2948;0.7559;0.6801;0.4876;0.5076;1.0535;1.8838;57.1975;11;0;0;1
66;Arnaud;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
67;Nushagak ;1469;0.0072;675.6757;675.6757;0.0028;0.0008;0.0021;0.0036;0.0029;0.0024;0.0027;0.0066;0.0110;112.6161;10;0;0;2
68;Seal ;1075;0.0284;2.2860;3.7765;6.2298;0.0010;0.0025;0.0049;0.0083;0.0086;0.0149;0.0275;0.0455;1.0362;12;0;0;0
69;Taku ;1896;0.0137;675.6757;675.6757;0.0073;0.0024;0.0026;0.0057;0.0075;0.0057;0.0047;0.0126;0.0209;112.6195;10;0;0;2
70;Narva;1216700;1.1267;675.6757;675.6757;0.1333;0.4887;0.8989;1.5987;2.7350;2.4014;1.0986;0.5488;1.7169;113.6749;10;0;0;2
71;Stikine ;1568;0.0027;0.0083;0.0098;0.0030;0.0005;0.0004;0.0009;0.0013;0.0013;0.0015;0.0026;0.0036;0.0030;12;0;0;0
72;Churchill;90521;0.3832;15.0663;24.5885;0.1000;0.0310;0.0486;0.1009;0.1790;0.1798;0.1929;0.3980;0.6467;3.4929;12;0;0;0
73;Feuilles (Riviere Aux);0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
74;George ;32;0.0001;675.6757;675.6757;675.6757;0.0000;0.0000;0.0000;0.0000;0.0000;0.0001;0.0001;0.0002;168.9190;9;0;0;3
75;Caniapiscau;921;0.0013;3.5727;5.8949;9.7045;0.0002;0.0002;0.0005;0.0005;0.0005;0.0005;0.0012;0.0020;1.5983;12;0;0;0
76;Western Dvina (Daugava);2722530;1.8779;675.6757;675.6757;0.1683;0.8318;1.3203;2.1295;3.9982;4.1818;1.7154;0.9372;2.8599;114.2810;10;0;0;2
77;Aux Melezes;0;0.0000;0.0001;0.0001;0.0002;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
78;Baleine. Grande Riviere De La;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12;0;0;0
79;Spey;33166;0.0276;0.0648;0.0754;0.0967;0.1335;0.2276;0.3020;0.2516;0.1623;0.0838;0.0536;0.0452;0.1270;12;0;0;0
80;Kamchatka;25845;0.0354;675.6757;675.6757;675.6757;0.0025;0.0034;0.0045;0.0094;0.0128;0.0158;0.0326;0.0540;168.9331;9;0;0;3
81;Nass ;2984;0.0095;675.6757;0.0123;0.0029;0.0017;0.0022;0.0049;0.0066;0.0054;0.0038;0.0070;0.0144;56.3122;11;0;0;1
82;Skeena ;44896;0.1392;675.6757;0.1440;0.0334;0.0170;0.0210;0.0487;0.0746;0.0774;0.0649;0.0988;0.2122;56.3839;11;0;0;1
83;Nelson ;5565740;10.6111;445.2628;517.9683;1.6745;4.3406;6.7529;22.0372;53.1586;30.7679;13.2025;15.3836;18.1928;94.9461;10;0;0;2
84;Hayes(Trib. Hudson Bay);14490;0.1425;6.8887;11.3298;18.5545;0.0069;0.0128;0.0236;0.0436;0.0607;0.0662;0.1425;0.2359;3.1256;12;0;0;0
85;Gudena;450260;0.7725;1.7341;1.9385;2.6081;14.0339;59.5984;112.0430;88.2416;34.2315;3.5815;1.6054;1.2729;26.8051;11;1;0;0
86;Skjern A;165149;0.2051;0.5425;0.5953;0.8109;2.9862;23.6276;71.7729;25.0077;2.3335;0.4362;0.3745;0.3153;10.7506;12;0;0;0
87;Neman;5486880;3.0800;675.6757;0.8975;0.2769;1.3269;2.4125;3.9804;8.6425;9.0307;5.0106;1.4274;4.6861;59.7039;11;0;0;1
88;Fraser ;1293950;1.0887;4.1076;1.8251;0.3172;0.2112;0.3932;1.0526;2.0592;1.9651;1.2463;1.3723;1.7180;1.4464;12;0;0;0
89;Severn(Trib. Hudson Bay);6792;0.0383;675.6757;675.6757;0.0234;0.0028;0.0068;0.0125;0.0196;0.0159;0.0134;0.0353;0.0584;112.6315;10;0;0;2
90;Amur;66165300;2.3397;521.2252;583.0320;5.2005;13.2247;21.5499;13.8500;7.6117;5.1800;1.6269;2.4543;3.7789;98.4228;10;0;0;2
91;Tweed;410100;0.2833;0.6803;0.7247;1.0310;1.4757;2.3049;3.6323;3.2983;2.0209;0.9507;0.5236;0.4457;1.4476;12;0;0;0
92;Grande Riviere De La Baleine;558;0.0039;675.6757;675.6757;675.6757;0.0006;0.0009;0.0016;0.0017;0.0015;0.0014;0.0036;0.0059;168.9207;9;0;0;3
93;Grande Riviere;1489;0.0018;5.7732;9.5054;15.5940;0.0002;0.0005;0.0008;0.0008;0.0007;0.0006;0.0017;0.0028;2.5735;12;0;0;0
94;Winisk ;6079;0.0228;9.8254;16.1141;0.0059;0.0020;0.0046;0.0083;0.0137;0.0086;0.0082;0.0212;0.0351;2.1725;12;0;0;0
95;Churchill. Fleuve (Labrador);8629;0.0169;675.6757;675.6757;675.6757;0.0019;0.0026;0.0048;0.0061;0.0063;0.0064;0.0156;0.0258;168.9261;9;0;0;3
96;Dniepr;33021400;34.2662;644.7999;2.9522;1.8461;14.6912;31.8020;64.5964;95.0040;78.3234;40.3521;20.2612;49.4290;89.8603;11;0;0;1
97;Ural;4062630;11.9059;675.6757;23.3896;1.3940;18.1114;52.6754;129.1008;160.5030;107.4429;53.2321;7.6609;17.9977;104.9241;8;2;1;1
98;Wisla;23550100;22.6110;565.7106;1.6714;3.1849;5.9859;10.3701;15.0563;25.8574;32.2579;28.8399;18.5007;25.2522;62.9415;11;0;0;1
99;Don;20897900;64.4618;675.6757;4.7994;3.6403;44.5117;98.6588;173.9061;221.6794;155.5283;87.4480;47.4902;93.6223;139.2852;8;0;2;2
100;Oder ;16525600;14.5180;8.0910;2.5429;4.5794;7.8959;12.7310;21.5003;33.8586;40.1718;33.2572;23.9127;14.3275;18.1155;12;0;0;0
101;Elbe;22408100;7.8282;8.6254;4.5717;6.2122;10.5238;16.7054;31.3110;47.9542;53.0333;29.1750;15.3961;12.0486;20.2821;12;0;0;0
102;Trent;4841180;2.7855;5.2313;6.3598;9.0636;14.9442;29.3306;70.0186;73.5479;53.5746;29.1935;9.7287;4.7846;25.7136;12;0;0;0
103;Weser;8503490;2.6750;4.6770;4.9551;6.7554;10.6979;17.1769;28.9395;37.6986;30.4952;12.0798;5.8649;4.0944;13.8425;12;0;0;0
104;Attawapiskat;1414;0.0388;675.6757;675.6757;675.6757;0.0022;0.0077;0.0133;0.0220;0.0135;0.0144;0.0358;0.0592;168.9362;9;0;0;3
105;Eastmain;441;0.0012;675.6757;675.6757;0.0006;0.0002;0.0003;0.0005;0.0006;0.0005;0.0004;0.0011;0.0019;112.6132;10;0;0;2
106;Manicouagan (Riviere);13858;0.0370;133.5983;195.8103;0.0883;0.0053;0.0067;0.0126;0.0156;0.0144;0.0133;0.0341;0.0564;27.4744;10;1;1;0
107;Columbia;6607400;1.4323;1.5659;4.3253;11.1100;13.1125;31.3598;91.9018;124.6989;105.6750;56.3217;9.7105;2.6495;37.8219;10;2;0;0
108;Little Mecatina ;148;0.0011;675.6757;675.6757;675.6757;0.0001;0.0002;0.0003;0.0005;0.0005;0.0004;0.0010;0.0017;168.9194;9;0;0;3
109;Natashquan (Riviere);512;0.0059;675.6757;675.6757;0.0110;0.0005;0.0011;0.0014;0.0021;0.0025;0.0022;0.0054;0.0090;112.6160;10;0;0;2
110;Rhine;56921700;4.6416;7.9885;7.5579;6.4193;8.4413;11.5801;15.2490;21.0493;18.8882;13.7944;9.3442;7.3141;11.0223;12;0;0;0
111;Albany;19183;0.0789;597.3591;626.0996;0.0076;0.0070;0.0168;0.0300;0.0493;0.0361;0.0264;0.0726;0.1203;101.9920;10;0;0;2
112;Saguenay (Riviere);317070;0.5263;675.6757;675.6757;0.0929;0.0934;0.1356;0.2130;0.2603;0.2245;0.1817;0.4805;0.8023;112.8635;10;0;0;2
113;Thames;9674080;5.2995;8.5971;10.6581;16.2026;28.2215;50.2499;82.6659;125.7066;181.2369;209.5284;29.2017;9.7392;63.1089;9;1;1;1
114;Nottaway;43834;0.0669;675.6757;675.6757;0.0109;0.0092;0.0192;0.0283;0.0343;0.0288;0.0233;0.0601;0.1021;112.6445;10;0;0;2
115;Rupert ;405;0.0043;675.6757;675.6757;0.0017;0.0004;0.0011;0.0017;0.0020;0.0018;0.0015;0.0040;0.0066;112.6147;10;0;0;2
116;Moose(Trib. Hudson Bay);122363;0.4077;675.6757;675.6757;0.0360;0.0411;0.0958;0.1636;0.2582;0.1910;0.1348;0.3756;0.6216;112.8064;10;0;0;2
117;St.Lawrence;67620200;13.8419;545.4291;6.4715;1.4581;3.9896;7.0685;13.7168;21.6552;15.6380;9.5709;8.3692;19.7123;55.5768;11;0;0;1
118;Danube;81752800;5.6244;6.6650;2.9345;3.1165;6.4612;11.1859;22.7457;30.7838;21.0441;9.6610;5.7948;6.8744;11.0743;12;0;0;0
119;Seine;15598100;6.7525;9.2895;10.6471;14.7092;29.5846;61.1069;146.8458;256.4547;287.9891;120.9339;33.2525;13.6047;82.5975;8;2;0;2
120;Dniestr;7441530;16.9121;517.4823;2.2002;4.0546;22.5723;35.4739;38.0277;90.1716;61.9030;16.2897;9.8951;25.3527;70.0279;11;0;0;1
121;Southern Bug;3142420;76.8793;375.9074;1.6215;4.5917;27.5152;55.2275;121.7122;181.4849;137.4037;96.9215;110.9800;165.0687;112.9428;6;3;2;1
122;Mississippi ;74637300;2.9783;4.1585;4.7636;8.2060;15.4080;32.2782;136.4669;234.3489;230.0058;110.5027;16.9867;6.5933;66.8914;8;2;0;2
123;Skagit ;84033;0.2254;0.6255;0.1476;0.1228;0.2240;0.9245;2.5482;4.4518;3.7794;0.5276;0.2854;0.3571;1.1850;12;0;0;0
124;Aral Drainage;41542800;10.1457;5.7845;7.8255;29.3549;48.4753;106.2356;238.9880;344.5198;377.8139;297.5714;83.9983;32.5417;131.9379;7;1;0;4
125;Loire;7807270;2.0347;2.9200;3.0338;4.1613;8.7043;22.0751;88.0863;177.2334;156.5951;30.3008;6.3309;3.5496;42.0854;10;0;2;0
126;Rhone;10014800;1.9397;4.2390;2.5139;2.5347;3.7094;6.5279;26.2119;33.9993;15.8360;4.6164;2.7481;2.7533;8.9691;12;0;0;0
127;Saint John ;413278;0.8368;675.6757;675.6757;0.0966;0.2889;0.4470;0.8344;1.8331;1.0692;0.5952;0.4497;1.2754;113.2565;10;0;0;2
128;Po;17513200;4.7853;10.2335;5.9323;3.9838;9.8874;22.7836;105.0241;129.6094;45.6243;9.0951;5.8769;7.1624;29.9998;10;2;0;0
129;Penobscot ;154142;0.5841;675.6757;0.7938;0.0689;0.2043;0.3174;0.5901;1.1616;0.9795;0.5628;0.2884;0.8904;56.8431;11;0;0;1
130;St.Croix ;20303;0.3522;675.6757;675.6757;0.0416;0.1264;0.2065;0.3771;0.6663;0.7005;0.3598;0.1702;0.5370;112.9074;10;0;0;2
131;Kuban;3470690;3.2577;2.5768;1.9744;2.4240;19.8129;50.4537;104.5573;100.3110;29.8801;10.4852;6.2496;5.2503;28.1027;10;2;0;0
132;Connecticut;2068580;5.6187;675.6757;1.6846;1.0599;2.1486;3.9526;6.4447;8.2932;6.9942;5.0139;3.0912;7.8939;60.6559;11;0;0;1
133;Liao He;30133000;19.1097;675.6757;99.6168;127.1244;304.8617;439.0090;209.7096;83.6845;89.6144;17.9521;21.2823;33.5319;176.7643;7;1;0;4
134;Garonne;3327680;1.5666;2.5558;2.5616;2.9311;5.3458;17.5111;143.1932;242.9600;197.4104;34.5109;5.1475;2.5532;54.8539;9;1;1;1
135;Ishikari;1941950;1.8794;675.6757;675.6757;0.3707;0.8807;6.7579;9.5823;12.7697;4.9059;1.3908;1.0900;2.8622;116.1534;10;0;0;2
136;Merrimack ;2246250;14.9354;675.6757;1.8026;3.1904;5.5582;9.2252;15.5636;24.5880;26.8594;15.7829;7.2716;22.5172;68.5808;11;0;0;1
137;Hudson ;4379560;9.8465;375.0408;2.2004;1.9893;3.6258;6.0957;9.9765;14.6175;13.6265;9.4600;5.5863;13.5255;38.7992;11;0;0;1
138;Colorado(Pacific Ocean);7754730;79.7069;396.3014;175.3947;76.3586;58.3344;96.4685;181.7437;237.4291;265.6072;247.9226;206.4792;190.5687;184.3596;4;0;3;5
139;Klamath ;137158;0.1155;0.0972;0.1234;4.7205;20.3720;60.6751;126.1271;166.7335;168.2307;98.2703;3.1524;0.2325;54.0708;9;1;2;0
140;Ebro;2922480;0.5714;1.9458;8.3717;13.6356;23.4459;84.4004;246.5271;307.8509;237.5284;61.2230;6.4230;1.1610;82.7570;9;0;0;3
141;Rogue ;259989;0.6043;0.6053;0.7514;2.4764;9.3018;33.4833;71.4001;96.2397;100.8183;59.3425;3.1487;1.2811;31.6211;11;1;0;0
142;Douro;3744450;0.7518;1.2841;2.4637;6.8841;18.1437;100.8852;286.0590;374.5032;300.3399;106.2433;6.7914;1.7837;100.5111;7;2;0;3
143;Susquehanna ;4004120;4.8504;8.1816;1.1518;1.7254;2.6861;4.4109;8.0755;13.0251;13.1681;7.8524;4.0634;6.1172;6.2757;12;0;0;0
144;Luan He;11171900;40.6013;675.6757;669.8436;659.1398;538.3246;529.2606;99.7530;85.0840;110.4373;87.8970;37.9980;48.9623;298.5814;6;1;0;5
145;Kura;13773500;23.5702;82.3959;75.5428;46.5739;37.5081;94.0909;192.7674;289.2142;249.1927;109.1950;38.6577;46.1282;107.0697;8;1;1;2
146;Dalinghe;4434800;32.7215;675.6757;530.5943;374.7101;500.5914;607.4404;297.5394;47.6497;64.7698;24.2975;35.4255;54.6333;270.5040;6;0;0;6
147;Delaware;6415590;9.8284;20.1188;3.9736;7.2174;9.5669;17.7733;26.4605;30.6618;28.3452;21.3289;11.4869;12.4629;16.6021;12;0;0;0
148;Sacramento ;3015150;1.4176;1.2443;3.8990;28.4117;106.4581;260.8481;385.5495;458.4496;461.8997;293.4702;59.1489;5.4137;172.1842;6;1;0;5
149;Huang He (Yellow River);160715000;40.2741;606.9570;512.0211;413.0700;260.2670;186.7782;168.1211;110.1254;49.9929;36.9866;30.8125;48.9252;205.3609;5;1;2;4
150;Kizilirmak;4460330;10.6316;2.5429;2.9622;8.1919;37.8241;104.9648;174.7334;262.3530;268.1615;186.0780;89.5153;21.0046;97.4136;7;1;2;2
151;Yongding He;91200200;286.2163;675.6757;675.6756;675.5242;671.3816;671.1957;532.7863;402.4871;476.1050;398.2000;276.7953;351.9047;507.8290;0;0;0;12
152;Tejo;6898760;2.0697;3.2608;4.6354;11.5790;30.5276;134.1858;305.5540;387.2062;342.8249;203.7484;51.8405;4.7565;123.5157;7;1;0;4
153;Sakarya;5654860;7.7009;2.6484;3.6381;17.7389;93.9823;202.0147;318.9012;432.3547;448.7133;363.6168;185.3198;39.4876;176.3430;6;0;1;5
154;Eel (Calif.);37126;0.0689;0.0748;0.1016;0.2175;1.0821;3.1752;6.8418;9.4333;10.9481;6.0815;6.0945;0.1623;3.6901;12;0;0;0
155;Tigris & Euphrates;49255700;6.6195;21.6357;61.6492;99.2464;177.5861;235.8823;314.8527;396.0092;402.1457;336.9194;92.9189;17.3580;180.2353;6;0;1;5
156;Potomac ;3494420;6.3034;7.3461;5.0191;6.3696;9.4937;15.0985;26.7116;39.9776;49.3820;40.9168;21.8213;11.3635;19.9836;12;0;0;0
157;Guadiana;1600650;5.2463;8.1340;16.3023;45.3729;138.9251;367.7714;524.6432;571.3846;547.3274;453.6875;209.0782;99.0733;248.9122;5;1;0;6
158;Kitakami;1280540;1.5433;6.1761;0.7860;0.9873;1.3481;6.7558;16.4070;38.8480;22.7465;2.5269;1.2858;2.0159;8.4522;12;0;0;0
159;Mogami;1118180;0.9595;1.1238;0.8954;1.2132;1.7325;9.1934;13.7396;44.5097;16.8981;3.5791;1.2555;0.9083;8.0007;12;0;0;0
160;Han-Gang (Han River);11656000;10.3937;675.6757;6.1798;4.7003;9.3983;15.6956;3.2263;2.8393;5.0354;6.1362;8.3838;15.6635;63.6107;11;0;0;1
161;Guadalquivir;3947090;4.8193;12.9703;19.7447;47.9808;132.4748;343.2478;494.1784;548.2352;522.8575;436.3505;264.3832;33.3088;238.3793;5;1;0;6
162;San Joaquin ;1681380;5.9791;5.8303;36.0868;149.4313;289.7051;483.6142;575.5677;611.4535;619.0987;588.8786;447.1712;67.8311;323.3873;4;1;0;7
163;James ;909948;1.4181;1.8318;1.8219;2.5763;3.8401;6.3774;11.7747;18.6882;20.8571;15.5023;5.9899;2.6471;7.7771;12;0;0;0
