gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,associate's degree,standard,none,78,76,65
female,group C,some high school,free/reduced,none,49,58,55
male,group D,some high school,standard,none,77,72,67
female,group B,associate's degree,standard,completed,52,66,73
female,group E,master's degree,free/reduced,none,40,50,48
female,group C,some college,standard,none,64,64,63
male,group D,high school,standard,none,51,45,48
male,group A,some high school,free/reduced,none,61,64,57
female,group C,some college,standard,completed,88,95,94
male,group D,some college,standard,none,68,57,59
male,group C,associate's degree,standard,none,41,38,37
female,group B,bachelor's degree,standard,none,60,77,74
male,group E,some high school,standard,none,82,78,70
male,group C,bachelor's degree,standard,completed,83,82,84
male,group D,associate's degree,standard,none,72,67,69
male,group D,bachelor's degree,free/reduced,none,56,59,60
female,group D,some high school,standard,completed,64,60,74
male,group B,some college,standard,none,48,46,45
male,group C,associate's degree,standard,none,75,72,72
male,group D,high school,free/reduced,completed,73,68,66
female,group E,bachelor's degree,standard,none,72,74,74
female,group D,high school,standard,none,50,46,49
male,group E,some college,standard,none,53,45,38
male,group D,some high school,standard,none,67,66,62
male,group C,associate's degree,standard,none,76,68,63
male,group E,associate's degree,standard,none,80,68,66
female,group B,high school,standard,completed,58,70,68
female,group B,high school,standard,none,58,57,55
male,group C,high school,standard,none,61,54,47
male,group A,some high school,standard,completed,47,49,49
female,group D,some college,free/reduced,none,63,74,74
female,group B,some high school,standard,completed,60,70,70
male,group D,master's degree,standard,none,72,72,64
male,group D,high school,standard,none,48,46,46
female,group E,some college,standard,none,55,65,63
female,group C,associate's degree,free/reduced,none,57,65,61
male,group C,associate's degree,standard,completed,78,77,77
female,group B,some college,standard,none,63,67,70
female,group C,master's degree,free/reduced,completed,65,81,81
female,group C,some high school,free/reduced,completed,64,79,77
male,group C,some college,standard,completed,79,79,78
female,group C,some high school,free/reduced,none,39,45,45
female,group E,high school,standard,none,89,83,81
male,group D,high school,standard,none,68,65,61
male,group D,some high school,free/reduced,none,53,37,36
female,group C,bachelor's degree,standard,none,56,67,72
female,group D,high school,standard,none,62,64,69
female,group D,associate's degree,standard,completed,88,92,95
female,group E,some college,free/reduced,none,63,68,63
male,group C,bachelor's degree,standard,none,62,56,54
male,group C,some college,standard,none,52,44,37
female,group D,associate's degree,free/reduced,none,42,47,52
female,group D,some college,standard,none,58,63,63
male,group B,some college,standard,completed,88,85,76
male,group C,bachelor's degree,standard,none,74,70,65
female,group C,some high school,standard,completed,85,92,93
female,group E,high school,standard,completed,59,63,75
female,group C,some high school,free/reduced,none,58,77,72
male,group B,bachelor's degree,free/reduced,none,65,50,51
male,group D,high school,standard,none,47,46,37
male,group D,high school,standard,none,40,43,41
female,group D,bachelor's degree,free/reduced,none,65,71,75
female,group D,some college,free/reduced,completed,70,78,78
female,group B,some high school,standard,none,33,41,41
male,group B,associate's degree,standard,completed,81,82,82
male,group E,associate's degree,standard,completed,97,82,88
female,group B,some high school,standard,none,60,80,73
male,group B,bachelor's degree,free/reduced,none,79,67,68
male,group E,some high school,standard,completed,77,76,77
male,group C,associate's degree,standard,none,68,63,61
male,group D,some high school,standard,none,77,65,63
male,group C,some high school,standard,completed,63,60,57
female,group E,bachelor's degree,standard,none,58,65,67
male,group D,high school,free/reduced,completed,78,77,80
male,group B,associate's degree,free/reduced,none,60,55,54
male,group A,some high school,standard,completed,46,41,43
male,group E,associate's degree,standard,completed,71,74,68
male,group C,high school,free/reduced,completed,40,46,50
male,group D,associate's degree,free/reduced,none,81,78,67
male,group A,some college,free/reduced,completed,81,78,81
male,group D,some high school,free/reduced,none,50,48,46
female,group C,associate's degree,standard,completed,67,84,81
male,group B,associate's degree,standard,none,72,68,57
female,group C,associate's degree,standard,completed,74,75,83
male,group A,some college,standard,none,62,60,62
male,group E,some college,standard,completed,99,87,81
male,group C,some high school,standard,none,45,46,39
female,group B,associate's degree,free/reduced,none,47,63,60
female,group D,high school,free/reduced,none,44,51,46
female,group B,associate's degree,standard,none,65,68,72
male,group B,bachelor's degree,standard,none,59,54,51
male,group D,bachelor's degree,standard,completed,67,61,68
female,group C,associate's degree,free/reduced,completed,68,67,69
female,group C,bachelor's degree,standard,completed,59,64,75
male,group C,high school,standard,none,63,59,58
female,group D,master's degree,standard,completed,77,82,91
male,group C,associate's degree,standard,none,74,64,70
male,group B,bachelor's degree,standard,none,56,63,62
female,group D,associate's degree,free/reduced,none,50,58,56
female,group C,high school,free/reduced,completed,67,79,84
female,group E,high school,standard,none,67,77,71
female,group C,some college,standard,none,63,72,72
female,group C,some high school,free/reduced,none,38,47,47
female,group C,high school,free/reduced,none,36,41,38
female,group C,some college,standard,none,73,81,84
male,group C,some college,standard,none,54,54,55
male,group A,some college,free/reduced,none,25,20,17
male,group C,associate's degree,standard,completed,82,75,77
female,group B,some high school,standard,none,36,49,45
male,group C,high school,standard,none,63,54,54
male,group C,associate's degree,standard,none,42,33,31
male,group E,associate's degree,standard,completed,62,56,53
male,group B,associate's degree,standard,none,81,70,72
female,group C,bachelor's degree,standard,none,74,83,85
female,group B,some college,free/reduced,none,54,61,59
male,group D,some high school,standard,completed,76,70,69
male,group C,associate's degree,standard,none,44,45,38
female,group B,some high school,free/reduced,none,21,34,24
female,group D,some high school,free/reduced,completed,35,55,60
male,group C,high school,free/reduced,none,52,54,46
female,group C,high school,standard,none,54,65,56
female,group B,high school,standard,completed,69,76,74
male,group D,associate's degree,standard,completed,67,72,67
male,group D,some college,standard,none,71,65,60
female,group C,high school,standard,none,64,72,67
male,group B,some college,standard,none,55,54,51
female,group C,bachelor's degree,standard,completed,77,94,95
male,group D,high school,free/reduced,none,67,66,59
male,group E,associate's degree,standard,none,78,66,68
female,group B,bachelor's degree,standard,none,46,58,62
male,group E,some college,standard,none,59,51,46
female,group C,some college,standard,completed,63,78,80
female,group C,associate's degree,standard,none,41,52,51
female,group C,some college,standard,none,53,63,63
female,group B,bachelor's degree,standard,none,54,64,63
male,group A,associate's degree,standard,none,56,54,54
female,group C,some college,free/reduced,completed,42,66,69
male,group D,some college,free/reduced,none,53,55,54
female,group D,some college,standard,none,72,81,80
female,group B,high school,standard,none,52,55,53
male,group B,some high school,standard,completed,85,84,78
female,group C,some college,standard,none,46,52,52
female,group D,some high school,free/reduced,none,24,30,28
male,group C,some college,standard,none,53,54,52
male,group A,bachelor's degree,free/reduced,completed,49,58,60
male,group C,high school,standard,completed,69,58,53
male,group C,bachelor's degree,free/reduced,none,54,59,54
female,group A,some high school,free/reduced,none,39,57,52
female,group D,some high school,standard,none,65,75,76
male,group E,some college,standard,none,75,69,63
female,group C,some college,free/reduced,completed,45,73,70
male,group D,some high school,standard,none,66,66,64
female,group D,some college,standard,completed,82,97,96
female,group D,bachelor's degree,standard,none,53,63,65
male,group E,associate's degree,free/reduced,none,41,38,36
female,group D,some high school,standard,none,72,81,73
female,group D,master's degree,free/reduced,completed,85,95,100
female,group A,some high school,standard,none,63,74,69
male,group A,bachelor's degree,standard,none,59,57,55
female,group B,associate's degree,standard,none,72,77,74
male,group C,associate's degree,standard,completed,87,100,95
male,group C,master's degree,free/reduced,none,71,72,63
female,group E,some high school,free/reduced,none,34,44,40
female,group A,some high school,free/reduced,none,34,38,38
female,group E,some college,standard,none,60,68,67
female,group E,bachelor's degree,standard,none,57,65,63
female,group C,associate's degree,free/reduced,none,51,70,60
female,group D,high school,standard,none,55,57,57
male,group D,master's degree,standard,none,65,63,67
male,group E,some high school,free/reduced,completed,73,67,59
female,group D,some college,standard,none,69,61,69
male,group E,some college,standard,none,68,60,60
male,group C,associate's degree,standard,completed,57,54,56
female,group C,some high school,standard,completed,65,74,77
male,group A,high school,free/reduced,none,43,40,36
female,group B,high school,free/reduced,none,45,60,56
female,group C,associate's degree,standard,none,76,80,85
male,group B,some high school,standard,none,66,56,51
male,group D,some high school,standard,none,54,53,48
female,group C,some high school,standard,completed,59,54,67
male,group A,some college,standard,none,47,38,38
female,group A,some college,free/reduced,none,44,58,49
female,group D,high school,standard,completed,88,99,100
female,group C,high school,standard,none,48,53,55
female,group C,some high school,standard,none,56,65,61
male,group B,associate's degree,standard,completed,65,65,63
female,group B,associate's degree,standard,none,73,72,69
female,group D,high school,free/reduced,completed,52,57,56
male,group D,associate's degree,standard,completed,87,84,85
female,group D,master's degree,standard,completed,70,71,74
male,group E,some college,standard,completed,84,83,78
male,group D,associate's degree,standard,none,63,59,54
male,group B,some high school,standard,completed,63,67,67
female,group C,bachelor's degree,free/reduced,completed,51,72,79
male,group E,high school,standard,none,75,65,62
male,group C,bachelor's degree,standard,completed,71,74,68
male,group C,associate's degree,standard,none,66,65,60
male,group D,some college,standard,none,61,53,55
male,group E,high school,free/reduced,completed,57,56,54
female,group C,associate's degree,free/reduced,completed,82,93,93
female,group D,high school,standard,completed,57,58,64
female,group D,master's degree,free/reduced,completed,47,58,67
female,group A,some high school,standard,completed,59,85,80
male,group B,some college,free/reduced,none,36,35,30
female,group C,some college,free/reduced,none,55,60,55
male,group C,bachelor's degree,standard,none,77,74,77
male,group C,some high school,free/reduced,none,62,63,58
male,group A,some high school,free/reduced,none,58,53,47
male,group C,some high school,free/reduced,none,61,56,48
male,group C,associate's degree,free/reduced,none,57,59,53
female,group C,high school,standard,none,54,64,63
male,group C,high school,standard,none,54,50,49
female,group A,some high school,free/reduced,none,42,53,45
male,group C,some high school,standard,none,65,59,59
male,group C,some college,free/reduced,completed,50,48,53
male,group D,associate's degree,standard,none,67,61,57
male,group D,associate's degree,free/reduced,none,67,59,65
male,group C,high school,standard,none,63,50,45
male,group D,some high school,standard,completed,89,88,82
female,group C,some college,standard,completed,67,81,79
female,group D,high school,standard,none,70,72,72
female,group A,some high school,free/reduced,none,53,65,62
female,group B,associate's degree,standard,none,65,74,68
male,group A,some high school,free/reduced,none,71,73,65
female,group C,some high school,standard,completed,67,74,77
male,group D,some college,free/reduced,none,62,59,54
male,group C,high school,standard,completed,86,81,80
male,group B,high school,standard,none,42,41,37
male,group B,associate's degree,standard,none,72,65,64
female,group C,some college,free/reduced,completed,64,85,85
female,group E,some college,standard,none,90,82,87
female,group C,associate's degree,free/reduced,none,58,69,66
male,group C,some college,free/reduced,none,58,52,44
female,group C,associate's degree,free/reduced,none,47,54,55
male,group C,bachelor's degree,free/reduced,none,33,50,42
female,group D,bachelor's degree,standard,none,71,80,80
male,group D,associate's degree,free/reduced,none,47,48,43
female,group E,bachelor's degree,standard,none,90,90,90
male,group B,high school,standard,completed,72,65,68
male,group C,bachelor's degree,free/reduced,none,47,52,49
male,group B,some college,free/reduced,none,48,48,40
female,group E,some college,standard,none,63,63,68
female,group C,some college,free/reduced,none,69,81,81
male,group A,bachelor's degree,standard,completed,75,58,62
female,group C,some college,standard,none,75,78,81
female,group D,associate's degree,free/reduced,none,23,27,34
male,group A,high school,free/reduced,completed,72,67,65
female,group A,high school,free/reduced,completed,77,88,85
male,group C,some college,standard,none,81,66,68
female,group C,associate's degree,standard,completed,83,85,90
female,group C,high school,standard,none,56,62,66
female,group C,associate's degree,standard,completed,68,86,84
female,group D,some high school,standard,none,53,60,54
female,group B,associate's degree,standard,completed,90,90,91
female,group D,bachelor's degree,standard,completed,71,76,83
male,group E,bachelor's degree,standard,completed,76,62,66
male,group D,associate's degree,standard,none,72,61,64
female,group D,master's degree,standard,none,49,57,63
male,group E,associate's degree,standard,none,68,63,60
male,group B,high school,standard,completed,73,71,68
female,group D,associate's degree,free/reduced,none,46,53,50
male,group C,some college,free/reduced,none,61,61,54
male,group A,high school,standard,none,53,46,41
female,group B,associate's degree,standard,none,44,46,48
male,group C,high school,standard,none,63,66,63
male,group D,some college,free/reduced,none,54,42,50
female,group C,associate's degree,free/reduced,none,54,67,66
male,group B,some high school,standard,completed,64,53,57
male,group A,associate's degree,free/reduced,completed,79,82,82
female,group A,associate's degree,free/reduced,none,58,76,68
female,group C,associate's degree,standard,none,57,57,63
female,group C,some college,standard,none,74,74,81
female,group C,bachelor's degree,standard,none,72,79,81
female,group B,high school,standard,none,48,57,61
male,group D,high school,standard,completed,68,64,66
female,group C,some college,standard,none,48,43,46
female,group D,some college,free/reduced,completed,59,78,76
female,group B,some high school,standard,none,59,62,61
male,group E,some college,standard,none,68,63,64
female,group D,master's degree,standard,none,66,71,73
female,group B,associate's degree,standard,completed,94,87,92
male,group C,some college,free/reduced,none,56,54,48
female,group E,associate's degree,standard,completed,95,89,92
female,group D,master's degree,free/reduced,none,36,53,48
female,group B,some high school,standard,none,73,73,72
male,group A,high school,standard,none,61,63,59
male,group B,bachelor's degree,free/reduced,none,49,53,48
male,group C,master's degree,standard,none,71,70,69
female,group C,bachelor's degree,standard,none,77,82,78
male,group D,some college,standard,none,68,63,65
male,group A,some high school,standard,none,57,45,38
male,group D,some high school,free/reduced,none,55,44,46
female,group B,some high school,standard,completed,54,61,62
female,group B,master's degree,free/reduced,completed,77,97,94
female,group C,some high school,standard,completed,76,87,85
female,group D,some college,standard,none,66,80,75
female,group E,some college,standard,completed,66,74,73
female,group D,some high school,standard,completed,66,78,78
female,group B,high school,free/reduced,completed,67,78,79
male,group D,some college,standard,none,63,44,46
female,group C,associate's degree,standard,none,81,77,75
male,group D,bachelor's degree,standard,none,62,52,51
male,group C,master's degree,free/reduced,none,48,53,45
male,group C,high school,standard,completed,53,52,49
male,group E,some college,standard,none,61,54,53
male,group C,some high school,free/reduced,completed,56,61,60
female,group C,high school,free/reduced,none,32,47,38
female,group D,bachelor's degree,free/reduced,none,26,36,42
female,group C,associate's degree,standard,none,55,66,63
female,group C,associate's degree,standard,completed,68,67,73
female,group C,some high school,standard,none,42,48,47
male,group E,associate's degree,standard,completed,62,61,58
female,group E,associate's degree,standard,completed,79,88,94
male,group B,high school,standard,completed,73,69,68
female,group C,bachelor's degree,free/reduced,completed,66,83,83
male,group C,associate's degree,standard,completed,51,60,58
female,group D,high school,standard,none,45,59,55
male,group E,bachelor's degree,standard,completed,85,66,71
male,group A,associate's degree,standard,completed,97,92,86
male,group C,high school,standard,completed,75,69,68
male,group D,associate's degree,free/reduced,completed,79,82,80
female,group C,associate's degree,standard,none,72,69,71
female,group D,associate's degree,standard,none,73,85,80
female,group D,master's degree,standard,none,57,56,59
male,group E,some high school,free/reduced,completed,78,83,80
female,group A,some high school,standard,completed,92,100,97
male,group C,high school,standard,completed,72,67,64
female,group C,high school,free/reduced,none,55,60,57
male,group C,master's degree,standard,none,71,64,62
male,group C,some high school,free/reduced,none,71,68,58
male,group B,bachelor's degree,free/reduced,completed,87,90,88
female,group B,associate's degree,standard,none,36,43,45
male,group D,some college,free/reduced,none,69,55,57
male,group E,associate's degree,standard,none,47,40,36
female,group C,some college,free/reduced,none,28,35,29
female,group C,associate's degree,standard,completed,55,72,79
male,group C,master's degree,free/reduced,none,54,60,59
female,group B,associate's degree,free/reduced,none,47,63,63
male,group D,some high school,standard,none,65,59,55
female,group D,some college,standard,completed,74,75,79
female,group C,some college,standard,none,56,66,66
male,group C,bachelor's degree,standard,completed,96,90,92
female,group D,some college,free/reduced,completed,63,80,80
male,group B,bachelor's degree,free/reduced,none,43,45,41
male,group B,associate's degree,standard,none,43,38,40
female,group E,bachelor's degree,free/reduced,completed,92,100,100
female,group D,master's degree,free/reduced,completed,61,71,78
male,group B,high school,free/reduced,none,56,43,42
male,group D,bachelor's degree,free/reduced,none,61,61,60
male,group B,some college,standard,completed,71,75,70
male,group A,bachelor's degree,standard,none,81,86,82
female,group C,some college,standard,none,47,55,50
female,group C,high school,free/reduced,completed,50,66,64
female,group E,high school,standard,none,66,72,63
male,group A,associate's degree,free/reduced,completed,40,55,53
male,group A,some college,standard,completed,61,51,52
female,group B,high school,standard,none,72,81,80
female,group B,some college,free/reduced,completed,48,56,58
female,group D,master's degree,standard,none,47,54,61
female,group D,some high school,standard,none,72,87,86
female,group E,some high school,standard,none,69,71,72
female,group D,bachelor's degree,free/reduced,none,56,65,70
female,group D,associate's degree,standard,completed,73,75,80
female,group D,some college,standard,none,62,69,69
female,group C,associate's degree,standard,none,58,68,68
female,group A,high school,standard,none,49,65,65
female,group C,bachelor's degree,free/reduced,none,39,56,55
female,group C,some college,standard,none,48,57,58
female,group A,some high school,standard,none,43,59,58
male,group C,some college,free/reduced,none,52,51,48
male,group A,some high school,standard,none,63,55,45
male,group E,bachelor's degree,standard,none,61,61,57
female,group E,high school,standard,none,66,68,65
female,group C,bachelor's degree,standard,completed,92,100,99
female,group C,bachelor's degree,standard,completed,56,79,72
male,group B,high school,free/reduced,none,27,21,13
male,group A,some high school,standard,none,47,48,43
female,group D,high school,standard,none,62,69,65
female,group D,some high school,standard,none,58,73,72
female,group D,master's degree,standard,none,48,54,56
female,group C,high school,standard,none,26,26,27
female,group E,some college,standard,none,68,70,72
male,group D,high school,free/reduced,none,54,51,45
male,group D,master's degree,free/reduced,completed,84,89,90
male,group C,some high school,standard,none,67,64,55
female,group C,associate's degree,standard,none,76,75,73
female,group C,master's degree,free/reduced,none,36,52,48
female,group E,some college,standard,none,54,57,55
female,group B,associate's degree,standard,none,52,56,58
male,group D,some college,free/reduced,completed,69,60,63
female,group C,some college,standard,none,52,53,59
male,group C,bachelor's degree,standard,completed,94,90,91
female,group C,associate's degree,standard,none,58,69,66
female,group A,associate's degree,standard,none,73,83,83
female,group C,high school,standard,none,54,61,64
female,group E,bachelor's degree,standard,none,33,40,34
male,group D,bachelor's degree,standard,none,79,70,74
male,group D,master's degree,standard,none,85,72,75
male,group C,associate's degree,free/reduced,completed,65,73,68
female,group C,high school,free/reduced,none,31,54,48
male,group B,bachelor's degree,free/reduced,none,55,56,50
male,group C,high school,free/reduced,completed,58,51,52
male,group A,some college,standard,completed,100,96,86
female,group E,bachelor's degree,free/reduced,none,54,52,55
male,group D,some college,standard,completed,100,97,99
male,group B,associate's degree,free/reduced,completed,69,70,63
male,group D,associate's degree,standard,none,54,43,41
male,group D,some college,free/reduced,none,44,51,41
female,group C,some high school,standard,completed,44,51,55
male,group D,some college,standard,none,60,57,63
male,group B,high school,standard,none,71,54,58
