Id,gender,race/ethnicity,parental level of education,lunch
1961068,female,group C,some college,standard
1961069,male,group B,associate's degree,free/reduced
1961070,female,group C,associate's degree,standard
1961071,female,group D,some college,free/reduced
1961072,male,group D,some college,standard
1961073,female,group A,associate's degree,free/reduced
1961074,male,group C,some high school,free/reduced
1961075,male,group C,some high school,standard
1961076,male,group B,associate's degree,free/reduced
1961077,male,group E,some high school,standard
1961078,male,group A,bachelor's degree,standard
1961079,female,group D,some high school,standard
1961080,female,group E,master's degree,standard
1961081,female,group B,associate's degree,standard
1961082,male,group B,high school,free/reduced
1961083,male,group A,some college,free/reduced
1961084,male,group E,associate's degree,standard
1961085,male,group D,high school,free/reduced
1961086,female,group C,some college,standard
1961087,female,group C,some college,free/reduced
1961088,female,group D,associate's degree,standard
1961089,female,group A,some college,standard
1961090,female,group D,some high school,standard
1961091,female,group C,bachelor's degree,standard
1961092,male,group C,high school,free/reduced
1961093,male,group C,high school,standard
1961094,male,group C,associate's degree,free/reduced
1961095,female,group B,some college,standard
1961096,male,group C,associate's degree,free/reduced
1961097,male,group B,some high school,standard
1961098,female,group E,some college,standard
1961099,female,group D,some college,free/reduced
1961100,female,group D,bachelor's degree,standard
1961101,male,group B,some college,standard
1961102,male,group D,bachelor's degree,standard
1961103,female,group D,associate's degree,standard
1961104,male,group B,high school,standard
1961105,male,group C,some college,standard
1961106,female,group C,some college,standard
1961107,female,group D,master's degree,standard
1961108,male,group E,associate's degree,standard
1961109,female,group B,associate's degree,free/reduced
1961110,female,group B,some high school,standard
1961111,female,group D,associate's degree,free/reduced
1961112,male,group C,high school,standard
1961113,male,group A,associate's degree,standard
1961114,female,group D,some college,standard
1961115,female,group E,bachelor's degree,standard
1961116,male,group C,high school,standard
1961117,female,group B,bachelor's degree,free/reduced
1961118,female,group D,bachelor's degree,standard
1961119,female,group D,some high school,standard
1961120,female,group C,some college,standard
1961121,female,group C,bachelor's degree,standard
1961122,male,group B,associate's degree,standard
1961123,female,group C,some college,standard
1961124,male,group D,high school,free/reduced
1961125,male,group E,some college,standard
1961126,female,group B,high school,standard
1961127,male,group B,some high school,standard
1961128,male,group D,some college,standard
1961129,male,group D,master's degree,standard
1961130,female,group A,bachelor's degree,standard
1961131,male,group D,master's degree,standard
1961132,male,group C,some high school,free/reduced
1961133,male,group E,some college,free/reduced
1961134,female,group C,some college,standard
1961135,male,group D,bachelor's degree,free/reduced
1961136,male,group C,bachelor's degree,standard
1961137,male,group B,some high school,standard
1961138,male,group E,high school,standard
1961139,female,group C,associate's degree,standard
1961140,male,group D,some college,standard
1961141,female,group D,some high school,standard
1961142,female,group C,some college,free/reduced
1961143,female,group E,some college,free/reduced
1961144,male,group A,high school,standard
1961145,male,group D,some college,standard
1961146,female,group C,some college,free/reduced
1961147,male,group B,some high school,standard
1961148,male,group C,associate's degree,free/reduced
1961149,female,group D,bachelor's degree,standard
1961150,male,group E,associate's degree,free/reduced
1961151,male,group A,some high school,standard
1961152,male,group A,bachelor's degree,standard
1961153,female,group B,associate's degree,standard
1961154,male,group D,bachelor's degree,standard
1961155,male,group D,some high school,standard
1961156,female,group C,some college,standard
1961157,female,group E,high school,free/reduced
1961158,male,group B,some college,free/reduced
1961159,female,group B,associate's degree,standard
1961160,male,group D,associate's degree,free/reduced
1961161,male,group B,associate's degree,free/reduced
1961162,female,group E,some college,free/reduced
1961163,male,group B,master's degree,free/reduced
1961164,male,group C,high school,standard
1961165,female,group E,master's degree,standard
1961166,female,group C,bachelor's degree,standard
1961167,male,group C,high school,free/reduced
1961168,female,group B,master's degree,free/reduced
1961169,female,group B,high school,standard
1961170,female,group C,some college,free/reduced
1961171,male,group A,high school,standard
1961172,male,group E,some high school,standard
1961173,female,group D,some college,standard
1961174,female,group C,associate's degree,standard
1961175,female,group C,bachelor's degree,free/reduced
1961176,female,group C,master's degree,standard
1961177,female,group B,high school,free/reduced
1961178,female,group C,associate's degree,standard
1961179,female,group B,master's degree,free/reduced
1961180,female,group D,some high school,standard
1961181,male,group C,master's degree,free/reduced
1961182,female,group C,some college,free/reduced
1961183,female,group E,high school,standard
1961184,female,group D,associate's degree,standard
1961185,male,group C,some high school,free/reduced
1961186,male,group C,associate's degree,free/reduced
1961187,male,group E,high school,standard
1961188,male,group D,some high school,standard
1961189,male,group B,some high school,free/reduced
1961190,female,group C,bachelor's degree,standard
1961191,female,group E,associate's degree,standard
1961192,male,group D,some college,standard
1961193,female,group B,some high school,standard
1961194,male,group D,some college,standard
1961195,female,group C,master's degree,standard
1961196,male,group D,associate's degree,standard
1961197,male,group C,some high school,free/reduced
1961198,male,group E,high school,free/reduced
1961199,female,group B,some college,free/reduced
1961200,female,group B,bachelor's degree,free/reduced
1961201,female,group C,associate's degree,standard
1961202,female,group D,some college,free/reduced
1961203,male,group C,associate's degree,standard
1961204,female,group B,associate's degree,standard
1961205,male,group C,some college,standard
1961206,male,group D,some high school,standard
1961207,male,group E,bachelor's degree,standard
1961208,male,group E,high school,standard
1961209,female,group B,some college,free/reduced
1961210,female,group B,some college,free/reduced
1961211,male,group D,some high school,free/reduced
1961212,male,group C,some college,free/reduced
1961213,female,group C,high school,free/reduced
1961214,male,group C,associate's degree,free/reduced
1961215,male,group E,high school,standard
1961216,male,group B,some high school,standard
1961217,female,group E,associate's degree,free/reduced
1961218,female,group C,high school,free/reduced
1961219,male,group B,high school,free/reduced
1961220,male,group B,some high school,standard
1961221,female,group D,high school,standard
1961222,male,group B,associate's degree,standard
1961223,female,group C,some high school,free/reduced
1961224,male,group D,some high school,standard
1961225,female,group B,associate's degree,standard
1961226,female,group E,master's degree,free/reduced
1961227,female,group C,some college,standard
1961228,male,group D,high school,standard
1961229,male,group A,some high school,free/reduced
1961230,female,group C,some college,standard
1961231,male,group D,some college,standard
1961232,male,group C,associate's degree,standard
1961233,female,group B,bachelor's degree,standard
1961234,male,group E,some high school,standard
1961235,male,group C,bachelor's degree,standard
1961236,male,group D,associate's degree,standard
1961237,male,group D,bachelor's degree,free/reduced
1961238,female,group D,some high school,standard
1961239,male,group B,some college,standard
1961240,male,group C,associate's degree,standard
1961241,male,group D,high school,free/reduced
1961242,female,group E,bachelor's degree,standard
1961243,female,group D,high school,standard
1961244,male,group E,some college,standard
1961245,male,group D,some high school,standard
1961246,male,group C,associate's degree,standard
1961247,male,group E,associate's degree,standard
1961248,female,group B,high school,standard
1961249,female,group B,high school,standard
1961250,male,group C,high school,standard
1961251,male,group A,some high school,standard
1961252,female,group D,some college,free/reduced
1961253,female,group B,some high school,standard
1961254,male,group D,master's degree,standard
1961255,male,group D,high school,standard
1961256,female,group E,some college,standard
1961257,female,group C,associate's degree,free/reduced
1961258,male,group C,associate's degree,standard
1961259,female,group B,some college,standard
1961260,female,group C,master's degree,free/reduced
1961261,female,group C,some high school,free/reduced
1961262,male,group C,some college,standard
1961263,female,group C,some high school,free/reduced
1961264,female,group E,high school,standard
1961265,male,group D,high school,standard
1961266,male,group D,some high school,free/reduced
1961267,female,group C,bachelor's degree,standard
1961268,female,group D,high school,standard
1961269,female,group D,associate's degree,standard
1961270,female,group E,some college,free/reduced
1961271,male,group C,bachelor's degree,standard
1961272,male,group C,some college,standard
1961273,female,group D,associate's degree,free/reduced
1961274,female,group D,some college,standard
1961275,male,group B,some college,standard
1961276,male,group C,bachelor's degree,standard
1961277,female,group C,some high school,standard
1961278,female,group E,high school,standard
1961279,female,group C,some high school,free/reduced
1961280,male,group B,bachelor's degree,free/reduced
1961281,male,group D,high school,standard
1961282,male,group D,high school,standard
1961283,female,group D,bachelor's degree,free/reduced
1961284,female,group D,some college,free/reduced
1961285,female,group B,some high school,standard
1961286,male,group B,associate's degree,standard
1961287,male,group E,associate's degree,standard
1961288,female,group B,some high school,standard
1961289,male,group B,bachelor's degree,free/reduced
1961290,male,group E,some high school,standard
1961291,male,group C,associate's degree,standard
1961292,male,group D,some high school,standard
1961293,male,group C,some high school,standard
1961294,female,group E,bachelor's degree,standard
1961295,male,group D,high school,free/reduced
1961296,male,group B,associate's degree,free/reduced
1961297,male,group A,some high school,standard
1961298,male,group E,associate's degree,standard
1961299,male,group C,high school,free/reduced
1961300,male,group D,associate's degree,free/reduced
1961301,male,group A,some college,free/reduced
1961302,male,group D,some high school,free/reduced
1961303,female,group C,associate's degree,standard
1961304,male,group B,associate's degree,standard
1961305,female,group C,associate's degree,standard
1961306,male,group A,some college,standard
1961307,male,group E,some college,standard
1961308,male,group C,some high school,standard
1961309,female,group B,associate's degree,free/reduced
1961310,female,group D,high school,free/reduced
1961311,female,group B,associate's degree,standard
1961312,male,group B,bachelor's degree,standard
1961313,male,group D,bachelor's degree,standard
1961314,female,group C,associate's degree,free/reduced
1961315,female,group C,bachelor's degree,standard
1961316,male,group C,high school,standard
1961317,female,group D,master's degree,standard
1961318,male,group C,associate's degree,standard
1961319,male,group B,bachelor's degree,standard
1961320,female,group D,associate's degree,free/reduced
1961321,female,group C,high school,free/reduced
1961322,female,group E,high school,standard
1961323,female,group C,some college,standard
1961324,female,group C,some high school,free/reduced
1961325,female,group C,high school,free/reduced
1961326,female,group C,some college,standard
1961327,male,group C,some college,standard
1961328,male,group A,some college,free/reduced
1961329,male,group C,associate's degree,standard
1961330,female,group B,some high school,standard
1961331,male,group C,high school,standard
1961332,male,group C,associate's degree,standard
1961333,male,group E,associate's degree,standard
1961334,male,group B,associate's degree,standard
1961335,female,group C,bachelor's degree,standard
1961336,female,group B,some college,free/reduced
1961337,male,group D,some high school,standard
1961338,male,group C,associate's degree,standard
1961339,female,group B,some high school,free/reduced
1961340,female,group D,some high school,free/reduced
1961341,male,group C,high school,free/reduced
1961342,female,group C,high school,standard
1961343,female,group B,high school,standard
1961344,male,group D,associate's degree,standard
1961345,male,group D,some college,standard
1961346,female,group C,high school,standard
1961347,male,group B,some college,standard
1961348,female,group C,bachelor's degree,standard
1961349,male,group D,high school,free/reduced
1961350,male,group E,associate's degree,standard
1961351,female,group B,bachelor's degree,standard
1961352,male,group E,some college,standard
1961353,female,group C,some college,standard
1961354,female,group C,associate's degree,standard
1961355,female,group C,some college,standard
1961356,female,group B,bachelor's degree,standard
1961357,male,group A,associate's degree,standard
1961358,female,group C,some college,free/reduced
1961359,male,group D,some college,free/reduced
1961360,female,group D,some college,standard
1961361,female,group B,high school,standard
1961362,male,group B,some high school,standard
1961363,female,group C,some college,standard
1961364,female,group D,some high school,free/reduced
1961365,male,group C,some college,standard
1961366,male,group A,bachelor's degree,free/reduced
1961367,male,group C,high school,standard
1961368,male,group C,bachelor's degree,free/reduced
1961369,female,group A,some high school,free/reduced
1961370,female,group D,some high school,standard
1961371,male,group E,some college,standard
1961372,female,group C,some college,free/reduced
1961373,male,group D,some high school,standard
1961374,female,group D,some college,standard
1961375,female,group D,bachelor's degree,standard
1961376,male,group E,associate's degree,free/reduced
1961377,female,group D,some high school,standard
1961378,female,group D,master's degree,free/reduced
1961379,female,group A,some high school,standard
1961380,male,group A,bachelor's degree,standard
1961381,female,group B,associate's degree,standard
1961382,male,group C,associate's degree,standard
1961383,male,group C,master's degree,free/reduced
1961384,female,group E,some high school,free/reduced
1961385,female,group A,some high school,free/reduced
1961386,female,group E,some college,standard
1961387,female,group E,bachelor's degree,standard
1961388,female,group C,associate's degree,free/reduced
1961389,female,group D,high school,standard
1961390,male,group D,master's degree,standard
1961391,male,group E,some high school,free/reduced
1961392,female,group D,some college,standard
1961393,male,group E,some college,standard
1961394,male,group C,associate's degree,standard
1961395,female,group C,some high school,standard
1961396,male,group A,high school,free/reduced
1961397,female,group B,high school,free/reduced
1961398,female,group C,associate's degree,standard
1961399,male,group B,some high school,standard
1961400,male,group D,some high school,standard
1961401,female,group C,some high school,standard
1961402,male,group A,some college,standard
1961403,female,group A,some college,free/reduced
1961404,female,group D,high school,standard
1961405,female,group C,high school,standard
1961406,female,group C,some high school,standard
1961407,male,group B,associate's degree,standard
1961408,female,group B,associate's degree,standard
1961409,female,group D,high school,free/reduced
1961410,male,group D,associate's degree,standard
1961411,female,group D,master's degree,standard
1961412,male,group E,some college,standard
1961413,male,group D,associate's degree,standard
1961414,male,group B,some high school,standard
1961415,female,group C,bachelor's degree,free/reduced
1961416,male,group E,high school,standard
1961417,male,group C,bachelor's degree,standard
1961418,male,group C,associate's degree,standard
1961419,male,group D,some college,standard
1961420,male,group E,high school,free/reduced
1961421,female,group C,associate's degree,free/reduced
1961422,female,group D,high school,standard
1961423,female,group D,master's degree,free/reduced
1961424,female,group A,some high school,standard
1961425,male,group B,some college,free/reduced
1961426,female,group C,some college,free/reduced
1961427,male,group C,bachelor's degree,standard
1961428,male,group C,some high school,free/reduced
1961429,male,group A,some high school,free/reduced
1961430,male,group C,some high school,free/reduced
1961431,male,group C,associate's degree,free/reduced
1961432,female,group C,high school,standard
1961433,male,group C,high school,standard
1961434,female,group A,some high school,free/reduced
1961435,male,group C,some high school,standard
1961436,male,group C,some college,free/reduced
1961437,male,group D,associate's degree,standard
1961438,male,group D,associate's degree,free/reduced
1961439,male,group C,high school,standard
1961440,male,group D,some high school,standard
1961441,female,group C,some college,standard
1961442,female,group D,high school,standard
1961443,female,group A,some high school,free/reduced
1961444,female,group B,associate's degree,standard
1961445,male,group A,some high school,free/reduced
1961446,female,group C,some high school,standard
1961447,male,group D,some college,free/reduced
1961448,male,group C,high school,standard
1961449,male,group B,high school,standard
1961450,male,group B,associate's degree,standard
1961451,female,group C,some college,free/reduced
1961452,female,group E,some college,standard
1961453,female,group C,associate's degree,free/reduced
1961454,male,group C,some college,free/reduced
1961455,female,group C,associate's degree,free/reduced
1961456,male,group C,bachelor's degree,free/reduced
1961457,female,group D,bachelor's degree,standard
1961458,male,group D,associate's degree,free/reduced
1961459,female,group E,bachelor's degree,standard
1961460,male,group B,high school,standard
1961461,male,group C,bachelor's degree,free/reduced
1961462,male,group B,some college,free/reduced
1961463,female,group E,some college,standard
1961464,female,group C,some college,free/reduced
1961465,male,group A,bachelor's degree,standard
1961466,female,group C,some college,standard
1961467,female,group D,associate's degree,free/reduced
1961468,male,group A,high school,free/reduced
1961469,female,group A,high school,free/reduced
1961470,male,group C,some college,standard
1961471,female,group C,associate's degree,standard
1961472,female,group C,high school,standard
1961473,female,group C,associate's degree,standard
1961474,female,group D,some high school,standard
1961475,female,group B,associate's degree,standard
1961476,female,group D,bachelor's degree,standard
1961477,male,group E,bachelor's degree,standard
1961478,male,group D,associate's degree,standard
1961479,female,group D,master's degree,standard
1961480,male,group E,associate's degree,standard
1961481,male,group B,high school,standard
1961482,female,group D,associate's degree,free/reduced
1961483,male,group C,some college,free/reduced
1961484,male,group A,high school,standard
1961485,female,group B,associate's degree,standard
1961486,male,group C,high school,standard
1961487,male,group D,some college,free/reduced
1961488,female,group C,associate's degree,free/reduced
1961489,male,group B,some high school,standard
1961490,male,group A,associate's degree,free/reduced
1961491,female,group A,associate's degree,free/reduced
1961492,female,group C,associate's degree,standard
1961493,female,group C,some college,standard
1961494,female,group C,bachelor's degree,standard
1961495,female,group B,high school,standard
1961496,male,group D,high school,standard
1961497,female,group C,some college,standard
1961498,female,group D,some college,free/reduced
1961499,female,group B,some high school,standard
1961500,male,group E,some college,standard
1961501,female,group D,master's degree,standard
1961502,female,group B,associate's degree,standard
1961503,male,group C,some college,free/reduced
1961504,female,group E,associate's degree,standard
1961505,female,group D,master's degree,free/reduced
1961506,female,group B,some high school,standard
1961507,male,group A,high school,standard
1961508,male,group B,bachelor's degree,free/reduced
1961509,male,group C,master's degree,standard
1961510,female,group C,bachelor's degree,standard
1961511,male,group D,some college,standard
1961512,male,group A,some high school,standard
1961513,male,group D,some high school,free/reduced
1961514,female,group B,some high school,standard
1961515,female,group B,master's degree,free/reduced
1961516,female,group C,some high school,standard
1961517,female,group D,some college,standard
1961518,female,group E,some college,standard
1961519,female,group D,some high school,standard
1961520,female,group B,high school,free/reduced
1961521,male,group D,some college,standard
1961522,female,group C,associate's degree,standard
1961523,male,group D,bachelor's degree,standard
1961524,male,group C,master's degree,free/reduced
1961525,male,group C,high school,standard
1961526,male,group E,some college,standard
1961527,male,group C,some high school,free/reduced
1961528,female,group C,high school,free/reduced
1961529,female,group D,bachelor's degree,free/reduced
1961530,female,group C,associate's degree,standard
1961531,female,group C,associate's degree,standard
1961532,female,group C,some high school,standard
1961533,male,group E,associate's degree,standard
1961534,female,group E,associate's degree,standard
1961535,male,group B,high school,standard
1961536,female,group C,bachelor's degree,free/reduced
1961537,male,group C,associate's degree,standard
1961538,female,group D,high school,standard
1961539,male,group E,bachelor's degree,standard
1961540,male,group A,associate's degree,standard
1961541,male,group C,high school,standard
1961542,male,group D,associate's degree,free/reduced
1961543,female,group C,associate's degree,standard
1961544,female,group D,associate's degree,standard
1961545,female,group D,master's degree,standard
1961546,male,group E,some high school,free/reduced
1961547,female,group A,some high school,standard
1961548,male,group C,high school,standard
1961549,female,group C,high school,free/reduced
1961550,male,group C,master's degree,standard
1961551,male,group C,some high school,free/reduced
1961552,male,group B,bachelor's degree,free/reduced
1961553,female,group B,associate's degree,standard
1961554,male,group D,some college,free/reduced
1961555,male,group E,associate's degree,standard
1961556,female,group C,some college,free/reduced
1961557,female,group C,associate's degree,standard
1961558,male,group C,master's degree,free/reduced
1961559,female,group B,associate's degree,free/reduced
1961560,male,group D,some high school,standard
1961561,female,group D,some college,standard
1961562,female,group C,some college,standard
1961563,male,group C,bachelor's degree,standard
1961564,female,group D,some college,free/reduced
1961565,male,group B,bachelor's degree,free/reduced
1961566,male,group B,associate's degree,standard
1961567,female,group E,bachelor's degree,free/reduced
1961568,female,group D,master's degree,free/reduced
1961569,male,group B,high school,free/reduced
1961570,male,group D,bachelor's degree,free/reduced
1961571,male,group B,some college,standard
1961572,male,group A,bachelor's degree,standard
1961573,female,group C,some college,standard
1961574,female,group C,high school,free/reduced
1961575,female,group E,high school,standard
1961576,male,group A,associate's degree,free/reduced
1961577,male,group A,some college,standard
1961578,female,group B,high school,standard
1961579,female,group B,some college,free/reduced
1961580,female,group D,master's degree,standard
1961581,female,group D,some high school,standard
1961582,female,group E,some high school,standard
1961583,female,group D,bachelor's degree,free/reduced
1961584,female,group D,associate's degree,standard
1961585,female,group D,some college,standard
1961586,female,group C,associate's degree,standard
1961587,female,group A,high school,standard
1961588,female,group C,bachelor's degree,free/reduced
1961589,female,group C,some college,standard
1961590,female,group A,some high school,standard
1961591,male,group C,some college,free/reduced
1961592,male,group A,some high school,standard
1961593,male,group E,bachelor's degree,standard
1961594,female,group E,high school,standard
1961595,female,group C,bachelor's degree,standard
1961596,female,group C,bachelor's degree,standard
1961597,male,group B,high school,free/reduced
1961598,male,group A,some high school,standard
1961599,female,group D,high school,standard
1961600,female,group D,some high school,standard
1961601,female,group D,master's degree,standard
1961602,female,group C,high school,standard
1961603,female,group E,some college,standard
1961604,male,group D,high school,free/reduced
1961605,male,group D,master's degree,free/reduced
1961606,male,group C,some high school,standard
1961607,female,group C,associate's degree,standard
1961608,female,group C,master's degree,free/reduced
1961609,female,group E,some college,standard
1961610,female,group B,associate's degree,standard
1961611,male,group D,some college,free/reduced
1961612,female,group C,some college,standard
1961613,male,group C,bachelor's degree,standard
1961614,female,group C,associate's degree,standard
1961615,female,group A,associate's degree,standard
1961616,female,group C,high school,standard
1961617,female,group E,bachelor's degree,standard
1961618,male,group D,bachelor's degree,standard
1961619,male,group D,master's degree,standard
1961620,male,group C,associate's degree,free/reduced
1961621,female,group C,high school,free/reduced
1961622,male,group B,bachelor's degree,free/reduced
1961623,male,group C,high school,free/reduced
1961624,male,group A,some college,standard
1961625,female,group E,bachelor's degree,free/reduced
1961626,male,group D,some college,standard
1961627,male,group B,associate's degree,free/reduced
1961628,male,group D,associate's degree,standard
1961629,male,group D,some college,free/reduced
1961630,female,group C,some high school,standard
1961631,male,group D,some college,standard
1961632,male,group B,high school,standard
1961633,female,group B,bachelor's degree,standard
1961634,female,group C,high school,standard
1961635,male,group D,some high school,standard
1961636,male,group A,high school,standard
1961637,female,group B,high school,free/reduced
1961638,female,group D,some high school,standard
1961639,male,group E,some college,standard
1961640,female,group D,associate's degree,standard
1961641,male,group D,high school,standard
1961642,female,group D,associate's degree,free/reduced
1961643,female,group B,some high school,free/reduced
1961644,female,group E,high school,standard
1961645,male,group B,high school,standard
1961646,female,group B,bachelor's degree,standard
1961647,female,group D,associate's degree,standard
1961648,female,group E,high school,free/reduced
1961649,female,group B,high school,standard
1961650,female,group D,some college,standard
1961651,male,group C,some high school,free/reduced
1961652,female,group A,high school,standard
1961653,female,group D,some college,standard
1961654,female,group A,associate's degree,standard
1961655,female,group B,some high school,standard
1961656,female,group B,some college,standard
1961657,male,group C,associate's degree,free/reduced
1961658,male,group D,some high school,standard
1961659,female,group D,associate's degree,free/reduced
1961660,male,group D,associate's degree,standard
1961661,male,group C,some college,free/reduced
1961662,male,group C,some high school,standard
1961663,female,group D,some college,free/reduced
1961664,female,group C,high school,standard
1961665,male,group D,associate's degree,standard
1961666,female,group C,some high school,free/reduced
1961667,female,group C,some college,free/reduced
1961668,female,group B,bachelor's degree,free/reduced
1961669,male,group C,some college,standard
1961670,male,group D,associate's degree,standard
1961671,female,group C,high school,free/reduced
1961672,male,group D,associate's degree,free/reduced
1961673,female,group C,some college,standard
1961674,female,group C,associate's degree,standard
1961675,female,group D,high school,standard
1961676,female,group B,some college,standard
1961677,female,group E,some college,standard
1961678,female,group C,some high school,standard
1961679,male,group D,associate's degree,free/reduced
1961680,male,group D,some college,free/reduced
1961681,female,group D,high school,standard
1961682,male,group B,high school,standard
1961683,male,group B,high school,standard
1961684,female,group C,some high school,free/reduced
1961685,male,group B,some college,standard
1961686,female,group E,master's degree,standard
1961687,male,group E,some college,standard
1961688,male,group D,associate's degree,free/reduced
1961689,male,group A,high school,free/reduced
1961690,male,group E,some college,free/reduced
1961691,female,group C,associate's degree,standard
1961692,female,group E,associate's degree,free/reduced
1961693,female,group C,bachelor's degree,free/reduced
1961694,female,group D,associate's degree,standard
1961695,female,group C,some high school,standard
1961696,female,group D,some college,free/reduced
1961697,female,group C,associate's degree,standard
1961698,female,group A,bachelor's degree,standard
1961699,female,group D,associate's degree,standard
1961700,male,group C,high school,free/reduced
1961701,female,group E,bachelor's degree,standard
1961702,female,group B,some high school,standard
1961703,male,group A,bachelor's degree,standard
1961704,female,group D,some college,standard
1961705,female,group B,some high school,free/reduced
1961706,male,group A,bachelor's degree,free/reduced
1961707,male,group D,high school,standard
1961708,male,group C,some college,standard
1961709,male,group D,high school,standard
1961710,female,group D,associate's degree,free/reduced
1961711,male,group C,some college,standard
1961712,female,group E,some high school,standard
1961713,female,group D,some college,standard
1961714,male,group D,master's degree,standard
1961715,female,group B,some high school,standard
1961716,female,group B,associate's degree,free/reduced
1961717,male,group C,associate's degree,standard
1961718,female,group C,associate's degree,standard
1961719,female,group C,high school,standard
1961720,male,group E,associate's degree,free/reduced
1961721,female,group C,some college,free/reduced
1961722,male,group D,some high school,free/reduced
1961723,female,group B,some high school,free/reduced
1961724,male,group C,high school,standard
1961725,male,group B,some college,standard
1961726,male,group E,some college,standard
1961727,female,group E,associate's degree,standard
1961728,male,group E,some high school,standard
1961729,female,group D,high school,free/reduced
1961730,male,group C,some college,standard
1961731,female,group B,associate's degree,free/reduced
1961732,male,group A,some high school,free/reduced
1961733,female,group C,some college,standard
1961734,male,group D,some high school,standard
1961735,female,group E,some college,free/reduced
1961736,male,group C,master's degree,standard
1961737,male,group C,associate's degree,standard
1961738,female,group B,some college,free/reduced
1961739,male,group D,associate's degree,standard
1961740,male,group C,high school,free/reduced
1961741,male,group D,bachelor's degree,standard
1961742,female,group A,associate's degree,free/reduced
1961743,female,group C,high school,standard
1961744,female,group C,associate's degree,standard
1961745,male,group B,some college,free/reduced
1961746,male,group D,associate's degree,standard
1961747,male,group D,high school,standard
1961748,male,group C,some college,standard
1961749,female,group C,bachelor's degree,free/reduced
1961750,male,group B,some college,standard
1961751,male,group D,some high school,standard
1961752,male,group E,some college,standard
1961753,male,group C,master's degree,free/reduced
1961754,female,group C,some high school,standard
1961755,male,group C,associate's degree,free/reduced
1961756,female,group E,associate's degree,standard
1961757,male,group D,some college,standard
1961758,male,group E,bachelor's degree,free/reduced
1961759,female,group D,some college,free/reduced
1961760,male,group B,some college,standard
1961761,female,group C,high school,free/reduced
1961762,female,group D,some high school,standard
1961763,male,group D,some high school,standard
1961764,female,group B,high school,standard
1961765,male,group D,some college,standard
1961766,female,group B,high school,standard
1961767,female,group C,high school,standard
1961768,male,group B,high school,standard
1961769,female,group D,some high school,standard
1961770,male,group A,some college,free/reduced
1961771,male,group B,high school,standard
1961772,male,group D,bachelor's degree,standard
1961773,female,group B,some high school,free/reduced
1961774,female,group C,bachelor's degree,free/reduced
1961775,male,group B,some college,standard
1961776,female,group B,some high school,free/reduced
1961777,female,group B,high school,standard
1961778,female,group C,some college,free/reduced
1961779,female,group A,some college,standard
1961780,male,group E,associate's degree,standard
1961781,female,group D,associate's degree,free/reduced
1961782,female,group B,master's degree,standard
1961783,female,group B,high school,free/reduced
1961784,female,group C,associate's degree,standard
1961785,male,group C,bachelor's degree,standard
1961786,female,group B,some high school,standard
1961787,female,group E,some high school,free/reduced
1961788,female,group B,some college,standard
1961789,male,group C,associate's degree,free/reduced
1961790,female,group C,master's degree,free/reduced
1961791,female,group B,high school,standard
1961792,female,group D,some college,free/reduced
