Id,gender,race/ethnicity,parental level of education
1961851,female,group A,high school
1961852,female,group E,some college
1961853,male,group E,some high school
1961854,male,group C,some high school
1961855,female,group B,bachelor's degree
1961856,male,group B,some college
1961857,female,group C,bachelor's degree
1961858,male,group B,high school
1961859,male,group C,associate's degree
1961860,female,group C,associate's degree
1961861,female,group E,master's degree
1961862,male,group D,bachelor's degree
1961863,female,group C,some college
1961864,male,group C,associate's degree
1961865,male,group D,some college
1961866,male,group C,high school
1961867,male,group B,associate's degree
1961868,male,group E,associate's degree
1961869,male,group C,associate's degree
1961870,male,group B,high school
1961871,female,group C,some college
1961872,male,group B,associate's degree
1961873,male,group E,associate's degree
1961874,female,group C,bachelor's degree
1961875,male,group C,some college
1961876,male,group D,some college
1961877,male,group C,some high school
1961878,female,group D,some high school
1961879,female,group D,associate's degree
1961880,male,group C,bachelor's degree
1961881,female,group E,bachelor's degree
1961882,female,group B,high school
1961883,male,group D,bachelor's degree
1961884,female,group E,associate's degree
1961885,female,group C,associate's degree
1961886,female,group E,associate's degree
1961887,male,group C,high school
1961888,female,group D,some college
1961889,male,group D,high school
1961890,female,group E,some college
1961891,female,group E,associate's degree
1961892,female,group A,master's degree
1961893,male,group D,some high school
1961894,female,group E,associate's degree
1961895,female,group E,some high school
1961896,male,group B,high school
1961897,female,group B,some high school
1961898,male,group D,associate's degree
1961899,female,group D,some high school
1961900,male,group D,master's degree
1961901,female,group C,master's degree
1961902,female,group A,high school
1961903,female,group D,bachelor's degree
1961904,female,group D,some high school
1961905,male,group D,some college
1961906,male,group B,high school
1961907,female,group D,some college
1961908,female,group C,bachelor's degree
1961909,male,group E,bachelor's degree
1961910,male,group D,bachelor's degree
1961911,female,group A,some college
1961912,female,group C,bachelor's degree
1961913,female,group C,bachelor's degree
1961914,female,group B,associate's degree
1961915,female,group E,some college
1961916,male,group E,bachelor's degree
1961917,female,group C,high school
1961918,female,group C,associate's degree
1961919,male,group B,some college
1961920,male,group D,high school
1961921,female,group C,high school
1961922,male,group D,high school
1961923,female,group B,associate's degree
1961924,male,group D,high school
1961925,male,group E,some high school
1961926,male,group E,associate's degree
1961927,female,group D,high school
1961928,male,group E,associate's degree
1961929,female,group C,some high school
1961930,male,group C,some college
1961931,male,group D,some college
1961932,male,group D,associate's degree
1961933,male,group C,bachelor's degree
1961934,male,group C,associate's degree
1961935,male,group D,some college
1961936,male,group A,associate's degree
1961937,female,group E,high school
1961938,male,group D,some college
1961939,male,group D,some high school
1961940,male,group C,master's degree
1961941,female,group D,master's degree
1961942,male,group C,high school
1961943,male,group A,some high school
1961944,female,group B,high school
1961945,female,group C,associate's degree
1961946,male,group B,high school
1961947,female,group D,some college
1961948,male,group B,some high school
1961949,female,group E,high school
1961950,male,group E,high school
1961951,female,group D,some college
1961952,female,group E,some high school
1961953,male,group C,high school
1961954,female,group C,some college
1961955,male,group E,associate's degree
1961956,male,group C,some college
1961957,female,group D,master's degree
1961958,female,group D,high school
1961959,male,group C,high school
1961960,female,group A,some college
1961961,female,group D,some high school
1961962,female,group E,associate's degree
1961963,female,group C,some high school
1961964,male,group D,some college
1961965,female,group D,some college
1961966,male,group A,some high school
1961967,male,group C,some college
1961968,female,group E,associate's degree
1961969,female,group B,bachelor's degree
1961970,female,group D,bachelor's degree
1961971,male,group C,some high school
1961972,female,group A,high school
1961973,female,group D,some college
1961974,female,group A,some college
1961975,female,group C,some college
1961976,male,group B,some college
1961977,male,group C,associate's degree
1961978,male,group D,high school
1961979,female,group C,associate's degree
1961980,female,group B,high school
1961981,male,group D,some high school
1961982,male,group B,some high school
1961983,female,group A,some college
1961984,female,group C,some high school
1961985,male,group A,high school
1961986,female,group C,associate's degree
1961987,male,group E,some high school
1961988,female,group A,some high school
1961989,female,group D,some college
1961990,male,group E,high school
1961991,female,group B,some high school
1961992,female,group D,associate's degree
1961993,female,group D,bachelor's degree
1961994,male,group A,high school
1961995,female,group E,master's degree
1961996,male,group C,high school
1961997,female,group C,high school
1961998,female,group D,some college
1961999,female,group D,some college
