Id,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
22025,88.0,86.0,85.0,90.0,90.0,85.0,87.0,86.0,88.0,89.0,88.0,88.0,,90.0,90.0
22026,82.0,80.0,82.0,82.0,80.0,84.0,85.0,82.0,81.0,84.0,84.0,81.0,53.0,75.0,78.0
22027,76.0,77.0,77.0,80.0,75.0,75.0,76.0,80.0,78.0,76.0,76.0,80.0,79.0,75.0,80.0
22028,70.0,70.0,73.0,71.0,75.0,70.0,70.0,75.0,72.0,72.0,73.0,72.0,70.0,71.0,72.0
22029,68.0,70.0,65.0,67.0,66.0,68.0,67.0,68.0,65.0,70.0,68.0,66.0,66.0,68.0,65.0
22030,60.0,61.0,64.0,64.0,62.0,60.0,62.0,63.0,64.0,64.0,63.0,60.0,64.0,,61.0
22031,55.0,56.0,58.0,58.0,58.0,55.0,57.0,58.0,59.0,56.0,58.0,56.0,57.0,60.0,59.0
22032,53.0,50.0,53.0,52.0,54.0,51.0,52.0,53.0,52.0,54.0,50.0,55.0,55.0,52.0,51.0
22033,48.0,,49.0,47.0,49.0,48.0,46.0,47.0,48.0,50.0,48.0,49.0,45.0,47.0,49.0
22034,45.0,41.0,42.0,42.0,41.0,45.0,44.0,44.0,41.0,45.0,43.0,44.0,44.0,42.0,42.0
22035,40.0,37.0,37.0,35.0,40.0,40.0,39.0,36.0,40.0,39.0,39.0,39.0,38.0,40.0,39.0
22036,33.0,31.0,33.0,30.0,34.0,34.0,33.0,34.0,32.0,32.0,32.0,32.0,33.0,34.0,33.0
22037,25.0,30.0,30.0,29.0,25.0,30.0,28.0,26.0,29.0,25.0,30.0,30.0,30.0,30.0,30.0
22038,24.0,20.0,22.0,10.0,23.0,25.0,23.0,14.0,18.0,13.0,25.0,22.0,14.0,16.0,21.0
22039,3.0,9.0,1.0,4.0,0.0,,,1.0,10.0,2.0,4.0,4.0,2.0,5.0,10.0
22040,115.0,112.0,110.0,116.0,118.0,110.0,112.0,112.0,117.0,110.0,112.0,112.0,111.0,114.0,116.0
22041,110.0,105.0,109.0,109.0,110.0,110.0,107.0,106.0,105.0,105.0,110.0,107.0,106.0,110.0,109.0
22042,104.0,105.0,105.0,105.0,103.0,104.0,104.0,101.0,104.0,100.0,101.0,104.0,101.0,103.0,100.0
22043,97.0,95.0,98.0,97.0,98.0,95.0,97.0,95.0,98.0,95.0,98.0,96.0,97.0,98.0,98.0
22044,90.0,91.0,95.0,94.0,92.0,90.0,94.0,93.0,94.0,90.0,90.0,91.0,91.0,93.0,92.0
22045,86.0,89.0,87.0,88.0,,89.0,88.0,90.0,89.0,86.0,85.0,89.0,87.0,90.0,88.0
22046,81.0,80.0,82.0,82.0,84.0,83.0,,82.0,83.0,82.0,85.0,84.0,80.0,78.0,55.0
22047,75.0,79.0,75.0,80.0,76.0,77.0,80.0,79.0,75.0,78.0,75.0,76.0,75.0,80.0,76.0
22048,73.0,70.0,71.0,71.0,74.0,71.0,74.0,72.0,74.0,73.0,74.0,70.0,72.0,75.0,70.0
22049,68.0,69.0,66.0,69.0,66.0,65.0,68.0,70.0,66.0,68.0,65.0,70.0,67.0,66.0,70.0
22050,60.0,61.0,63.0,65.0,64.0,61.0,65.0,62.0,61.0,62.0,62.0,64.0,62.0,65.0,65.0
22051,56.0,56.0,60.0,60.0,58.0,60.0,55.0,60.0,56.0,60.0,57.0,58.0,57.0,56.0,60.0
22052,53.0,52.0,53.0,51.0,53.0,55.0,53.0,52.0,54.0,51.0,55.0,53.0,50.0,51.0,55.0
22053,46.0,46.0,45.0,48.0,47.0,48.0,49.0,45.0,46.0,46.0,48.0,48.0,50.0,45.0,48.0
22054,45.0,42.0,40.0,43.0,40.0,44.0,45.0,41.0,41.0,44.0,44.0,42.0,44.0,45.0,44.0
22055,40.0,35.0,39.0,40.0,40.0,36.0,40.0,37.0,40.0,40.0,39.0,39.0,35.0,38.0,36.0
22056,34.0,30.0,32.0,32.0,35.0,35.0,34.0,34.0,31.0,35.0,34.0,35.0,33.0,35.0,32.0
22057,26.0,28.0,29.0,25.0,25.0,25.0,30.0,30.0,28.0,25.0,27.0,26.0,27.0,28.0,27.0
22058,15.0,17.0,11.0,18.0,13.0,17.0,20.0,18.0,11.0,20.0,11.0,18.0,21.0,23.0,14.0
22059,3.0,6.0,1.0,5.0,3.0,7.0,7.0,3.0,,5.0,1.0,4.0,1.0,5.0,0.0
22060,110.0,114.0,119.0,118.0,112.0,118.0,119.0,119.0,118.0,117.0,114.0,115.0,120.0,113.0,119.0
22061,109.0,109.0,109.0,105.0,109.0,107.0,106.0,109.0,105.0,105.0,109.0,107.0,106.0,110.0,109.0
22062,102.0,100.0,105.0,,102.0,101.0,103.0,102.0,100.0,105.0,103.0,105.0,100.0,103.0,102.0
22063,99.0,97.0,98.0,96.0,99.0,98.0,97.0,100.0,96.0,96.0,97.0,,96.0,97.0,95.0
22064,92.0,94.0,91.0,90.0,94.0,92.0,91.0,94.0,90.0,90.0,91.0,94.0,90.0,90.0,93.0
22065,89.0,86.0,90.0,85.0,87.0,87.0,87.0,90.0,89.0,85.0,90.0,87.0,87.0,86.0,85.0
22066,84.0,84.0,81.0,81.0,80.0,82.0,82.0,83.0,85.0,82.0,84.0,85.0,82.0,65.0,72.0
22067,78.0,75.0,76.0,80.0,79.0,78.0,77.0,76.0,76.0,76.0,78.0,76.0,75.0,80.0,75.0
22068,72.0,70.0,74.0,72.0,70.0,70.0,74.0,75.0,74.0,73.0,73.0,73.0,74.0,73.0,72.0
22069,67.0,69.0,68.0,68.0,66.0,65.0,70.0,67.0,67.0,67.0,68.0,70.0,70.0,68.0,67.0
22070,63.0,62.0,65.0,61.0,65.0,64.0,61.0,64.0,61.0,60.0,60.0,65.0,61.0,63.0,63.0
22071,57.0,55.0,55.0,55.0,55.0,55.0,60.0,56.0,56.0,55.0,59.0,59.0,59.0,,57.0
22072,53.0,53.0,54.0,53.0,52.0,55.0,51.0,54.0,51.0,54.0,55.0,50.0,54.0,54.0,54.0
22073,50.0,49.0,50.0,46.0,49.0,,48.0,46.0,50.0,47.0,50.0,48.0,48.0,49.0,50.0
22074,43.0,45.0,40.0,44.0,44.0,43.0,43.0,43.0,42.0,44.0,43.0,41.0,43.0,42.0,41.0
22075,37.0,40.0,39.0,38.0,35.0,37.0,38.0,37.0,35.0,36.0,35.0,40.0,35.0,35.0,40.0
22076,31.0,,33.0,35.0,34.0,,30.0,35.0,31.0,35.0,33.0,35.0,33.0,30.0,31.0
22077,29.0,30.0,28.0,28.0,28.0,30.0,25.0,25.0,25.0,27.0,29.0,29.0,27.0,29.0,26.0
22078,24.0,16.0,10.0,19.0,25.0,24.0,14.0,24.0,16.0,13.0,15.0,18.0,14.0,23.0,21.0
22079,8.0,2.0,2.0,3.0,3.0,10.0,0.0,3.0,9.0,1.0,8.0,9.0,2.0,3.0,9.0
22080,120.0,111.0,113.0,118.0,119.0,110.0,111.0,118.0,111.0,115.0,114.0,119.0,111.0,118.0,114.0
22081,105.0,106.0,110.0,108.0,107.0,107.0,110.0,110.0,105.0,109.0,105.0,106.0,110.0,105.0,110.0
22082,101.0,103.0,101.0,101.0,100.0,103.0,104.0,102.0,100.0,103.0,105.0,100.0,100.0,101.0,104.0
22083,99.0,100.0,98.0,98.0,99.0,100.0,95.0,100.0,95.0,98.0,95.0,97.0,97.0,98.0,100.0
22084,90.0,93.0,91.0,94.0,91.0,94.0,91.0,91.0,92.0,95.0,90.0,90.0,92.0,93.0,95.0
22085,86.0,86.0,85.0,87.0,88.0,89.0,88.0,87.0,85.0,88.0,88.0,89.0,85.0,89.0,89.0
22086,83.0,83.0,82.0,82.0,84.0,83.0,81.0,82.0,80.0,83.0,83.0,82.0,69.0,64.0,69.0
22087,80.0,75.0,80.0,77.0,76.0,75.0,79.0,77.0,75.0,76.0,78.0,75.0,77.0,77.0,79.0
22088,72.0,74.0,75.0,73.0,73.0,74.0,71.0,75.0,70.0,73.0,70.0,71.0,71.0,75.0,73.0
22089,69.0,66.0,66.0,,65.0,65.0,65.0,70.0,70.0,68.0,68.0,69.0,66.0,70.0,68.0
22090,63.0,60.0,65.0,62.0,63.0,61.0,60.0,63.0,65.0,63.0,60.0,61.0,64.0,65.0,61.0
22091,57.0,59.0,57.0,56.0,55.0,57.0,56.0,58.0,60.0,58.0,60.0,57.0,55.0,58.0,56.0
22092,53.0,51.0,54.0,52.0,55.0,50.0,53.0,52.0,52.0,52.0,51.0,53.0,53.0,53.0,55.0
22093,48.0,50.0,49.0,48.0,49.0,46.0,48.0,45.0,47.0,45.0,46.0,50.0,48.0,48.0,46.0
22094,44.0,41.0,44.0,41.0,41.0,44.0,41.0,44.0,43.0,40.0,40.0,43.0,40.0,40.0,44.0
22095,39.0,39.0,36.0,37.0,37.0,36.0,40.0,35.0,39.0,36.0,40.0,35.0,36.0,36.0,36.0
22096,32.0,33.0,30.0,35.0,35.0,33.0,32.0,32.0,31.0,30.0,34.0,33.0,35.0,32.0,33.0
22097,28.0,30.0,28.0,29.0,30.0,30.0,30.0,30.0,28.0,27.0,28.0,30.0,28.0,30.0,28.0
22098,15.0,13.0,21.0,13.0,16.0,15.0,14.0,18.0,17.0,12.0,14.0,12.0,22.0,10.0,25.0
22099,1.0,9.0,3.0,7.0,7.0,9.0,5.0,2.0,3.0,4.0,1.0,6.0,10.0,10.0,6.0
22100,117.0,116.0,111.0,110.0,119.0,111.0,113.0,116.0,115.0,118.0,110.0,120.0,112.0,114.0,114.0
22101,107.0,105.0,105.0,107.0,106.0,106.0,110.0,107.0,110.0,108.0,106.0,105.0,106.0,108.0,110.0
22102,103.0,104.0,101.0,104.0,102.0,105.0,101.0,101.0,101.0,104.0,102.0,105.0,101.0,100.0,100.0
22103,97.0,97.0,96.0,100.0,95.0,99.0,100.0,95.0,97.0,97.0,96.0,100.0,96.0,98.0,98.0
22104,93.0,92.0,93.0,90.0,95.0,92.0,91.0,94.0,91.0,95.0,95.0,92.0,92.0,93.0,91.0
22105,90.0,89.0,85.0,87.0,89.0,87.0,87.0,87.0,86.0,90.0,89.0,90.0,89.0,88.0,87.0
22106,85.0,84.0,84.0,82.0,84.0,83.0,84.0,80.0,82.0,85.0,82.0,84.0,72.0,58.0,53.0
22107,79.0,80.0,79.0,76.0,75.0,79.0,77.0,77.0,76.0,,77.0,76.0,77.0,80.0,77.0
22108,71.0,72.0,70.0,74.0,75.0,75.0,74.0,72.0,72.0,73.0,70.0,73.0,71.0,75.0,71.0
22109,69.0,69.0,68.0,67.0,69.0,65.0,67.0,68.0,69.0,66.0,67.0,70.0,67.0,68.0,66.0
22110,63.0,65.0,60.0,63.0,65.0,60.0,62.0,61.0,64.0,64.0,64.0,65.0,62.0,64.0,64.0
22111,60.0,55.0,59.0,59.0,59.0,57.0,58.0,55.0,58.0,57.0,55.0,60.0,55.0,55.0,60.0
22112,52.0,54.0,55.0,55.0,52.0,52.0,52.0,53.0,54.0,54.0,51.0,50.0,52.0,55.0,55.0
22113,45.0,47.0,50.0,48.0,49.0,47.0,50.0,50.0,48.0,47.0,47.0,45.0,45.0,47.0,48.0
22114,45.0,41.0,40.0,42.0,40.0,41.0,44.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,42.0
22115,40.0,35.0,38.0,37.0,39.0,36.0,38.0,35.0,39.0,36.0,38.0,36.0,35.0,38.0,39.0
22116,32.0,30.0,34.0,31.0,32.0,35.0,30.0,34.0,31.0,33.0,33.0,31.0,33.0,35.0,32.0
22117,25.0,29.0,28.0,25.0,26.0,30.0,30.0,26.0,30.0,27.0,28.0,30.0,26.0,26.0,28.0
22118,15.0,11.0,10.0,18.0,23.0,25.0,11.0,16.0,11.0,19.0,17.0,24.0,15.0,20.0,19.0
22119,6.0,9.0,2.0,6.0,1.0,4.0,9.0,7.0,6.0,6.0,2.0,10.0,7.0,3.0,3.0
22120,117.0,112.0,119.0,115.0,115.0,114.0,114.0,120.0,113.0,118.0,111.0,118.0,119.0,114.0,114.0
22121,105.0,107.0,109.0,105.0,107.0,110.0,105.0,109.0,105.0,108.0,108.0,107.0,109.0,109.0,106.0
22122,100.0,103.0,100.0,102.0,105.0,105.0,105.0,104.0,104.0,105.0,,101.0,100.0,101.0,100.0
22123,96.0,100.0,100.0,95.0,98.0,95.0,98.0,96.0,96.0,99.0,96.0,99.0,97.0,95.0,100.0
22124,91.0,93.0,94.0,91.0,92.0,93.0,91.0,95.0,90.0,93.0,90.0,90.0,92.0,94.0,95.0
22125,87.0,90.0,87.0,87.0,87.0,85.0,89.0,88.0,87.0,86.0,85.0,85.0,85.0,88.0,89.0
22126,81.0,80.0,81.0,81.0,81.0,80.0,84.0,80.0,83.0,84.0,83.0,81.0,77.0,54.0,69.0
22127,76.0,79.0,78.0,75.0,76.0,75.0,76.0,75.0,75.0,76.0,75.0,78.0,80.0,80.0,80.0
22128,71.0,71.0,71.0,70.0,75.0,73.0,70.0,72.0,70.0,75.0,70.0,73.0,73.0,73.0,74.0
22129,68.0,69.0,70.0,66.0,69.0,67.0,68.0,65.0,69.0,,67.0,70.0,69.0,66.0,66.0
22130,63.0,64.0,65.0,60.0,60.0,63.0,63.0,62.0,61.0,62.0,60.0,63.0,61.0,61.0,61.0
22131,60.0,59.0,55.0,58.0,58.0,56.0,55.0,55.0,56.0,58.0,55.0,59.0,59.0,58.0,60.0
22132,54.0,50.0,55.0,52.0,50.0,51.0,52.0,55.0,54.0,54.0,54.0,51.0,55.0,50.0,51.0
22133,,45.0,47.0,50.0,47.0,47.0,48.0,45.0,50.0,49.0,48.0,45.0,46.0,48.0,49.0
22134,44.0,45.0,45.0,40.0,45.0,42.0,40.0,40.0,42.0,41.0,43.0,45.0,45.0,40.0,45.0
22135,37.0,37.0,37.0,35.0,35.0,38.0,39.0,36.0,38.0,35.0,40.0,35.0,37.0,38.0,37.0
22136,30.0,33.0,32.0,34.0,30.0,32.0,32.0,34.0,30.0,31.0,33.0,33.0,31.0,35.0,32.0
22137,28.0,29.0,30.0,27.0,30.0,29.0,29.0,26.0,27.0,25.0,25.0,30.0,29.0,26.0,27.0
22138,13.0,19.0,12.0,12.0,22.0,17.0,16.0,14.0,12.0,23.0,10.0,24.0,22.0,20.0,21.0
22139,10.0,2.0,3.0,10.0,3.0,9.0,9.0,10.0,7.0,1.0,8.0,9.0,1.0,4.0,2.0
22140,110.0,119.0,118.0,119.0,111.0,120.0,119.0,119.0,117.0,119.0,114.0,116.0,116.0,110.0,113.0
22141,108.0,108.0,109.0,110.0,108.0,107.0,107.0,106.0,108.0,107.0,110.0,109.0,110.0,108.0,105.0
22142,105.0,102.0,101.0,102.0,102.0,102.0,100.0,100.0,100.0,100.0,105.0,100.0,102.0,105.0,102.0
22143,99.0,98.0,100.0,99.0,97.0,98.0,98.0,97.0,95.0,96.0,95.0,96.0,97.0,98.0,100.0
22144,91.0,90.0,92.0,92.0,95.0,90.0,92.0,92.0,95.0,93.0,92.0,92.0,93.0,91.0,92.0
22145,90.0,85.0,86.0,86.0,88.0,85.0,86.0,85.0,88.0,89.0,86.0,89.0,90.0,88.0,87.0
22146,83.0,81.0,84.0,81.0,82.0,82.0,85.0,82.0,84.0,80.0,80.0,81.0,80.0,65.0,63.0
22147,77.0,75.0,76.0,80.0,78.0,76.0,77.0,78.0,76.0,79.0,79.0,77.0,76.0,80.0,80.0
22148,70.0,71.0,73.0,73.0,73.0,,75.0,72.0,70.0,72.0,74.0,74.0,74.0,70.0,72.0
22149,66.0,65.0,65.0,65.0,65.0,68.0,66.0,65.0,68.0,69.0,66.0,68.0,70.0,65.0,67.0
22150,60.0,60.0,63.0,60.0,65.0,65.0,64.0,65.0,65.0,60.0,64.0,64.0,64.0,64.0,61.0
22151,58.0,56.0,55.0,56.0,57.0,60.0,56.0,55.0,60.0,57.0,56.0,56.0,60.0,55.0,59.0
22152,52.0,55.0,52.0,51.0,54.0,53.0,50.0,52.0,51.0,54.0,51.0,53.0,53.0,53.0,50.0
22153,50.0,49.0,45.0,47.0,50.0,48.0,46.0,48.0,47.0,48.0,50.0,48.0,45.0,45.0,45.0
22154,40.0,45.0,41.0,40.0,,42.0,45.0,44.0,41.0,44.0,,43.0,41.0,44.0,42.0
22155,39.0,40.0,40.0,38.0,36.0,39.0,35.0,37.0,37.0,36.0,37.0,40.0,35.0,39.0,36.0
22156,33.0,31.0,33.0,33.0,31.0,30.0,35.0,35.0,31.0,35.0,30.0,33.0,33.0,32.0,30.0
22157,29.0,26.0,28.0,26.0,30.0,28.0,27.0,29.0,27.0,27.0,26.0,28.0,25.0,26.0,28.0
22158,18.0,14.0,23.0,22.0,23.0,20.0,16.0,24.0,10.0,12.0,25.0,18.0,12.0,15.0,25.0
22159,10.0,1.0,3.0,10.0,2.0,5.0,8.0,6.0,1.0,6.0,1.0,1.0,1.0,0.0,3.0
22160,110.0,112.0,117.0,117.0,114.0,,111.0,116.0,119.0,118.0,112.0,111.0,116.0,112.0,113.0
22161,110.0,109.0,109.0,105.0,108.0,107.0,109.0,105.0,106.0,110.0,105.0,105.0,106.0,107.0,109.0
22162,104.0,102.0,102.0,104.0,104.0,100.0,104.0,103.0,102.0,102.0,103.0,101.0,102.0,101.0,101.0
22163,95.0,100.0,95.0,98.0,100.0,97.0,98.0,97.0,98.0,100.0,98.0,96.0,99.0,96.0,95.0
22164,92.0,93.0,92.0,95.0,92.0,95.0,93.0,93.0,91.0,95.0,95.0,93.0,94.0,,92.0
22165,87.0,89.0,86.0,87.0,85.0,89.0,86.0,89.0,85.0,90.0,87.0,90.0,88.0,87.0,89.0
22166,80.0,82.0,83.0,80.0,80.0,83.0,83.0,85.0,84.0,81.0,81.0,80.0,77.0,63.0,67.0
22167,79.0,77.0,75.0,78.0,76.0,77.0,75.0,78.0,75.0,79.0,75.0,75.0,80.0,78.0,75.0
22168,72.0,73.0,72.0,75.0,72.0,74.0,75.0,75.0,74.0,75.0,73.0,73.0,70.0,72.0,70.0
22169,68.0,65.0,68.0,68.0,69.0,68.0,67.0,66.0,69.0,68.0,69.0,68.0,69.0,66.0,68.0
22170,61.0,61.0,62.0,61.0,65.0,63.0,,64.0,65.0,63.0,63.0,65.0,65.0,62.0,65.0
22171,57.0,58.0,59.0,55.0,58.0,59.0,55.0,60.0,57.0,60.0,60.0,57.0,55.0,60.0,58.0
22172,54.0,55.0,53.0,53.0,55.0,51.0,55.0,50.0,54.0,52.0,53.0,50.0,54.0,55.0,52.0
22173,45.0,49.0,50.0,48.0,45.0,48.0,49.0,48.0,45.0,49.0,45.0,45.0,49.0,50.0,46.0
22174,42.0,44.0,40.0,45.0,41.0,44.0,44.0,41.0,44.0,42.0,43.0,41.0,40.0,43.0,45.0
22175,37.0,38.0,37.0,35.0,36.0,39.0,36.0,36.0,37.0,36.0,39.0,40.0,39.0,,40.0
22176,34.0,32.0,32.0,33.0,35.0,31.0,32.0,35.0,33.0,30.0,34.0,31.0,35.0,30.0,35.0
22177,29.0,30.0,30.0,26.0,29.0,28.0,26.0,29.0,28.0,29.0,30.0,30.0,26.0,28.0,25.0
22178,13.0,11.0,18.0,17.0,17.0,22.0,24.0,24.0,19.0,11.0,23.0,25.0,16.0,20.0,12.0
22179,,0.0,4.0,8.0,5.0,6.0,7.0,3.0,7.0,6.0,10.0,0.0,2.0,7.0,0.0
22180,115.0,118.0,113.0,113.0,119.0,112.0,110.0,111.0,117.0,110.0,112.0,120.0,113.0,112.0,113.0
22181,109.0,106.0,105.0,107.0,107.0,110.0,108.0,108.0,110.0,110.0,109.0,106.0,110.0,109.0,105.0
22182,105.0,100.0,102.0,105.0,104.0,100.0,104.0,104.0,100.0,104.0,101.0,101.0,102.0,105.0,101.0
22183,96.0,98.0,99.0,98.0,99.0,95.0,95.0,98.0,96.0,96.0,95.0,96.0,99.0,100.0,97.0
22184,92.0,93.0,,,91.0,95.0,94.0,92.0,90.0,92.0,90.0,92.0,90.0,94.0,94.0
22185,90.0,89.0,88.0,90.0,85.0,89.0,90.0,87.0,87.0,87.0,85.0,89.0,85.0,89.0,90.0
22186,82.0,80.0,80.0,82.0,81.0,84.0,84.0,85.0,84.0,83.0,85.0,84.0,53.0,71.0,67.0
22187,77.0,75.0,77.0,80.0,78.0,79.0,80.0,77.0,78.0,77.0,78.0,80.0,77.0,75.0,78.0
22188,74.0,74.0,70.0,72.0,70.0,75.0,71.0,71.0,74.0,73.0,75.0,70.0,73.0,73.0,71.0
22189,66.0,70.0,66.0,65.0,65.0,67.0,67.0,68.0,68.0,70.0,70.0,65.0,65.0,68.0,67.0
22190,62.0,63.0,65.0,62.0,60.0,61.0,63.0,65.0,64.0,64.0,63.0,61.0,60.0,63.0,61.0
22191,59.0,57.0,60.0,58.0,57.0,60.0,59.0,55.0,59.0,57.0,57.0,56.0,56.0,58.0,60.0
22192,52.0,50.0,51.0,50.0,50.0,50.0,55.0,50.0,54.0,54.0,54.0,53.0,52.0,55.0,51.0
22193,48.0,45.0,49.0,50.0,47.0,49.0,46.0,50.0,48.0,49.0,50.0,45.0,46.0,50.0,45.0
22194,43.0,41.0,,45.0,40.0,45.0,42.0,41.0,43.0,,40.0,44.0,44.0,41.0,42.0
22195,39.0,37.0,35.0,35.0,35.0,39.0,38.0,39.0,39.0,40.0,38.0,39.0,38.0,35.0,38.0
22196,34.0,30.0,30.0,30.0,32.0,34.0,35.0,35.0,33.0,33.0,34.0,32.0,33.0,35.0,30.0
22197,26.0,26.0,28.0,28.0,29.0,27.0,26.0,30.0,28.0,28.0,26.0,29.0,27.0,27.0,27.0
22198,23.0,17.0,23.0,25.0,16.0,20.0,23.0,23.0,14.0,21.0,22.0,15.0,23.0,10.0,15.0
22199,5.0,1.0,4.0,6.0,3.0,1.0,8.0,0.0,2.0,5.0,7.0,5.0,1.0,4.0,5.0
22200,110.0,111.0,110.0,114.0,114.0,116.0,113.0,116.0,118.0,113.0,118.0,114.0,114.0,120.0,117.0
22201,107.0,108.0,109.0,110.0,108.0,109.0,110.0,107.0,109.0,105.0,110.0,107.0,109.0,106.0,110.0
22202,102.0,102.0,105.0,100.0,105.0,101.0,,104.0,104.0,104.0,103.0,101.0,100.0,105.0,102.0
22203,97.0,95.0,95.0,97.0,97.0,95.0,100.0,100.0,99.0,97.0,96.0,97.0,98.0,100.0,98.0
22204,93.0,90.0,93.0,95.0,90.0,94.0,91.0,94.0,94.0,91.0,93.0,95.0,91.0,90.0,93.0
22205,87.0,88.0,86.0,85.0,87.0,88.0,87.0,87.0,86.0,90.0,86.0,89.0,89.0,88.0,85.0
22206,80.0,80.0,81.0,80.0,84.0,82.0,83.0,80.0,85.0,80.0,81.0,81.0,65.0,54.0,67.0
22207,80.0,79.0,77.0,78.0,79.0,75.0,79.0,80.0,79.0,78.0,79.0,80.0,79.0,78.0,76.0
22208,72.0,70.0,71.0,74.0,74.0,71.0,75.0,71.0,73.0,70.0,74.0,74.0,72.0,71.0,73.0
22209,66.0,70.0,67.0,68.0,67.0,69.0,68.0,69.0,67.0,70.0,70.0,67.0,65.0,67.0,70.0
22210,60.0,62.0,64.0,63.0,65.0,60.0,64.0,63.0,61.0,64.0,60.0,64.0,64.0,63.0,63.0
22211,60.0,57.0,56.0,55.0,58.0,60.0,56.0,58.0,59.0,55.0,57.0,56.0,59.0,57.0,60.0
22212,51.0,50.0,,53.0,52.0,50.0,53.0,53.0,53.0,53.0,53.0,54.0,51.0,53.0,53.0
22213,49.0,47.0,48.0,50.0,46.0,49.0,50.0,45.0,46.0,50.0,47.0,48.0,46.0,49.0,49.0
22214,41.0,42.0,41.0,43.0,45.0,45.0,42.0,41.0,42.0,44.0,41.0,41.0,40.0,43.0,41.0
22215,40.0,36.0,38.0,39.0,39.0,39.0,40.0,39.0,37.0,38.0,36.0,36.0,38.0,37.0,38.0
22216,33.0,32.0,30.0,34.0,30.0,33.0,30.0,34.0,34.0,31.0,34.0,34.0,34.0,35.0,33.0
22217,25.0,25.0,28.0,29.0,29.0,26.0,26.0,29.0,25.0,25.0,26.0,27.0,26.0,29.0,28.0
22218,13.0,15.0,21.0,12.0,15.0,13.0,20.0,12.0,12.0,16.0,14.0,13.0,22.0,22.0,25.0
22219,10.0,7.0,1.0,7.0,9.0,8.0,8.0,6.0,2.0,2.0,10.0,7.0,3.0,9.0,9.0
22220,118.0,120.0,111.0,114.0,117.0,120.0,120.0,116.0,111.0,110.0,113.0,114.0,110.0,117.0,118.0
