Sample ID,pH,Temperature (°C),Turbidity (NTU)
480,7.33,23.2,4.6
481,7.07,20.8,3.8
482,7.21,22.4,4.5
483,7.23,21.2,4.2
484,7.16,23.0,3.6
485,7.28,20.9,4.5
486,7.09,22.5,3.9
487,7.22,23.3,4.3
488,7.04,20.7,4.4
489,7.35,22.6,3.7
490,7.08,21.3,4.6
491,7.26,23.1,3.9
492,7.03,22.0,4.2
493,7.15,23.2,3.6
494,7.19,21.4,4.3
495,7.11,22.7,4.5
496,7.01,20.8,4.6
497,7.31,22.5,3.8
498,7.02,21.2,4.7
499,7.25,23.0,3.9
500,7.12,20.9,4.4
