Id,MathScore,ReadingScore,WritingScore
2161095,79.0,86.0,92.0
2161096,78.0,81.0,82.0
2161097,65.0,66.0,62.0
2161098,63.0,72.0,70.0
2161099,58.0,67.0,62.0
2161100,65.0,67.0,62.0
2161101,79.0,67.0,67.0
2161102,68.0,74.0,74.0
2161103,85.0,91.0,89.0
2161104,60.0,44.0,47.0
2161105,98.0,86.0,90.0
2161106,58.0,67.0,72.0
2161107,87.0,100.0,100.0
2161108,66.0,63.0,64.0
2161109,52.0,76.0,70.0
2161110,70.0,64.0,72.0
2161111,77.0,89.0,98.0
2161112,62.0,55.0,
2161113,54.0,53.0,47.0
2161114,51.0,58.0,54.0
2161115,99.0,100.0,100.0
2161116,84.0,77.0,74.0
2161117,75.0,85.0,82.0
2161118,78.0,82.0,79.0
2161119,51.0,63.0,61.0
2161120,55.0,69.0,65.0
2161121,,92.0,89.0
2161122,91.0,89.0,92.0
2161123,88.0,93.0,93.0
2161124,63.0,57.0,56.0
2161125,83.0,80.0,73.0
2161126,87.0,95.0,86.0
2161127,72.0,68.0,
2161128,65.0,77.0,74.0
2161129,82.0,82.0,74.0
2161130,51.0,49.0,51.0
2161131,89.0,84.0,82.0
2161132,53.0,37.0,40.0
2161133,87.0,74.0,
2161134,75.0,81.0,84.0
2161135,74.0,79.0,75.0
2161136,58.0,55.0,48.0
2161137,51.0,54.0,41.0
2161138,70.0,55.0,56.0
2161139,59.0,66.0,67.0
2161140,71.0,61.0,69.0
2161141,76.0,72.0,71.0
2161142,59.0,62.0,64.0
2161143,42.0,55.0,54.0
2161144,57.0,43.0,47.0
2161145,88.0,73.0,78.0
2161146,22.0,39.0,33.0
2161147,88.0,84.0,75.0
2161148,73.0,68.0,66.0
2161149,68.0,75.0,81.0
2161150,100.0,100.0,93.0
2161151,62.0,67.0,69.0
2161152,77.0,67.0,68.0
2161153,59.0,70.0,66.0
2161154,54.0,49.0,47.0
2161155,62.0,67.0,61.0
2161156,70.0,89.0,88.0
2161157,66.0,74.0,78.0
2161158,60.0,60.0,60.0
2161159,61.0,86.0,87.0
2161160,66.0,62.0,64.0
2161161,82.0,78.0,74.0
2161162,75.0,88.0,85.0
2161163,49.0,53.0,52.0
2161164,52.0,53.0,49.0
2161165,81.0,92.0,91.0
2161166,96.0,100.0,100.0
2161167,53.0,51.0,51.0
2161168,58.0,76.0,78.0
2161169,68.0,83.0,78.0
2161170,67.0,75.0,70.0
2161171,72.0,73.0,74.0
2161172,94.0,88.0,78.0
2161173,79.0,86.0,81.0
2161174,63.0,67.0,70.0
2161175,43.0,51.0,54.0
2161176,81.0,91.0,87.0
2161177,46.0,54.0,58.0
2161178,71.0,77.0,77.0
2161179,52.0,70.0,62.0
2161180,97.0,100.0,100.0
2161181,62.0,68.0,75.0
2161182,46.0,64.0,66.0
2161183,50.0,50.0,47.0
2161184,65.0,69.0,70.0
2161185,45.0,52.0,49.0
2161186,65.0,67.0,65.0
2161187,80.0,76.0,65.0
2161188,62.0,66.0,68.0
2161189,48.0,52.0,45.0
2161190,77.0,88.0,87.0
2161191,66.0,65.0,69.0
2161192,76.0,83.0,79.0
2161193,62.0,64.0,66.0
2161194,77.0,62.0,62.0
2161195,69.0,84.0,85.0
2161196,61.0,55.0,52.0
2161197,59.0,69.0,65.0
2161198,55.0,56.0,51.0
2161199,45.0,53.0,55.0
2161200,78.0,79.0,76.0
2161201,67.0,84.0,86.0
2161202,65.0,81.0,
2161203,69.0,77.0,69.0
2161204,57.0,69.0,68.0
2161205,59.0,41.0,42.0
2161206,74.0,71.0,78.0
2161207,82.0,62.0,62.0
2161208,81.0,,76.0
2161209,74.0,81.0,76.0
2161210,58.0,61.0,66.0
2161211,80.0,79.0,79.0
2161212,35.0,28.0,27.0
2161213,42.0,,60.0
2161214,60.0,51.0,56.0
2161215,87.0,91.0,81.0
2161216,84.0,83.0,75.0
2161217,83.0,86.0,88.0
2161218,34.0,42.0,39.0
2161219,66.0,77.0,70.0
2161220,61.0,56.0,56.0
2161221,56.0,68.0,74.0
2161222,87.0,85.0,73.0
2161223,55.0,65.0,62.0
2161224,86.0,80.0,75.0
2161225,52.0,,73.0
2161226,45.0,56.0,54.0
2161227,72.0,72.0,71.0
2161228,57.0,50.0,54.0
2161229,68.0,72.0,64.0
2161230,88.0,95.0,94.0
2161231,76.0,64.0,
2161232,46.0,43.0,42.0
2161233,67.0,86.0,
2161234,92.0,87.0,78.0
2161235,83.0,82.0,84.0
2161236,80.0,75.0,77.0
2161237,63.0,66.0,67.0
2161238,64.0,60.0,74.0
2161239,54.0,52.0,51.0
2161240,84.0,80.0,80.0
2161241,73.0,68.0,66.0
2161242,80.0,83.0,83.0
2161243,56.0,52.0,
2161244,59.0,51.0,43.0
2161245,75.0,74.0,69.0
2161246,85.0,76.0,71.0
2161247,89.0,76.0,74.0
2161248,58.0,70.0,68.0
2161249,65.0,64.0,62.0
2161250,68.0,60.0,53.0
2161251,47.0,,49.0
2161252,71.0,83.0,83.0
2161253,60.0,70.0,70.0
2161254,80.0,80.0,72.0
2161255,54.0,52.0,52.0
2161256,62.0,73.0,70.0
2161257,64.0,73.0,68.0
2161258,78.0,77.0,77.0
2161259,70.0,75.0,78.0
2161260,65.0,81.0,81.0
2161261,64.0,79.0,77.0
2161262,79.0,79.0,78.0
2161263,44.0,50.0,51.0
2161264,99.0,93.0,90.0
2161265,76.0,73.0,68.0
2161266,59.0,42.0,41.0
2161267,63.0,75.0,81.0
2161268,69.0,72.0,77.0
2161269,88.0,92.0,
2161270,71.0,76.0,70.0
2161271,69.0,63.0,61.0
2161272,58.0,49.0,42.0
2161273,47.0,53.0,58.0
2161274,65.0,70.0,71.0
2161275,88.0,85.0,76.0
2161276,83.0,78.0,73.0
2161277,85.0,92.0,93.0
2161278,59.0,,75.0
2161279,65.0,86.0,80.0
2161280,73.0,56.0,57.0
2161281,53.0,52.0,42.0
2161282,45.0,48.0,46.0
2161283,73.0,79.0,84.0
2161284,70.0,78.0,78.0
2161285,37.0,46.0,46.0
2161286,81.0,82.0,82.0
2161287,97.0,82.0,88.0
2161288,67.0,89.0,82.0
2161289,88.0,75.0,76.0
2161290,77.0,,77.0
2161291,76.0,70.0,68.0
2161292,86.0,73.0,70.0
2161293,63.0,60.0,57.0
2161294,65.0,73.0,75.0
2161295,78.0,77.0,80.0
2161296,67.0,62.0,60.0
2161297,46.0,41.0,43.0
2161298,71.0,74.0,68.0
2161299,40.0,46.0,50.0
2161300,90.0,87.0,75.0
2161301,81.0,,81.0
2161302,56.0,54.0,52.0
2161303,67.0,84.0,81.0
2161304,80.0,76.0,64.0
2161305,74.0,75.0,83.0
2161306,69.0,67.0,69.0
2161307,99.0,87.0,81.0
2161308,51.0,52.0,44.0
2161309,53.0,71.0,67.0
2161310,49.0,57.0,52.0
2161311,73.0,76.0,
2161312,66.0,60.0,57.0
2161313,67.0,61.0,68.0
2161314,68.0,67.0,69.0
2161315,59.0,64.0,75.0
2161316,71.0,66.0,65.0
2161317,77.0,82.0,91.0
2161318,83.0,72.0,78.0
2161319,63.0,71.0,69.0
2161320,56.0,65.0,63.0
2161321,67.0,79.0,84.0
2161322,75.0,86.0,79.0
2161323,71.0,81.0,80.0
2161324,43.0,53.0,53.0
2161325,41.0,46.0,43.0
2161326,82.0,90.0,94.0
2161327,61.0,61.0,62.0
2161328,28.0,23.0,19.0
2161329,82.0,75.0,77.0
2161330,41.0,55.0,51.0
2161331,71.0,60.0,61.0
2161332,47.0,37.0,35.0
2161333,62.0,56.0,53.0
2161334,90.0,78.0,81.0
2161335,83.0,,95.0
2161336,61.0,68.0,
2161337,76.0,70.0,69.0
2161338,49.0,51.0,43.0
2161339,24.0,38.0,27.0
2161340,35.0,55.0,60.0
2161341,58.0,61.0,52.0
2161342,61.0,73.0,63.0
2161343,69.0,76.0,74.0
2161344,67.0,72.0,67.0
2161345,79.0,73.0,67.0
2161346,72.0,80.0,75.0
2161347,62.0,61.0,57.0
2161348,77.0,94.0,95.0
2161349,75.0,74.0,66.0
2161350,87.0,74.0,76.0
2161351,52.0,65.0,69.0
2161352,66.0,57.0,52.0
2161353,63.0,78.0,80.0
2161354,46.0,58.0,57.0
2161355,59.0,71.0,70.0
2161356,61.0,72.0,70.0
2161357,63.0,61.0,61.0
2161358,42.0,66.0,69.0
2161359,59.0,62.0,61.0
2161360,80.0,90.0,89.0
2161361,58.0,62.0,59.0
2161362,,84.0,78.0
2161363,52.0,58.0,58.0
2161364,27.0,34.0,32.0
2161365,59.0,60.0,58.0
2161366,49.0,58.0,60.0
2161367,69.0,58.0,53.0
2161368,61.0,66.0,
2161369,44.0,,58.0
2161370,73.0,84.0,85.0
2161371,84.0,77.0,71.0
2161372,45.0,73.0,70.0
2161373,74.0,74.0,72.0
2161374,82.0,97.0,96.0
2161375,59.0,70.0,73.0
2161376,,43.0,41.0
2161377,80.0,90.0,82.0
2161378,85.0,95.0,100.0
2161379,71.0,83.0,77.0
2161380,66.0,64.0,62.0
2161381,,86.0,83.0
2161382,,100.0,95.0
2161383,79.0,81.0,71.0
2161384,38.0,49.0,45.0
2161385,38.0,43.0,
2161386,67.0,76.0,75.0
2161387,64.0,73.0,70.0
2161388,57.0,78.0,67.0
2161389,62.0,64.0,64.0
2161390,73.0,70.0,75.0
2161391,73.0,67.0,59.0
2161392,77.0,68.0,77.0
2161393,76.0,67.0,67.0
2161394,57.0,54.0,56.0
2161395,65.0,74.0,77.0
2161396,48.0,45.0,41.0
2161397,50.0,67.0,63.0
2161398,85.0,89.0,95.0
2161399,74.0,63.0,57.0
2161400,60.0,59.0,54.0
2161401,59.0,54.0,67.0
2161402,53.0,43.0,43.0
2161403,49.0,65.0,55.0
2161404,88.0,99.0,100.0
2161405,54.0,59.0,62.0
2161406,63.0,73.0,68.0
2161407,65.0,65.0,63.0
2161408,82.0,,77.0
2161409,52.0,57.0,56.0
2161410,87.0,84.0,85.0
2161411,70.0,71.0,74.0
2161412,84.0,83.0,
2161413,71.0,66.0,60.0
2161414,63.0,67.0,67.0
2161415,51.0,72.0,79.0
2161416,84.0,,69.0
2161417,71.0,74.0,68.0
2161418,74.0,73.0,67.0
2161419,68.0,59.0,62.0
2161420,57.0,56.0,54.0
2161421,82.0,93.0,93.0
2161422,57.0,58.0,64.0
2161423,47.0,58.0,67.0
2161424,59.0,85.0,80.0
2161425,41.0,39.0,
2161426,62.0,67.0,62.0
2161427,86.0,83.0,86.0
2161428,69.0,71.0,65.0
2161429,65.0,59.0,53.0
2161430,68.0,63.0,54.0
2161431,64.0,66.0,59.0
2161432,61.0,72.0,70.0
2161433,61.0,56.0,55.0
2161434,47.0,59.0,50.0
2161435,73.0,66.0,66.0
2161436,50.0,48.0,53.0
2161437,75.0,68.0,64.0
2161438,75.0,66.0,73.0
2161439,70.0,56.0,51.0
2161440,89.0,88.0,82.0
2161441,67.0,81.0,
2161442,78.0,81.0,80.0
2161443,59.0,73.0,69.0
2161444,73.0,83.0,76.0
2161445,79.0,82.0,73.0
2161446,67.0,74.0,77.0
2161447,69.0,66.0,60.0
2161448,86.0,81.0,80.0
2161449,47.0,46.0,42.0
2161450,81.0,73.0,72.0
2161451,64.0,85.0,85.0
2161452,100.0,92.0,97.0
2161453,65.0,77.0,74.0
2161454,65.0,58.0,49.0
2161455,53.0,61.0,62.0
2161456,37.0,56.0,47.0
2161457,,89.0,89.0
2161458,53.0,54.0,48.0
2161459,100.0,100.0,100.0
2161460,72.0,65.0,68.0
2161461,53.0,58.0,55.0
2161462,54.0,54.0,45.0
2161463,71.0,70.0,76.0
2161464,77.0,90.0,91.0
2161465,75.0,58.0,62.0
2161466,84.0,87.0,91.0
2161467,,31.0,38.0
2161468,72.0,67.0,65.0
2161469,77.0,88.0,85.0
2161470,91.0,,76.0
2161471,83.0,,90.0
2161472,,69.0,74.0
2161473,68.0,86.0,84.0
2161474,59.0,67.0,61.0
2161475,90.0,90.0,91.0
2161476,71.0,76.0,83.0
2161477,76.0,62.0,66.0
2161478,80.0,,72.0
2161479,55.0,64.0,70.0
2161480,76.0,71.0,67.0
2161481,73.0,71.0,
2161482,52.0,59.0,56.0
2161483,68.0,68.0,61.0
2161484,59.0,52.0,46.0
2161485,49.0,52.0,54.0
2161486,70.0,74.0,71.0
2161487,61.0,47.0,56.0
2161488,60.0,75.0,74.0
2161489,64.0,53.0,
2161490,79.0,82.0,82.0
2161491,65.0,85.0,76.0
2161492,64.0,64.0,70.0
2161493,83.0,83.0,90.0
2161494,81.0,88.0,90.0
2161495,54.0,64.0,68.0
2161496,68.0,64.0,
2161497,54.0,48.0,52.0
2161498,59.0,78.0,76.0
2161499,66.0,69.0,68.0
2161500,76.0,71.0,72.0
2161501,74.0,79.0,82.0
2161502,94.0,87.0,92.0
2161503,63.0,61.0,54.0
2161504,95.0,89.0,92.0
2161505,40.0,59.0,54.0
2161506,82.0,82.0,80.0
2161507,68.0,70.0,66.0
2161508,55.0,,54.0
2161509,79.0,78.0,77.0
2161510,86.0,92.0,87.0
2161511,76.0,71.0,73.0
2161512,64.0,50.0,43.0
2161513,62.0,49.0,52.0
2161514,54.0,61.0,62.0
2161515,77.0,97.0,94.0
2161516,76.0,87.0,85.0
2161517,74.0,89.0,84.0
2161518,66.0,74.0,73.0
2161519,66.0,78.0,78.0
2161520,67.0,78.0,79.0
2161521,,49.0,52.0
2161522,91.0,86.0,84.0
2161523,69.0,58.0,57.0
2161524,54.0,59.0,50.0
2161525,53.0,52.0,49.0
2161526,68.0,60.0,59.0
2161527,56.0,61.0,60.0
2161528,36.0,53.0,43.0
2161529,29.0,,47.0
2161530,62.0,74.0,70.0
2161531,68.0,,73.0
2161532,47.0,54.0,53.0
2161533,62.0,61.0,58.0
2161534,79.0,88.0,94.0
2161535,73.0,69.0,68.0
2161536,66.0,83.0,83.0
2161537,51.0,60.0,58.0
2161538,51.0,66.0,62.0
2161539,85.0,66.0,71.0
2161540,97.0,92.0,86.0
2161541,75.0,69.0,68.0
2161542,79.0,82.0,80.0
2161543,81.0,77.0,79.0
2161544,82.0,95.0,89.0
2161545,64.0,63.0,66.0
2161546,78.0,83.0,80.0
2161547,92.0,100.0,97.0
2161548,72.0,67.0,64.0
2161549,62.0,67.0,64.0
2161550,79.0,72.0,69.0
2161551,79.0,76.0,65.0
2161552,87.0,90.0,88.0
2161553,40.0,48.0,50.0
2161554,77.0,62.0,64.0
2161555,53.0,45.0,40.0
2161556,32.0,39.0,33.0
2161557,55.0,72.0,79.0
2161558,61.0,,66.0
2161559,53.0,70.0,70.0
2161560,73.0,66.0,62.0
2161561,74.0,75.0,79.0
2161562,63.0,74.0,74.0
2161563,96.0,90.0,92.0
2161564,63.0,80.0,80.0
2161565,48.0,51.0,46.0
2161566,48.0,43.0,45.0
2161567,92.0,100.0,100.0
2161568,61.0,71.0,78.0
2161569,63.0,48.0,47.0
2161570,68.0,68.0,67.0
2161571,71.0,75.0,70.0
2161572,91.0,96.0,92.0
2161573,53.0,62.0,56.0
2161574,50.0,66.0,64.0
2161575,74.0,81.0,71.0
2161576,40.0,55.0,53.0
2161577,61.0,51.0,52.0
2161578,81.0,91.0,89.0
2161579,48.0,56.0,58.0
2161580,53.0,61.0,68.0
2161581,81.0,97.0,96.0
2161582,77.0,79.0,80.0
2161583,63.0,73.0,78.0
2161584,73.0,75.0,80.0
2161585,,77.0,77.0
2161586,65.0,76.0,76.0
2161587,55.0,73.0,73.0
2161588,44.0,63.0,62.0
2161589,54.0,64.0,65.0
2161590,48.0,66.0,65.0
2161591,58.0,,54.0
2161592,71.0,62.0,50.0
2161593,68.0,68.0,64.0
2161594,74.0,76.0,73.0
2161595,92.0,100.0,99.0
2161596,56.0,79.0,72.0
2161597,30.0,24.0,15.0
2161598,53.0,54.0,48.0
2161599,69.0,77.0,73.0
2161600,65.0,82.0,81.0
2161601,54.0,60.0,63.0
2161602,29.0,29.0,
2161603,76.0,78.0,80.0
2161604,60.0,57.0,51.0
2161605,84.0,89.0,90.0
2161606,75.0,72.0,62.0
2161607,85.0,84.0,82.0
2161608,40.0,58.0,54.0
2161609,61.0,64.0,62.0
2161610,58.0,63.0,65.0
2161611,69.0,60.0,63.0
2161612,58.0,59.0,66.0
2161613,94.0,90.0,91.0
2161614,65.0,77.0,74.0
2161615,82.0,93.0,93.0
2161616,60.0,68.0,72.0
2161617,37.0,45.0,38.0
2161618,88.0,,83.0
2161619,95.0,81.0,84.0
2161620,65.0,73.0,68.0
2161621,,61.0,54.0
2161622,62.0,63.0,56.0
2161623,58.0,51.0,52.0
2161624,100.0,96.0,86.0
2161625,61.0,58.0,62.0
2161626,100.0,97.0,99.0
2161627,69.0,70.0,63.0
2161628,61.0,48.0,46.0
2161629,49.0,57.0,46.0
2161630,44.0,51.0,55.0
2161631,67.0,64.0,70.0
2161632,79.0,60.0,65.0
2161633,66.0,74.0,81.0
2161634,75.0,88.0,85.0
2161635,84.0,84.0,80.0
2161636,71.0,74.0,64.0
2161637,67.0,80.0,81.0
2161638,80.0,92.0,88.0
2161639,86.0,76.0,74.0
2161640,76.0,74.0,73.0
2161641,41.0,52.0,51.0
2161642,74.0,88.0,90.0
2161643,72.0,81.0,79.0
2161644,74.0,79.0,80.0
2161645,70.0,65.0,60.0
2161646,65.0,81.0,81.0
2161647,59.0,70.0,65.0
2161648,64.0,62.0,68.0
2161649,50.0,53.0,55.0
2161650,69.0,79.0,81.0
2161651,51.0,56.0,53.0
2161652,68.0,80.0,76.0
2161653,85.0,86.0,98.0
2161654,65.0,70.0,74.0
2161655,73.0,79.0,79.0
2161656,62.0,67.0,67.0
2161657,77.0,67.0,64.0
2161658,69.0,66.0,61.0
2161659,43.0,60.0,58.0
2161660,90.0,87.0,85.0
2161661,74.0,77.0,73.0
2161662,73.0,66.0,63.0
2161663,55.0,71.0,69.0
2161664,65.0,69.0,67.0
2161665,80.0,63.0,63.0
2161666,50.0,60.0,60.0
2161667,63.0,,71.0
2161668,77.0,85.0,87.0
2161669,73.0,74.0,61.0
2161670,81.0,72.0,77.0
2161671,66.0,76.0,68.0
2161672,52.0,57.0,50.0
2161673,69.0,78.0,76.0
2161674,65.0,84.0,84.0
2161675,69.0,77.0,78.0
2161676,50.0,64.0,66.0
2161677,73.0,78.0,76.0
2161678,70.0,82.0,76.0
2161679,81.0,75.0,78.0
2161680,63.0,61.0,
2161681,67.0,,74.0
2161682,60.0,68.0,60.0
2161683,62.0,55.0,54.0
2161684,29.0,40.0,44.0
2161685,62.0,66.0,68.0
2161686,94.0,99.0,100.0
2161687,85.0,75.0,
2161688,77.0,78.0,73.0
2161689,53.0,58.0,44.0
2161690,93.0,90.0,83.0
2161691,49.0,53.0,53.0
2161692,73.0,76.0,78.0
2161693,66.0,74.0,81.0
2161694,77.0,77.0,73.0
2161695,49.0,,56.0
2161696,79.0,89.0,86.0
2161697,,82.0,90.0
2161698,59.0,72.0,70.0
2161699,57.0,78.0,79.0
2161700,66.0,66.0,59.0
2161701,79.0,81.0,82.0
2161702,57.0,67.0,72.0
2161703,87.0,84.0,87.0
2161704,63.0,64.0,67.0
2161705,59.0,63.0,64.0
2161706,62.0,72.0,
2161707,46.0,34.0,36.0
2161708,,59.0,52.0
2161709,89.0,87.0,79.0
2161710,42.0,61.0,58.0
2161711,93.0,84.0,90.0
2161712,80.0,85.0,85.0
2161713,98.0,100.0,99.0
2161714,81.0,81.0,84.0
2161715,60.0,70.0,74.0
2161716,76.0,94.0,87.0
2161717,73.0,78.0,72.0
2161718,96.0,96.0,99.0
2161719,76.0,76.0,74.0
2161720,91.0,73.0,80.0
2161721,62.0,72.0,70.0
2161722,55.0,59.0,59.0
2161723,74.0,90.0,88.0
2161724,50.0,48.0,42.0
2161725,47.0,43.0,41.0
2161726,81.0,74.0,71.0
2161727,65.0,75.0,77.0
2161728,68.0,51.0,57.0
2161729,73.0,92.0,84.0
2161730,53.0,39.0,37.0
2161731,68.0,77.0,80.0
2161732,55.0,46.0,43.0
2161733,87.0,89.0,94.0
2161734,55.0,47.0,44.0
2161735,53.0,58.0,57.0
2161736,67.0,57.0,59.0
2161737,92.0,79.0,84.0
2161738,53.0,66.0,73.0
2161739,81.0,71.0,73.0
2161740,61.0,60.0,55.0
2161741,80.0,,72.0
2161742,,57.0,56.0
2161743,81.0,84.0,82.0
2161744,59.0,73.0,72.0
2161745,55.0,55.0,47.0
2161746,72.0,79.0,74.0
2161747,69.0,75.0,71.0
2161748,69.0,64.0,68.0
2161749,50.0,60.0,59.0
2161750,87.0,84.0,86.0
2161751,,69.0,68.0
2161752,68.0,72.0,65.0
2161753,79.0,77.0,75.0
2161754,77.0,90.0,85.0
2161755,58.0,55.0,53.0
2161756,84.0,95.0,92.0
2161757,55.0,58.0,52.0
2161758,70.0,68.0,72.0
2161759,52.0,59.0,65.0
2161760,69.0,,77.0
2161761,53.0,72.0,64.0
2161762,48.0,58.0,54.0
2161763,78.0,81.0,86.0
2161764,62.0,62.0,63.0
2161765,,63.0,59.0
2161766,74.0,72.0,72.0
2161767,58.0,75.0,77.0
2161768,76.0,62.0,60.0
2161769,68.0,71.0,75.0
2161770,58.0,60.0,57.0
2161771,52.0,48.0,49.0
2161772,75.0,73.0,
2161773,52.0,67.0,
2161774,62.0,78.0,79.0
2161775,66.0,65.0,60.0
2161776,49.0,58.0,55.0
2161777,66.0,72.0,70.0
2161778,35.0,44.0,43.0
2161779,72.0,79.0,82.0
2161780,94.0,85.0,82.0
2161781,46.0,56.0,57.0
2161782,77.0,90.0,84.0
2161783,76.0,85.0,82.0
2161784,52.0,59.0,62.0
2161785,91.0,81.0,79.0
2161786,32.0,51.0,44.0
2161787,72.0,79.0,77.0
2161788,19.0,38.0,32.0
2161789,68.0,65.0,61.0
2161790,52.0,65.0,61.0
2161791,48.0,62.0,60.0
2161792,60.0,66.0,70.0
2161793,66.0,74.0,
2161794,,84.0,77.0
2161795,42.0,52.0,51.0
2161796,57.0,68.0,73.0
2161797,70.0,70.0,70.0
2161798,70.0,84.0,81.0
2161799,69.0,60.0,54.0
2161800,52.0,55.0,57.0
2161801,67.0,73.0,68.0
2161802,76.0,80.0,73.0
2161803,87.0,94.0,95.0
2161804,82.0,85.0,87.0
2161805,73.0,76.0,78.0
2161806,75.0,81.0,74.0
2161807,64.0,74.0,75.0
2161808,41.0,45.0,40.0
2161809,90.0,75.0,69.0
2161810,59.0,54.0,51.0
2161811,51.0,31.0,36.0
2161812,45.0,47.0,49.0
2161813,54.0,64.0,67.0
2161814,87.0,84.0,76.0
2161815,72.0,80.0,83.0
2161816,94.0,86.0,87.0
2161817,45.0,59.0,64.0
2161818,61.0,70.0,76.0
2161819,60.0,72.0,68.0
2161820,77.0,91.0,88.0
2161821,85.0,90.0,92.0
2161822,78.0,90.0,93.0
2161823,,52.0,
2161824,71.0,87.0,82.0
2161825,48.0,58.0,52.0
2161826,62.0,67.0,58.0
2161827,56.0,68.0,70.0
2161828,65.0,69.0,76.0
2161829,69.0,86.0,81.0
2161830,68.0,54.0,53.0
2161831,61.0,60.0,57.0
2161832,74.0,86.0,89.0
2161833,64.0,60.0,58.0
2161834,77.0,82.0,89.0
2161835,58.0,50.0,45.0
2161836,60.0,64.0,74.0
2161837,73.0,64.0,57.0
2161838,75.0,82.0,
2161839,58.0,57.0,53.0
2161840,66.0,77.0,73.0
2161841,39.0,52.0,46.0
2161842,64.0,,51.0
2161843,23.0,44.0,36.0
2161844,74.0,77.0,76.0
2161845,40.0,65.0,64.0
2161846,90.0,85.0,84.0
2161847,91.0,85.0,85.0
2161848,64.0,54.0,50.0
2161849,59.0,72.0,68.0
2161850,80.0,,69.0
2161851,71.0,67.0,67.0
2161852,61.0,,63.0
2161853,87.0,85.0,93.0
2161854,82.0,67.0,61.0
2161855,62.0,64.0,55.0
2161856,97.0,97.0,96.0
2161857,75.0,68.0,65.0
2161858,65.0,79.0,81.0
2161859,52.0,49.0,46.0
2161860,87.0,73.0,72.0
2161861,53.0,62.0,53.0
2161862,81.0,86.0,
2161863,39.0,42.0,38.0
2161864,71.0,71.0,
2161865,97.0,93.0,91.0
2161866,82.0,82.0,88.0
2161867,59.0,53.0,52.0
2161868,61.0,42.0,41.0
2161869,78.0,74.0,72.0
2161870,49.0,51.0,51.0
2161871,59.0,58.0,47.0
2161872,70.0,72.0,76.0
2161873,82.0,84.0,78.0
2161874,90.0,90.0,82.0
2161875,43.0,,61.0
2161876,80.0,64.0,66.0
2161877,81.0,82.0,84.0
2161878,57.0,61.0,54.0
2161879,59.0,72.0,80.0
2161880,64.0,76.0,74.0
2161881,63.0,64.0,66.0
2161882,71.0,70.0,70.0
2161883,64.0,73.0,71.0
2161884,55.0,46.0,44.0
2161885,51.0,51.0,54.0
2161886,62.0,76.0,80.0
2161887,93.0,100.0,95.0
2161888,54.0,72.0,59.0
