Id,math score,reading score,writing score
1961109,46.0,68.0,63.0
1961110,63.0,57.0,64.0
1961111,77.0,89.0,98.0
1961112,55.0,49.0,44.0
1961113,48.0,47.0,42.0
1961114,45.0,52.0,48.0
1961115,99.0,100.0,100.0
1961116,75.0,69.0,66.0
1961117,67.0,76.0,73.0
1961118,70.0,73.0,71.0
1961119,45.0,56.0,54.0
1961120,49.0,62.0,58.0
1961121,79.0,92.0,89.0
1961122,91.0,89.0,92.0
1961123,88.0,93.0,93.0
1961124,56.0,51.0,50.0
1961125,74.0,72.0,65.0
1961126,78.0,85.0,77.0
1961127,64.0,61.0,
1961128,65.0,77.0,74.0
1961129,73.0,73.0,66.0
1961130,45.0,44.0,45.0
1961131,80.0,75.0,73.0
1961132,53.0,37.0,40.0
1961133,87.0,74.0,70.0
1961134,75.0,81.0,84.0
1961135,74.0,79.0,75.0
1961136,52.0,49.0,43.0
1961137,51.0,54.0,41.0
1961138,63.0,49.0,50.0
1961139,53.0,59.0,60.0
1961140,71.0,61.0,69.0
1961141,68.0,64.0,63.0
1961142,53.0,55.0,57.0
1961143,42.0,55.0,54.0
1961144,51.0,38.0,42.0
1961145,79.0,65.0,70.0
1961146,19.0,,29.0
1961147,79.0,75.0,67.0
1961148,65.0,61.0,59.0
1961149,68.0,75.0,81.0
1961150,100.0,100.0,
1961151,62.0,67.0,69.0
1961152,,60.0,61.0
1961153,59.0,70.0,66.0
1961154,48.0,44.0,42.0
1961155,55.0,60.0,54.0
1961156,70.0,89.0,
1961157,66.0,74.0,78.0
1961158,54.0,54.0,54.0
1961159,61.0,86.0,87.0
1961160,59.0,55.0,57.0
1961161,82.0,78.0,74.0
1961162,75.0,88.0,85.0
1961163,44.0,47.0,46.0
1961164,46.0,47.0,44.0
1961165,72.0,82.0,81.0
1961166,96.0,100.0,100.0
1961167,53.0,51.0,51.0
1961168,58.0,76.0,78.0
1961169,68.0,83.0,78.0
1961170,67.0,75.0,70.0
1961171,72.0,73.0,74.0
1961172,84.0,,70.0
1961173,71.0,77.0,72.0
1961174,56.0,60.0,63.0
1961175,43.0,51.0,54.0
1961176,81.0,91.0,87.0
1961177,46.0,54.0,58.0
1961178,71.0,77.0,77.0
1961179,52.0,70.0,62.0
1961180,97.0,100.0,100.0
1961181,62.0,68.0,75.0
1961182,41.0,57.0,59.0
1961183,45.0,45.0,42.0
1961184,58.0,62.0,63.0
1961185,45.0,52.0,49.0
1961186,65.0,67.0,65.0
1961187,72.0,68.0,58.0
1961188,62.0,66.0,
1961189,43.0,46.0,40.0
1961190,69.0,79.0,78.0
1961191,59.0,58.0,62.0
1961192,76.0,83.0,79.0
1961193,55.0,57.0,59.0
1961194,77.0,62.0,62.0
1961195,69.0,84.0,85.0
1961196,54.0,49.0,46.0
1961197,59.0,69.0,65.0
1961198,49.0,50.0,45.0
1961199,40.0,47.0,49.0
1961200,70.0,71.0,
1961201,67.0,84.0,86.0
1961202,58.0,72.0,69.0
1961203,62.0,69.0,62.0
1961204,51.0,62.0,61.0
1961205,53.0,36.0,37.0
1961206,74.0,71.0,78.0
1961207,73.0,55.0,55.0
1961208,81.0,80.0,76.0
1961209,66.0,72.0,68.0
1961210,52.0,54.0,59.0
1961211,80.0,79.0,79.0
1961212,31.0,25.0,24.0
1961213,37.0,55.0,54.0
1961214,60.0,51.0,56.0
1961215,87.0,91.0,81.0
1961216,84.0,83.0,75.0
1961217,83.0,86.0,88.0
1961218,30.0,37.0,
1961219,59.0,69.0,63.0
1961220,61.0,56.0,56.0
1961221,56.0,68.0,74.0
1961222,78.0,76.0,65.0
1961223,,58.0,55.0
1961224,77.0,,67.0
1961225,52.0,66.0,73.0
1961226,40.0,50.0,48.0
1961227,64.0,64.0,63.0
1961228,51.0,45.0,48.0
1961229,61.0,64.0,57.0
1961230,88.0,95.0,94.0
1961231,68.0,57.0,59.0
1961232,41.0,38.0,37.0
1961233,60.0,77.0,74.0
1961234,82.0,78.0,70.0
1961235,83.0,82.0,84.0
1961236,72.0,67.0,69.0
1961237,56.0,59.0,60.0
1961238,64.0,60.0,74.0
1961239,48.0,,45.0
1961240,75.0,72.0,72.0
1961241,73.0,68.0,66.0
1961242,72.0,74.0,74.0
1961243,50.0,46.0,49.0
1961244,53.0,45.0,38.0
1961245,67.0,66.0,62.0
1961246,76.0,68.0,63.0
1961247,80.0,68.0,66.0
1961248,58.0,70.0,68.0
1961249,58.0,57.0,55.0
1961250,61.0,54.0,47.0
1961251,47.0,49.0,49.0
1961252,63.0,74.0,74.0
1961253,60.0,70.0,70.0
1961254,72.0,72.0,64.0
1961255,48.0,46.0,46.0
1961256,55.0,65.0,63.0
1961257,57.0,65.0,61.0
1961258,78.0,77.0,77.0
1961259,63.0,67.0,70.0
1961260,65.0,81.0,81.0
1961261,64.0,,77.0
1961262,79.0,79.0,78.0
1961263,39.0,45.0,45.0
1961264,89.0,83.0,81.0
1961265,68.0,65.0,61.0
1961266,53.0,37.0,36.0
1961267,56.0,67.0,72.0
1961268,62.0,64.0,69.0
1961269,88.0,92.0,95.0
1961270,63.0,68.0,63.0
1961271,62.0,56.0,54.0
1961272,52.0,44.0,37.0
1961273,42.0,47.0,52.0
1961274,58.0,63.0,63.0
1961275,88.0,85.0,76.0
1961276,74.0,70.0,65.0
1961277,85.0,92.0,93.0
1961278,59.0,63.0,75.0
1961279,58.0,77.0,72.0
1961280,65.0,50.0,51.0
1961281,47.0,46.0,37.0
1961282,40.0,43.0,41.0
1961283,65.0,71.0,
1961284,70.0,78.0,78.0
1961285,33.0,41.0,41.0
1961286,81.0,82.0,82.0
1961287,97.0,,88.0
1961288,60.0,80.0,73.0
1961289,79.0,67.0,68.0
1961290,77.0,76.0,77.0
1961291,68.0,63.0,61.0
1961292,77.0,65.0,63.0
1961293,63.0,60.0,57.0
1961294,,65.0,67.0
1961295,78.0,77.0,80.0
1961296,60.0,55.0,54.0
1961297,46.0,41.0,43.0
1961298,71.0,74.0,68.0
1961299,40.0,46.0,50.0
1961300,81.0,,67.0
1961301,81.0,78.0,81.0
1961302,50.0,48.0,46.0
1961303,67.0,84.0,81.0
1961304,72.0,68.0,57.0
1961305,74.0,75.0,83.0
1961306,62.0,,62.0
1961307,99.0,87.0,81.0
1961308,45.0,46.0,39.0
1961309,47.0,63.0,60.0
1961310,44.0,51.0,46.0
1961311,65.0,68.0,72.0
1961312,59.0,54.0,51.0
1961313,67.0,61.0,68.0
1961314,68.0,67.0,69.0
1961315,59.0,64.0,75.0
1961316,63.0,59.0,58.0
1961317,77.0,82.0,91.0
1961318,,64.0,70.0
1961319,56.0,63.0,62.0
1961320,50.0,58.0,56.0
1961321,67.0,79.0,84.0
1961322,67.0,77.0,71.0
1961323,63.0,72.0,72.0
1961324,38.0,47.0,47.0
1961325,36.0,41.0,38.0
1961326,73.0,81.0,
1961327,54.0,54.0,55.0
1961328,25.0,,17.0
1961329,82.0,75.0,77.0
1961330,36.0,49.0,45.0
1961331,63.0,54.0,54.0
1961332,42.0,33.0,31.0
1961333,62.0,56.0,53.0
1961334,81.0,70.0,72.0
1961335,74.0,83.0,85.0
1961336,54.0,61.0,59.0
1961337,76.0,70.0,69.0
1961338,44.0,45.0,38.0
1961339,21.0,34.0,24.0
1961340,35.0,55.0,60.0
1961341,52.0,54.0,46.0
1961342,54.0,65.0,56.0
1961343,69.0,76.0,74.0
1961344,67.0,72.0,67.0
1961345,71.0,65.0,
1961346,64.0,72.0,67.0
1961347,55.0,54.0,51.0
1961348,77.0,94.0,95.0
1961349,67.0,66.0,59.0
1961350,78.0,66.0,68.0
1961351,,58.0,62.0
1961352,59.0,51.0,46.0
1961353,63.0,78.0,80.0
1961354,41.0,52.0,51.0
1961355,53.0,63.0,63.0
1961356,54.0,64.0,63.0
1961357,56.0,54.0,
1961358,42.0,66.0,69.0
1961359,53.0,55.0,54.0
1961360,72.0,81.0,80.0
1961361,52.0,55.0,53.0
1961362,85.0,84.0,78.0
1961363,46.0,52.0,52.0
1961364,24.0,30.0,28.0
1961365,53.0,54.0,52.0
1961366,49.0,58.0,
1961367,,58.0,53.0
1961368,54.0,59.0,54.0
1961369,39.0,57.0,52.0
1961370,65.0,75.0,76.0
1961371,75.0,69.0,63.0
1961372,45.0,73.0,70.0
1961373,66.0,66.0,64.0
1961374,82.0,97.0,96.0
1961375,53.0,63.0,65.0
1961376,41.0,38.0,36.0
1961377,72.0,81.0,73.0
1961378,85.0,95.0,100.0
1961379,63.0,74.0,69.0
1961380,59.0,57.0,55.0
1961381,72.0,77.0,74.0
1961382,87.0,100.0,95.0
1961383,71.0,72.0,63.0
1961384,34.0,44.0,40.0
1961385,34.0,38.0,38.0
1961386,60.0,68.0,67.0
1961387,57.0,65.0,63.0
1961388,51.0,70.0,60.0
1961389,55.0,57.0,57.0
1961390,65.0,63.0,
1961391,73.0,67.0,59.0
1961392,69.0,61.0,69.0
1961393,68.0,60.0,60.0
1961394,57.0,54.0,56.0
1961395,65.0,74.0,77.0
1961396,43.0,40.0,36.0
1961397,45.0,60.0,56.0
1961398,76.0,80.0,85.0
1961399,66.0,56.0,51.0
1961400,54.0,53.0,48.0
1961401,59.0,54.0,67.0
1961402,47.0,38.0,38.0
1961403,44.0,58.0,49.0
1961404,88.0,99.0,100.0
1961405,48.0,53.0,55.0
1961406,56.0,65.0,61.0
1961407,65.0,65.0,63.0
1961408,73.0,72.0,69.0
1961409,52.0,57.0,
1961410,87.0,84.0,85.0
1961411,70.0,71.0,74.0
1961412,84.0,,78.0
1961413,63.0,59.0,54.0
1961414,63.0,67.0,67.0
1961415,51.0,72.0,79.0
1961416,75.0,65.0,62.0
1961417,71.0,74.0,68.0
1961418,66.0,65.0,60.0
1961419,61.0,53.0,55.0
1961420,57.0,56.0,54.0
1961421,82.0,93.0,93.0
1961422,57.0,58.0,64.0
1961423,47.0,58.0,67.0
1961424,59.0,85.0,80.0
1961425,36.0,35.0,
1961426,55.0,60.0,55.0
1961427,77.0,74.0,77.0
1961428,62.0,63.0,58.0
1961429,58.0,53.0,47.0
1961430,61.0,56.0,48.0
1961431,57.0,59.0,53.0
1961432,54.0,64.0,63.0
1961433,54.0,50.0,49.0
1961434,42.0,53.0,45.0
1961435,65.0,59.0,59.0
1961436,50.0,48.0,53.0
1961437,67.0,61.0,57.0
1961438,67.0,59.0,65.0
1961439,63.0,50.0,45.0
1961440,89.0,88.0,82.0
1961441,67.0,81.0,79.0
1961442,70.0,72.0,72.0
1961443,53.0,65.0,62.0
1961444,65.0,74.0,68.0
1961445,71.0,73.0,65.0
1961446,67.0,74.0,77.0
1961447,62.0,59.0,54.0
1961448,86.0,81.0,80.0
1961449,42.0,41.0,37.0
1961450,72.0,65.0,64.0
1961451,64.0,85.0,85.0
1961452,90.0,82.0,87.0
1961453,58.0,69.0,66.0
1961454,58.0,52.0,44.0
1961455,47.0,54.0,55.0
1961456,,50.0,42.0
1961457,71.0,80.0,80.0
1961458,47.0,48.0,43.0
1961459,90.0,90.0,90.0
1961460,72.0,65.0,68.0
1961461,47.0,52.0,49.0
1961462,48.0,,40.0
1961463,63.0,63.0,68.0
1961464,69.0,81.0,81.0
1961465,75.0,58.0,62.0
1961466,75.0,,81.0
1961467,23.0,27.0,34.0
1961468,72.0,67.0,65.0
1961469,77.0,88.0,85.0
1961470,81.0,66.0,68.0
1961471,83.0,85.0,90.0
1961472,56.0,62.0,66.0
1961473,,86.0,84.0
1961474,53.0,60.0,54.0
1961475,90.0,90.0,91.0
1961476,71.0,76.0,83.0
1961477,76.0,62.0,66.0
1961478,72.0,61.0,64.0
1961479,49.0,57.0,63.0
1961480,68.0,63.0,60.0
1961481,73.0,71.0,68.0
1961482,46.0,53.0,50.0
1961483,61.0,61.0,
1961484,,46.0,41.0
1961485,44.0,46.0,48.0
1961486,63.0,66.0,63.0
1961487,54.0,42.0,50.0
1961488,54.0,67.0,66.0
1961489,64.0,53.0,57.0
1961490,79.0,82.0,82.0
1961491,58.0,76.0,
1961492,57.0,57.0,63.0
1961493,74.0,74.0,81.0
1961494,72.0,79.0,81.0
1961495,48.0,57.0,61.0
1961496,68.0,64.0,66.0
1961497,48.0,43.0,46.0
1961498,59.0,78.0,76.0
1961499,59.0,62.0,61.0
1961500,68.0,63.0,64.0
1961501,66.0,71.0,73.0
1961502,94.0,87.0,92.0
1961503,56.0,54.0,48.0
1961504,95.0,89.0,92.0
1961505,36.0,53.0,48.0
1961506,73.0,73.0,72.0
1961507,61.0,63.0,59.0
1961508,49.0,53.0,48.0
1961509,71.0,70.0,69.0
1961510,77.0,82.0,78.0
1961511,68.0,63.0,65.0
1961512,57.0,45.0,38.0
1961513,55.0,44.0,46.0
1961514,54.0,61.0,62.0
1961515,77.0,97.0,94.0
1961516,76.0,87.0,85.0
1961517,66.0,80.0,75.0
1961518,,74.0,73.0
1961519,66.0,78.0,78.0
1961520,67.0,78.0,79.0
1961521,63.0,44.0,46.0
1961522,81.0,77.0,75.0
1961523,62.0,52.0,51.0
1961524,48.0,53.0,45.0
1961525,53.0,52.0,49.0
1961526,61.0,54.0,53.0
1961527,56.0,61.0,60.0
1961528,32.0,47.0,38.0
1961529,26.0,36.0,42.0
1961530,55.0,66.0,63.0
1961531,68.0,67.0,
1961532,42.0,48.0,47.0
1961533,62.0,61.0,58.0
1961534,79.0,88.0,94.0
1961535,73.0,69.0,68.0
1961536,66.0,83.0,83.0
1961537,51.0,60.0,58.0
1961538,45.0,59.0,55.0
1961539,85.0,66.0,71.0
1961540,97.0,92.0,86.0
1961541,75.0,69.0,68.0
1961542,79.0,82.0,80.0
1961543,72.0,69.0,71.0
1961544,73.0,85.0,80.0
1961545,57.0,56.0,59.0
1961546,78.0,83.0,80.0
1961547,92.0,100.0,97.0
1961548,72.0,67.0,64.0
1961549,55.0,60.0,
1961550,71.0,64.0,62.0
1961551,71.0,68.0,58.0
1961552,87.0,90.0,
1961553,36.0,43.0,45.0
1961554,69.0,55.0,57.0
1961555,47.0,40.0,36.0
1961556,28.0,35.0,29.0
1961557,55.0,72.0,79.0
1961558,54.0,,59.0
1961559,47.0,63.0,63.0
1961560,65.0,59.0,55.0
1961561,74.0,75.0,79.0
1961562,56.0,66.0,66.0
1961563,,90.0,92.0
1961564,63.0,,80.0
1961565,43.0,45.0,41.0
1961566,43.0,38.0,40.0
1961567,92.0,100.0,100.0
1961568,61.0,71.0,78.0
1961569,56.0,43.0,42.0
1961570,61.0,61.0,60.0
1961571,71.0,75.0,
1961572,81.0,86.0,82.0
1961573,47.0,55.0,50.0
1961574,50.0,66.0,64.0
1961575,66.0,72.0,63.0
1961576,40.0,55.0,53.0
1961577,61.0,51.0,52.0
1961578,72.0,81.0,80.0
1961579,48.0,56.0,58.0
1961580,,54.0,61.0
1961581,72.0,87.0,86.0
1961582,69.0,71.0,72.0
1961583,56.0,65.0,70.0
1961584,73.0,75.0,80.0
1961585,62.0,69.0,69.0
1961586,58.0,68.0,68.0
1961587,49.0,65.0,65.0
1961588,39.0,56.0,55.0
1961589,48.0,57.0,58.0
1961590,43.0,59.0,58.0
1961591,52.0,51.0,48.0
1961592,63.0,,45.0
1961593,61.0,61.0,57.0
1961594,66.0,68.0,
1961595,92.0,100.0,99.0
1961596,56.0,79.0,72.0
1961597,27.0,21.0,13.0
1961598,47.0,48.0,43.0
1961599,62.0,69.0,65.0
1961600,58.0,73.0,72.0
1961601,48.0,54.0,56.0
1961602,26.0,26.0,27.0
1961603,68.0,70.0,72.0
1961604,54.0,51.0,45.0
1961605,84.0,89.0,90.0
1961606,67.0,64.0,55.0
1961607,76.0,75.0,73.0
1961608,36.0,52.0,48.0
1961609,54.0,57.0,55.0
1961610,52.0,56.0,58.0
1961611,69.0,60.0,63.0
1961612,52.0,53.0,59.0
1961613,94.0,90.0,91.0
1961614,58.0,69.0,66.0
1961615,73.0,83.0,83.0
1961616,54.0,61.0,
1961617,33.0,40.0,34.0
1961618,79.0,70.0,
1961619,85.0,72.0,75.0
1961620,65.0,73.0,68.0
1961621,31.0,54.0,48.0
1961622,,56.0,50.0
1961623,58.0,51.0,52.0
1961624,100.0,96.0,86.0
1961625,54.0,52.0,55.0
1961626,100.0,97.0,99.0
1961627,69.0,70.0,63.0
1961628,54.0,43.0,41.0
1961629,44.0,51.0,41.0
1961630,44.0,51.0,55.0
1961631,60.0,57.0,63.0
1961632,71.0,54.0,58.0
1961633,66.0,74.0,81.0
1961634,67.0,79.0,76.0
1961635,75.0,75.0,72.0
1961636,63.0,66.0,57.0
1961637,67.0,80.0,81.0
1961638,80.0,92.0,88.0
1961639,77.0,68.0,
1961640,68.0,66.0,65.0
1961641,36.0,46.0,45.0
1961642,74.0,88.0,90.0
1961643,64.0,72.0,71.0
1961644,74.0,79.0,80.0
1961645,63.0,58.0,54.0
1961646,65.0,81.0,81.0
1961647,53.0,63.0,58.0
1961648,57.0,55.0,61.0
1961649,45.0,47.0,49.0
1961650,69.0,79.0,81.0
1961651,51.0,56.0,53.0
1961652,68.0,80.0,76.0
1961653,85.0,86.0,98.0
1961654,65.0,70.0,74.0
1961655,65.0,71.0,71.0
1961656,55.0,60.0,60.0
1961657,69.0,60.0,
1961658,62.0,59.0,54.0
1961659,38.0,54.0,52.0
1961660,81.0,78.0,76.0
1961661,66.0,69.0,65.0
1961662,65.0,59.0,56.0
1961663,49.0,,62.0
1961664,58.0,62.0,60.0
1961665,72.0,56.0,56.0
1961666,50.0,60.0,60.0
1961667,63.0,73.0,71.0
1961668,69.0,76.0,78.0
1961669,65.0,66.0,54.0
1961670,81.0,72.0,77.0
1961671,59.0,68.0,61.0
1961672,46.0,51.0,45.0
1961673,62.0,70.0,68.0
1961674,65.0,84.0,84.0
1961675,69.0,77.0,78.0
1961676,50.0,64.0,66.0
1961677,73.0,78.0,76.0
1961678,,82.0,76.0
1961679,72.0,,70.0
1961680,,54.0,54.0
1961681,60.0,64.0,66.0
1961682,54.0,61.0,54.0
1961683,55.0,49.0,48.0
1961684,29.0,40.0,44.0
1961685,62.0,66.0,68.0
1961686,94.0,99.0,100.0
1961687,85.0,75.0,68.0
1961688,69.0,70.0,65.0
1961689,47.0,52.0,39.0
1961690,83.0,81.0,74.0
1961691,44.0,47.0,47.0
1961692,65.0,68.0,70.0
1961693,,74.0,81.0
1961694,69.0,69.0,65.0
1961695,44.0,56.0,50.0
1961696,71.0,80.0,77.0
1961697,75.0,82.0,90.0
1961698,53.0,64.0,63.0
1961699,57.0,78.0,79.0
1961700,59.0,59.0,53.0
1961701,79.0,81.0,82.0
1961702,51.0,60.0,64.0
1961703,87.0,84.0,87.0
1961704,56.0,57.0,60.0
1961705,,63.0,64.0
1961706,55.0,64.0,58.0
1961707,41.0,30.0,32.0
1961708,59.0,53.0,46.0
1961709,80.0,78.0,71.0
1961710,42.0,61.0,58.0
1961711,93.0,84.0,90.0
1961712,80.0,85.0,85.0
1961713,88.0,90.0,89.0
1961714,72.0,72.0,75.0
1961715,60.0,70.0,74.0
1961716,76.0,94.0,87.0
1961717,73.0,78.0,72.0
1961718,96.0,96.0,99.0
1961719,68.0,68.0,66.0
1961720,91.0,73.0,80.0
1961721,55.0,64.0,
1961722,55.0,59.0,59.0
1961723,74.0,90.0,88.0
1961724,45.0,43.0,37.0
1961725,42.0,38.0,36.0
1961726,81.0,74.0,71.0
1961727,65.0,75.0,77.0
1961728,68.0,51.0,57.0
1961729,65.0,82.0,75.0
1961730,47.0,35.0,33.0
1961731,68.0,77.0,80.0
1961732,49.0,41.0,38.0
1961733,87.0,89.0,94.0
1961734,49.0,42.0,39.0
1961735,47.0,52.0,
1961736,60.0,,
1961737,82.0,71.0,75.0
1961738,53.0,66.0,73.0
1961739,,63.0,65.0
1961740,54.0,54.0,49.0
1961741,72.0,65.0,64.0
1961742,33.0,51.0,50.0
1961743,72.0,75.0,73.0
1961744,59.0,73.0,72.0
1961745,49.0,49.0,
1961746,64.0,71.0,66.0
1961747,62.0,67.0,63.0
1961748,62.0,57.0,61.0
1961749,45.0,54.0,53.0
1961750,87.0,84.0,
1961751,71.0,69.0,
1961752,61.0,64.0,58.0
1961753,79.0,77.0,75.0
1961754,,,85.0
1961755,52.0,49.0,47.0
1961756,75.0,85.0,82.0
1961757,49.0,52.0,46.0
1961758,70.0,68.0,72.0
1961759,52.0,59.0,65.0
1961760,69.0,77.0,77.0
1961761,47.0,64.0,57.0
1961762,43.0,52.0,48.0
1961763,78.0,81.0,86.0
1961764,55.0,55.0,56.0
1961765,54.0,56.0,53.0
1961766,66.0,64.0,64.0
1961767,58.0,75.0,77.0
1961768,76.0,62.0,60.0
1961769,61.0,63.0,67.0
1961770,52.0,54.0,51.0
1961771,46.0,43.0,44.0
1961772,67.0,65.0,66.0
1961773,52.0,67.0,72.0
1961774,55.0,70.0,71.0
1961775,59.0,58.0,54.0
1961776,44.0,52.0,49.0
1961777,59.0,64.0,63.0
1961778,31.0,39.0,38.0
1961779,72.0,79.0,82.0
1961780,94.0,85.0,82.0
1961781,41.0,50.0,51.0
1961782,69.0,81.0,75.0
1961783,76.0,85.0,82.0
1961784,52.0,59.0,62.0
1961785,91.0,81.0,79.0
1961786,32.0,51.0,44.0
1961787,64.0,71.0,69.0
1961788,17.0,34.0,28.0
1961789,61.0,58.0,54.0
1961790,,58.0,54.0
1961791,43.0,55.0,54.0
1961792,54.0,59.0,63.0
1961793,59.0,66.0,62.0
1961794,89.0,84.0,77.0
1961795,37.0,46.0,45.0
1961796,57.0,68.0,73.0
1961797,63.0,,63.0
1961798,63.0,75.0,72.0
1961799,62.0,54.0,48.0
1961800,46.0,49.0,51.0
1961801,67.0,73.0,68.0
1961802,76.0,80.0,
1961803,78.0,84.0,85.0
1961804,73.0,76.0,78.0
1961805,65.0,68.0,70.0
1961806,67.0,72.0,66.0
1961807,57.0,66.0,67.0
1961808,36.0,40.0,36.0
1961809,81.0,67.0,62.0
1961810,53.0,48.0,45.0
1961811,45.0,27.0,32.0
1961812,40.0,42.0,44.0
1961813,54.0,64.0,67.0
1961814,87.0,84.0,76.0
1961815,64.0,72.0,74.0
1961816,94.0,86.0,87.0
1961817,40.0,53.0,57.0
1961818,61.0,70.0,76.0
1961819,54.0,64.0,61.0
1961820,69.0,81.0,79.0
1961821,85.0,90.0,92.0
1961822,70.0,81.0,83.0
1961823,49.0,52.0,51.0
1961824,63.0,78.0,73.0
1961825,43.0,52.0,46.0
1961826,55.0,60.0,52.0
1961827,56.0,68.0,70.0
1961828,58.0,62.0,68.0
1961829,69.0,86.0,81.0
1961830,61.0,48.0,47.0
1961831,54.0,54.0,51.0
1961832,74.0,86.0,89.0
1961833,57.0,54.0,52.0
1961834,77.0,82.0,89.0
1961835,52.0,45.0,40.0
1961836,60.0,64.0,74.0
1961837,65.0,57.0,51.0
1961838,75.0,82.0,79.0
1961839,58.0,57.0,53.0
1961840,59.0,69.0,65.0
1961841,35.0,46.0,41.0
1961842,57.0,52.0,45.0
1961843,23.0,44.0,36.0
1961844,74.0,77.0,76.0
1961845,40.0,65.0,64.0
1961846,81.0,76.0,75.0
1961847,91.0,85.0,85.0
1961848,57.0,48.0,45.0
1961849,53.0,64.0,61.0
1961850,72.0,67.0,62.0
1961851,63.0,60.0,60.0
1961852,54.0,61.0,56.0
1961853,78.0,76.0,83.0
1961854,73.0,60.0,54.0
1961855,55.0,57.0,49.0
1961856,87.0,87.0,86.0
1961857,67.0,61.0,58.0
1961858,58.0,71.0,72.0
1961859,52.0,49.0,46.0
1961860,78.0,65.0,64.0
1961861,47.0,55.0,47.0
1961862,72.0,77.0,78.0
1961863,39.0,42.0,38.0
1961864,71.0,71.0,80.0
1961865,87.0,83.0,81.0
1961866,82.0,82.0,88.0
1961867,53.0,47.0,46.0
1961868,54.0,37.0,36.0
1961869,78.0,74.0,72.0
1961870,44.0,45.0,45.0
1961871,53.0,52.0,42.0
1961872,70.0,72.0,76.0
1961873,82.0,84.0,78.0
1961874,81.0,81.0,73.0
1961875,38.0,55.0,54.0
1961876,72.0,57.0,59.0
1961877,72.0,,75.0
1961878,51.0,54.0,48.0
1961879,53.0,64.0,72.0
1961880,57.0,68.0,66.0
1961881,63.0,64.0,66.0
1961882,71.0,70.0,70.0
1961883,57.0,65.0,63.0
1961884,49.0,41.0,39.0
1961885,45.0,45.0,48.0
1961886,62.0,76.0,80.0
1961887,93.0,100.0,95.0
1961888,48.0,64.0,53.0
1961889,62.0,58.0,66.0
