basin_id,jul,aug,sep,oct,nov,dec
63,0.003,0.0045,0.0034,0.0048,0.0106,0.0175
64,32.6405,44.804,25.8475,12.562,19.0591,30.5202
65,0.7559,0.6801,0.4876,0.5076,1.0535,1.8838
66,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0036,0.0029,0.0024,0.0027,0.0066,0.011
68,0.0049,0.0083,0.0086,0.0149,0.0275,0.0455
69,0.0057,0.0075,0.0057,0.0047,0.0126,0.0209
70,1.5987,2.735,2.4014,1.0986,0.5488,1.7169
71,0.0009,0.0013,0.0013,0.0015,0.0026,0.0036
72,0.1009,0.179,0.1798,0.1929,0.398,0.6467
73,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0001,0.0001,0.0002
75,0.0005,0.0005,0.0005,0.0005,0.0012,0.002
76,2.1295,3.9982,4.1818,1.7154,0.9372,2.8599
77,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.302,0.2516,0.1623,0.0838,0.0536,0.0452
80,0.0045,0.0094,0.0128,0.0158,0.0326,0.054
81,0.0049,0.0066,0.0054,0.0038,0.007,0.0144
82,0.0487,0.0746,0.0774,0.0649,0.0988,0.2122
83,22.0372,53.1586,30.7679,13.2025,15.3836,18.1928
84,0.0236,0.0436,0.0607,0.0662,0.1425,0.2359
85,112.043,88.2416,34.2315,3.5815,1.6054,1.2729
86,71.7729,25.0077,2.3335,0.4362,0.3745,0.3153
87,3.9804,8.6425,,5.0106,1.4274,4.6861
88,1.0526,2.0592,1.9651,1.2463,1.3723,1.718
89,0.0125,0.0196,0.0159,0.0134,0.0353,0.0584
90,13.85,7.6117,5.18,1.6269,2.4543,3.7789
91,3.6323,3.2983,2.0209,0.9507,0.5236,0.4457
92,0.0016,0.0017,0.0015,0.0014,0.0036,0.0059
93,0.0008,0.0008,0.0007,0.0006,0.0017,0.0028
94,0.0083,0.0137,0.0086,0.0082,0.0212,0.0351
95,0.0048,0.0061,0.0063,0.0064,0.0156,0.0258
96,64.5964,95.004,78.3234,40.3521,20.2612,49.429
97,129.1008,160.503,107.4429,53.2321,7.6609,17.9977
98,15.0563,25.8574,32.2579,28.8399,18.5007,25.2522
99,173.9061,221.6794,155.5283,87.448,47.4902,93.6223
100,21.5003,33.8586,40.1718,33.2572,23.9127,14.3275
101,31.311,47.9542,53.0333,29.175,15.3961,12.0486
102,70.0186,73.5479,53.5746,29.1935,9.7287,4.7846
103,28.9395,37.6986,30.4952,12.0798,5.8649,4.0944
104,0.0133,0.022,0.0135,0.0144,0.0358,0.0592
105,0.0005,0.0006,0.0005,0.0004,0.0011,0.0019
106,0.0126,0.0156,0.0144,0.0133,0.0341,0.0564
107,91.9018,124.6989,105.675,56.3217,9.7105,2.6495
108,0.0003,0.0005,0.0005,0.0004,0.001,0.0017
109,0.0014,0.0021,0.0025,0.0022,0.0054,0.009
110,15.249,21.0493,18.8882,13.7944,9.3442,7.3141
111,0.03,0.0493,0.0361,0.0264,0.0726,0.1203
112,0.213,0.2603,0.2245,0.1817,0.4805,0.8023
113,82.6659,125.7066,181.2369,209.5284,29.2017,9.7392
114,0.0283,0.0343,0.0288,0.0233,0.0601,0.1021
115,0.0017,0.002,0.0018,0.0015,0.004,0.0066
116,0.1636,0.2582,0.191,0.1348,0.3756,0.6216
117,13.7168,21.6552,15.638,9.5709,8.3692,19.7123
118,22.7457,30.7838,21.0441,9.661,5.7948,6.8744
119,146.8458,256.4547,287.9891,120.9339,33.2525,13.6047
120,38.0277,90.1716,61.903,16.2897,9.8951,25.3527
121,121.7122,181.4849,137.4037,96.9215,110.98,165.0687
122,136.4669,234.3489,230.0058,110.5027,16.9867,6.5933
123,,4.4518,3.7794,0.5276,0.2854,0.3571
124,238.988,344.5198,377.8139,297.5714,83.9983,32.5417
125,88.0863,177.2334,156.5951,30.3008,6.3309,3.5496
126,26.2119,33.9993,15.836,4.6164,2.7481,2.7533
127,0.8344,,1.0692,0.5952,0.4497,1.2754
128,105.0241,129.6094,45.6243,9.0951,5.8769,7.1624
129,0.5901,1.1616,0.9795,0.5628,0.2884,0.8904
130,0.3771,0.6663,0.7005,0.3598,0.1702,0.537
131,104.5573,100.311,29.8801,10.4852,6.2496,5.2503
132,6.4447,8.2932,6.9942,5.0139,3.0912,7.8939
133,209.7096,83.6845,89.6144,17.9521,21.2823,33.5319
134,143.1932,242.96,197.4104,34.5109,5.1475,2.5532
135,9.5823,12.7697,4.9059,1.3908,1.09,2.8622
136,15.5636,24.588,26.8594,15.7829,7.2716,22.5172
137,9.9765,14.6175,13.6265,9.46,5.5863,13.5255
138,181.7437,237.4291,265.6072,247.9226,206.4792,190.5687
139,126.1271,166.7335,168.2307,98.2703,3.1524,0.2325
140,246.5271,307.8509,237.5284,61.223,6.423,1.161
141,71.4001,96.2397,100.8183,59.3425,3.1487,1.2811
142,286.059,374.5032,300.3399,106.2433,6.7914,1.7837
143,8.0755,13.0251,13.1681,7.8524,4.0634,6.1172
144,99.753,85.084,110.4373,87.897,37.998,48.9623
145,192.7674,289.2142,249.1927,109.195,38.6577,46.1282
146,297.5394,47.6497,64.7698,24.2975,35.4255,54.6333
147,26.4605,30.6618,28.3452,21.3289,11.4869,12.4629
148,385.5495,458.4496,461.8997,293.4702,59.1489,5.4137
149,168.1211,110.1254,49.9929,36.9866,30.8125,48.9252
150,174.7334,262.353,268.1615,186.078,89.5153,21.0046
151,532.7863,402.4871,476.105,398.2,276.7953,351.9047
152,305.554,387.2062,342.8249,203.7484,51.8405,4.7565
153,318.9012,432.3547,448.7133,363.6168,185.3198,39.4876
154,6.8418,9.4333,10.9481,6.0815,6.0945,0.1623
155,314.8527,396.0092,402.1457,336.9194,92.9189,17.358
156,26.7116,39.9776,49.382,40.9168,21.8213,11.3635
157,524.6432,571.3846,547.3274,453.6875,209.0782,99.0733
158,16.407,38.848,22.7465,2.5269,1.2858,2.0159
159,13.7396,44.5097,16.8981,3.5791,1.2555,0.9083
160,3.2263,2.8393,5.0354,6.1362,8.3838,15.6635
161,494.1784,548.2352,522.8575,436.3505,264.3832,33.3088
162,575.5677,611.4535,619.0987,588.8786,447.1712,67.8311
163,11.7747,18.6882,20.8571,15.5023,5.9899,2.6471
164,328.3067,262.6538,193.1332,223.7791,172.5347,177.0785
165,6.5511,18.6446,5.8533,1.9035,1.5422,1.6983
166,22.598,33.376,29.8914,31.2296,11.5492,4.3687
167,14.685,14.7665,17.1394,7.2267,11.1726,17.5886
168,135.8337,161.9062,256.3308,339.918,328.2552,290.375
169,25.6082,42.6992,16.0653,6.7471,8.4982,12.1949
170,622.6955,644.4752,645.7482,594.9864,502.3882,498.1959
171,18.4061,23.8015,18.6572,19.6964,12.2404,4.748
172,438.4401,501.3637,517.4367,429.2877,338.6147,50.1252
173,17.882,19.0107,15.9212,17.8595,11.7286,
174,2.5987,6.5571,2.1058,1.337,1.7676,2.5592
175,56.6113,58.3447,61.985,66.9924,53.2555,20.0463
176,2.4609,5.8783,2.4423,2.2243,2.5982,3.7542
177,15.6841,17.0608,16.9491,3.7668,4.3236,7.2708
178,27.3315,69.7814,20.6915,12.8104,12.294,12.6815
179,358.7259,404.5834,443.7186,415.5307,54.6944,4.512
180,8.5748,15.1598,19.5147,27.8426,23.7343,3.2806
181,20.1934,35.1206,22.5242,22.1579,12.7507,5.2044
182,1.9689,9.408,2.8538,2.1066,1.4572,1.242
183,170.847,175.0978,157.2574,61.7709,40.1425,55.1803
184,57.9332,118.4749,69.9666,84.7772,39.5737,7.3062
185,550.847,588.045,589.4493,528.1561,235.3045,33.1992
186,57.8049,97.3083,71.5234,87.574,86.8512,14.4416
187,3.8749,2.4673,1.3115,5.7499,16.6577,18.7187
188,524.6241,575.8852,588.7752,532.6195,278.5448,30.8401
189,95.9932,135.5451,169.6865,219.2555,264.978,53.7843
190,4.3945,7.0634,10.2373,16.0423,10.6245,2.0961
191,22.2782,26.798,23.4671,27.388,17.7125,4.9445
192,24.0252,28.1527,13.7796,16.3179,8.7693,2.8865
193,250.5996,310.8147,503.2978,515.6314,485.9912,403.2406
194,30.2173,19.8592,26.4915,45.5698,45.2959,
195,0.3071,0.2151,0.4419,4.0634,7.2488,2.3632
196,26.5662,19.1254,9.9614,10.8456,22.4084,32.7319
197,675.6755,675.6755,675.6746,675.6746,675.674,675.675
198,600.5378,613.269,605.9256,603.3652,616.2703,272.7311
199,0.6764,0.3952,1.2952,4.6669,2.4424,1.1483
200,126.1502,29.1728,14.4828,34.5163,18.9086,12.4246
201,3.5946,3.565,10.6248,2.8209,3.7413,7.2284
202,10.4037,9.4536,17.4334,9.4659,14.2933,22.342
203,13.4018,8.2431,11.4964,20.5754,9.2937,15.0474
204,5.145,3.7808,6.2448,4.1643,6.6615,10.6558
205,4.7137,4.5698,12.7792,54.635,73.8168,126.8988
206,19.2365,4.038,5.4623,29.8462,106.9484,144.1211
207,2.4866,0.8833,1.064,2.1739,1.3634,2.5488
208,2.6223,2.1452,6.4262,33.217,46.2384,125.6064
209,3.0061,1.1463,2.5737,11.4115,32.7222,50.175
210,8.9781,1.5554,7.0487,36.8955,72.6433,92.4294
211,30.9512,15.1601,28.6112,81.6495,88.2003,109.2353
212,14.9464,15.1905,7.8169,14.7918,19.5689,38.4952
213,20.4729,9.7974,12.4645,48.323,95.8224,147.1925
214,13.4339,11.4919,19.4448,73.1863,104.4853,156.41
215,1.0907,0.3859,1.8621,4.5434,1.8346,0.8666
216,675.6739,31.8112,3.6735,45.2147,79.7751,140.5961
217,3.278,0.7914,0.4695,0.8864,1.7911,3.2786
218,117.4699,68.3993,30.5308,58.3648,185.2274,122.9915
219,41.7935,55.3102,99.5401,130.9926,244.5514,325.847
220,6.7052,2.1256,2.571,9.0557,14.4721,13.3435
221,1.5792,1.2527,0.6051,1.4407,2.0611,3.9618
222,0.4151,0.5214,0.1952,0.2097,0.6696,1.5735
223,3.4983,1.5385,0.9856,1.5216,4.5604,8.8476
224,4.9898,5.6876,4.0035,3.4525,16.1126,15.9632
225,15.2173,5.0067,0.4364,0.2817,0.3373,0.7517
226,675.6754,675.6753,675.6754,265.5422,120.3981,193.6592
227,1.0304,0.3397,0.2825,0.9439,1.4289,2.3877
228,0.9132,0.7368,0.4239,0.6771,3.3014,8.1138
229,0.5948,0.1389,0.1181,0.4125,0.2095,0.3437
230,0.1184,0.2494,0.0814,0.0468,0.0571,0.2097
231,205.5354,228.0259,280.7166,164.9089,100.8473,125.9844
232,0.5957,0.9572,0.5028,0.251,0.3462,0.8002
233,0.4508,0.0222,0.0606,0.132,2.5431,5.6993
234,0.0306,0.0125,0.0176,0.0341,0.171,0.3848
235,9.2189,10.393,3.3976,0.7356,0.5698,0.908
236,1.962,1.1383,0.7121,2.0015,4.1034,9.313
237,0.2704,0.4244,,0.1411,0.1738,0.6694
238,0.8432,0.2523,0.1088,0.3983,2.023,4.8811
239,0.2583,0.2301,0.1676,0.2829,0.9581,1.9938
240,0.0842,0.0627,0.0329,0.0779,0.3872,1.0923
241,68.3314,30.8164,12.3147,11.2524,8.9919,30.4396
242,0.3549,0.4332,0.2718,0.4218,1.048,2.1007
243,0.3015,0.2474,0.1807,0.1116,0.0369,0.0235
244,0.0498,0.049,0.0445,0.0417,0.0423,0.0538
245,0.0067,0.0099,0.02,0.0294,0.0274,0.0152
246,0.0316,0.0449,0.02,0.0227,0.0385,0.0817
247,0.1108,0.2517,0.1973,0.0975,0.1913,0.4607
248,0.0782,0.067,0.0526,0.0567,0.1553,0.3379
249,0.0294,0.0231,0.0163,0.019,0.1338,0.3246
250,0.7046,1.7829,0.6619,0.2344,0.5039,4.2527
251,0.1887,0.6382,0.3093,0.2468,0.3811,1.3276
252,0.0009,0.0013,0.0026,0.0043,0.0055,0.0033
253,4.6835,4.4899,11.3713,3.8726,1.7174,0.8959
254,0.008,0.0205,0.1532,0.1514,0.0883,0.0493
255,0.0013,0.0022,0.0043,0.0072,0.012,0.0157
256,0.1331,0.1118,0.1099,0.0911,0.0927,0.0615
257,0.0006,0.001,0.002,0.0032,0.0054,0.0078
258,0.8079,0.8017,0.3057,0.1177,0.0962,0.1274
259,0.2263,0.4791,0.6064,0.4216,0.2495,0.0907
260,3.9506,3.8633,7.1287,1.9166,1.2968,0.7561
261,0.0896,0.0923,0.0257,0.0184,0.0368,0.0753
262,0.0009,0.0015,0.0027,0.0045,0.0075,0.0053
263,0.0216,0.0217,0.0348,0.0204,0.0273,0.0434
264,0.1131,0.1901,0.0574,0.0202,0.028,0.0631
265,0.0773,0.207,0.1682,0.0276,0.0052,0.0097
266,0.0029,0.005,0.009,0.0149,0.0247,0.0311
267,5.0426,10.1169,7.0269,2.6192,2.1495,1.8466
268,10.0075,30.5209,33.0273,15.4778,16.0838,6.7447
269,16.9985,35.9034,57.1415,23.4372,2.4377,6.9134
270,60.67,139.6644,158.9934,85.4623,143.8609,89.132
271,0.0896,0.1751,0.2895,0.4326,0.6547,0.9705
272,0.0931,0.1589,0.2984,0.4849,0.8036,1.183
273,1.1836,2.1437,2.6125,1.4003,0.328,0.1305
274,1.6943,3.4664,5.8734,,0.2821,0.0131
275,0.0388,0.0643,0.1065,0.1762,0.0091,0.0078
276,10.99,20.0542,30.8995,42.6523,41.5831,10.4016
277,2.6008,4.431,6.4331,8.5553,9.1479,12.4667
278,8.5772,17.5252,32.1879,48.1271,67.4395,89.0113
279,223.4145,202.5709,259.5573,287.4497,123.4709,107.9109
280,0.3439,0.5884,0.9674,1.5131,,3.6318
281,0.0051,0.0051,0.0045,0.0043,0.0043,0.0038
282,1.1831,2.0247,3.2475,4.8225,5.7084,8.7104
283,165.3222,306.1386,369.0289,355.5859,492.743,526.3405
284,5.1931,7.7746,12.0128,16.8223,13.6279,6.847
285,38.2575,76.3461,133.266,183.4794,218.7694,253.3118
286,0.0113,0.0109,0.0087,0.0092,0.0092,0.0079
287,6.9238,13.532,21.0324,28.3475,28.9166,12.0853
288,5.2031,14.315,49.8369,79.9357,110.4506,137.1682
289,46.6175,108.2436,230.0418,242.2164,549.0959,78.4498
290,13.3456,25.2916,53.3544,47.5678,5.9127,1.0704
291,43.0118,107.2374,216.3039,199.4313,528.4865,96.6738
292,89.0366,188.7395,275.8517,76.8814,34.9435,12.574
293,11.158,25.5249,49.817,67.4901,38.8983,0.7894
294,5.1094,11.27,31.2962,47.9492,55.3091,78.5342
295,2.5623,5.7552,16.4367,27.7379,32.5217,47.0646
296,4.1237,10.1434,22.4711,31.1152,21.4192,20.3676
297,78.7459,152.357,214.0894,65.1895,34.8903,13.0981
298,25.1751,57.5198,102.6657,114.9763,29.8845,
299,3.8012,7.2841,12.9356,18.7131,12.198,3.5788
300,3.4464,6.3148,11.1303,15.1508,7.8003,2.2804
301,0.1028,0.1701,0.2816,0.4662,0.7715,1.2768
302,8.6645,13.4237,11.3002,7.1899,4.285,1.8313
303,16.9429,27.5985,44.5008,70.6311,109.1528,163.7028
304,6.488,15.4129,29.0811,36.5853,4.8304,0.8814
305,1.1537,1.908,3.1532,5.2048,8.5737,14.074
306,5.6061,10.894,20.778,33.3659,33.2746,23.1982
307,13.0938,32.4381,68.5776,67.588,60.272,3.737
308,658.8949,666.9659,670.7995,672.0764,671.7298,637.3952
309,5.8719,11.6911,19.9807,17.919,0.8099,0.1356
310,0.1723,0.2853,0.4722,0.7815,1.2928,2.1378
311,0.1945,0.3345,0.5653,0.9424,1.466,2.1022
312,0.9487,1.8899,3.5926,5.9015,6.634,5.6811
313,7.9047,19.9405,30.9097,30.9969,1.2615,0.1796
314,26.117,49.6085,65.1541,80.4818,1.304,0.203
315,52.4642,149.7387,253.8579,283.6111,189.6368,10.7908
316,21.5235,43.0089,82.587,128.6848,143.4621,86.8582
317,1.9941,3.3839,5.847,10.0308,4.64,
318,7.4987,18.7498,39.2685,60.4391,41.713,3.1325
319,665.8354,670.1252,672.4545,673.7322,674.3757,674.8878
320,211.3371,374.0882,491.6445,526.7694,454.1434,146.5567
321,,675.6757,675.6757,675.6757,675.6757,674.0889
322,17.3242,30.5797,28.1061,12.226,2.7246,0.8279
323,675.6757,675.6547,675.6757,675.6757,675.6757,674.4168
324,6.9149,11.176,18.1266,32.9155,19.8911,19.1208
325,75.6954,147.9544,261.0738,356.158,392.4099,411.6918
326,186.0131,305.7296,382.793,324.3907,135.1996,62.5468
327,675.5395,675.4329,675.6757,675.6757,675.6757,675.2947
328,675.5338,675.0089,675.6124,675.6757,675.6757,675.638
329,1.9425,2.4326,1.746,1.2108,1.393,1.0933
330,107.8731,211.2914,328.436,347.8524,64.4914,11.3213
331,29.4332,46.0665,84.0121,135.1662,215.7873,306.1292
332,675.6757,675.272,675.5262,675.6558,675.639,675.6757
333,128.1391,247.7764,350.9579,402.6263,60.9584,10.5749
334,0.143,0.2204,0.1872,1.8847,8.6617,17.9928
335,142.3818,257.8979,341.0814,321.5249,148.4465,17.7059
336,37.452,63.7277,93.558,44.7878,36.4664,29.3826
337,0.199,0.2086,0.1909,2.7394,12.1493,23.4607
338,131.7629,312.1076,474.2243,551.7213,481.9567,7.3783
339,36.2739,139.8417,384.1582,509.83,539.316,267.2765
340,0.0262,0.0263,0.0275,0.4093,5.7794,19.1204
341,675.6755,675.6755,675.6755,675.6754,675.6749,675.6754
342,1.4193,1.7429,2.5565,2.25,2.4991,5.0147
343,0.1109,0.0761,0.1436,1.1992,3.5819,7.411
344,0.4399,1.3898,14.3699,54.4493,68.4283,66.2961
345,0.1802,0.4059,0.8636,1.5007,3.3247,6.6473
346,0.5869,0.6613,1.4397,2.6659,1.6334,7.5106
347,0.2385,0.2485,0.2777,0.2849,0.3673,0.552
348,0.1452,0.3988,2.1204,5.0508,9.6303,21.7726
349,0.3051,0.6037,1.4339,3.2425,5.7976,9.3494
350,0.147,0.6392,3.9747,5.4799,8.6757,8.1475
351,0.0053,0.0073,0.0163,0.0364,0.0388,0.0435
352,0.0057,0.0075,0.0142,0.0281,0.0656,0.0797
353,25.0663,9.2684,18.8839,78.7413,173.6638,172.0857
354,0.8121,0.499,0.8664,1.2825,1.0341,1.2215
355,3.1196,1.9813,2.3366,1.8593,3.6137,8.7656
356,2.1365,0.3348,0.622,2.0351,3.0502,7.0865
357,2.1253,4.5283,8.72,13.3841,11.7382,0.8349
358,230.9349,292.5217,363.0419,212.487,163.136,118.874
359,0.0013,0.0022,0.0036,0.006,0.0099,0.0164
360,0.0012,0.0026,0.0049,0.0081,0.0134,0.0222
361,675.6746,675.6753,675.675,675.6756,675.6757,675.6746
362,1.0315,0.6504,0.2439,0.1589,0.3202,2.1122
363,0.3728,0.1624,0.1003,0.0343,0.0465,0.2225
364,0.0433,0.0463,0.039,0.0284,0.0418,0.1252
365,17.095,41.8566,87.2211,32.5782,17.3791,3.2915
366,1.2781,3.0681,5.7417,8.2183,3.2695,0.1461
367,0.5684,1.1026,1.8648,2.1089,1.5262,0.1545
368,7.0137,19.0497,81.0016,213.8185,264.2183,325.8076
369,50.2047,45.0117,70.2177,107.344,72.6695,104.53
370,490.5297,575.4422,628.2712,648.2796,611.6115,569.3782
371,0.0813,0.1645,0.3147,0.525,0.5213,0.0528
372,0.0643,0.1706,0.3824,0.6334,0.2569,0.3399
373,0.1194,0.2289,0.4089,0.6877,0.773,0.3206
374,13.5066,24.5948,38.0919,55.0147,4.4509,5.3556
375,0.0818,0.1235,0.1283,0.2842,0.4704,0.7784
376,0.0011,0.0019,0.0032,0.0054,0.009,0.0149
377,24.8749,32.6997,38.4521,11.532,7.3822,8.2303
378,9.5136,9.5344,10.9399,2.7864,3.4774,4.7848
379,12.2656,9.2942,12.4331,6.6124,9.9011,15.1884
380,0.0073,0.0078,0.0073,0.0097,0.0088,0.0072
381,0.0081,0.009,0.0068,0.0118,0.0083,0.0086
382,0.0025,0.0026,0.0025,0.0031,0.0031,0.0025
383,0.0036,0.0041,0.0038,0.0038,0.0032,0.0019
384,0.003,0.0029,0.0432,0.0315,0.0077,0.0202
385,0.0369,0.0538,0.2843,0.1523,0.0606,0.0393
386,0.034,0.0372,0.0618,0.0271,0.0187,0.0186
387,2.3173,2.9105,9.9064,5.1021,2.7841,1.9424
388,0.9628,1.4025,3.6364,2.0243,1.0064,0.6505
389,23.1964,45.3361,83.9322,128.9076,149.4369,159.4244
390,9.2949,17.1238,30.47,48.5751,63.4573,
391,163.8537,244.0545,292.3902,227.4405,38.2835,19.1539
392,,204.1123,227.276,165.387,31.0648,11.4322
393,157.1146,261.8551,300.4459,179.9099,17.4527,23.217
394,,675.6513,675.6459,675.6263,675.5155,675.3102
395,,268.7374,410.8614,324.0478,235.4769,112.5411
396,0.2343,0.4719,0.6393,0.7622,0.9919,3.0301
397,531.1691,573.7264,568.3607,568.8242,531.6836,68.5694
398,0.0092,0.015,0.03,0.0499,0.0826,0.0691
399,9.4926,14.4444,18.3273,13.4872,15.3962,5.8656
400,7.3175,11.325,11.8803,4.4041,,4.1894
401,368.6795,422.2226,417.9784,408.9415,235.0614,99.9358
402,0.0009,0.0018,0.0023,0.0045,0.0075,0.0124
403,172.8032,266.8108,271.1349,206.455,65.4205,32.5219
404,29.988,51.1923,59.5154,20.0438,3.522,6.1803
405,105.3181,174.5054,159.6708,78.9532,40.2273,88.2488
