Id,Maths,History,Geograpgy
1961763,79.0,33.0,16.0
1961764,44.0,76.0,7.0
1961765,53.0,29.0,78.0
1961766,45.0,7.0,71.0
1961767,94.0,16.0,27.0
1961768,30.0,57.0,53.0
1961769,11.0,29.0,13.0
1961770,83.0,75.0,49.0
1961771,74.0,96.0,38.0
1961772,99.0,47.0,72.0
1961773,48.0,,68.0
1961774,45.0,50.0,6.0
1961775,89.0,99.0,42.0
1961776,68.0,21.0,68.0
1961777,84.0,19.0,80.0
1961778,10.0,61.0,41.0
1961779,72.0,66.0,26.0
1961780,5.0,76.0,5.0
1961781,70.0,95.0,23.0
1961782,90.0,9.0,26.0
1961783,82.0,99.0,10.0
1961784,73.0,97.0,91.0
1961785,11.0,90.0,21.0
1961786,41.0,92.0,88.0
1961787,6.0,84.0,60.0
1961788,97.0,58.0,27.0
1961789,16.0,36.0,29.0
1961790,94.0,36.0,
1961791,44.0,44.0,71.0
1961792,45.0,34.0,7.0
1961793,7.0,54.0,22.0
1961794,18.0,90.0,30.0
1961795,69.0,79.0,14.0
1961796,99.0,66.0,81.0
1961797,4.0,86.0,89.0
1961798,93.0,92.0,4.0
1961799,76.0,15.0,98.0
1961800,56.0,63.0,39.0
1961801,98.0,76.0,86.0
1961802,49.0,72.0,27.0
1961803,64.0,88.0,42.0
1961804,68.0,47.0,10.0
1961805,21.0,70.0,21.0
1961806,1.0,35.0,25.0
1961807,43.0,1.0,26.0
1961808,92.0,34.0,1.0
1961809,61.0,65.0,96.0
1961810,16.0,23.0,
1961811,81.0,87.0,
1961812,6.0,35.0,2.0
1961813,95.0,57.0,8.0
1961814,41.0,35.0,9.0
1961815,51.0,93.0,93.0
1961816,92.0,35.0,44.0
1961817,4.0,17.0,45.0
1961818,56.0,79.0,96.0
1961819,16.0,58.0,
1961820,95.0,86.0,75.0
1961821,96.0,1.0,84.0
1961822,40.0,11.0,92.0
1961823,78.0,92.0,17.0
1961824,79.0,44.0,11.0
1961825,95.0,62.0,26.0
1961826,84.0,77.0,36.0
1961827,94.0,,70.0
1961828,67.0,40.0,87.0
1961829,,55.0,72.0
1961830,56.0,13.0,79.0
1961831,17.0,15.0,67.0
1961832,63.0,92.0,6.0
1961833,46.0,12.0,41.0
1961834,5.0,81.0,61.0
1961835,87.0,67.0,53.0
1961836,0.0,75.0,8.0
1961837,58.0,82.0,59.0
1961838,55.0,8.0,91.0
1961839,94.0,98.0,26.0
1961840,68.0,84.0,
1961841,42.0,77.0,80.0
1961842,38.0,38.0,15.0
1961843,5.0,10.0,65.0
1961844,84.0,81.0,20.0
1961845,69.0,18.0,40.0
1961846,94.0,17.0,63.0
1961847,33.0,93.0,27.0
1961848,93.0,18.0,84.0
1961849,0.0,43.0,24.0
1961850,47.0,81.0,75.0
1961851,63.0,29.0,99.0
1961852,17.0,20.0,23.0
1961853,37.0,82.0,70.0
1961854,16.0,,49.0
1961855,42.0,35.0,5.0
1961856,91.0,90.0,14.0
1961857,76.0,88.0,89.0
1961858,98.0,82.0,85.0
1961859,91.0,23.0,14.0
1961860,32.0,17.0,42.0
1961861,14.0,22.0,61.0
1961862,51.0,25.0,54.0
1961863,33.0,68.0,96.0
1961864,86.0,55.0,67.0
1961865,,18.0,71.0
1961866,39.0,60.0,17.0
1961867,50.0,53.0,36.0
1961868,41.0,1.0,94.0
1961869,35.0,12.0,47.0
1961870,73.0,43.0,71.0
1961871,61.0,30.0,19.0
1961872,69.0,18.0,91.0
1961873,5.0,19.0,96.0
1961874,,55.0,0.0
1961875,14.0,23.0,83.0
1961876,31.0,93.0,75.0
1961877,38.0,67.0,89.0
1961878,32.0,21.0,17.0
1961879,81.0,78.0,83.0
1961880,55.0,78.0,18.0
1961881,40.0,29.0,98.0
1961882,8.0,35.0,83.0
1961883,92.0,75.0,77.0
1961884,90.0,67.0,9.0
1961885,60.0,19.0,18.0
1961886,51.0,59.0,68.0
1961887,28.0,21.0,29.0
1961888,33.0,41.0,
1961889,27.0,10.0,16.0
1961890,3.0,7.0,79.0
