Sample ID,Dissolved Oxygen (mg/L),Conductivity (µS/cm)
292,9.2,360.0
293,7.7,328.0
294,9.1,353.0
295,7.9,
296,8.4,343.0
297,,330.0
298,8.1,346.0
299,8.7,342.0
300,9.8,366.0
301,7.7,331.0
302,8.9,356.0
303,8.6,344.0
304,9.1,354.0
305,9.5,361.0
306,9.4,363.0
307,8.5,350.0
308,7.8,335.0
309,9.7,368.0
310,8.2,349.0
311,9.2,359.0
312,7.6,
313,,352.0
314,7.8,336.0
315,8.3,347.0
316,7.1,327.0
317,9.4,362.0
318,7.5,334.0
319,8.7,358.0
320,,339.0
321,8.3,344.0
322,9.2,361.0
323,7.7,329.0
324,9.1,354.0
325,7.9,336.0
326,8.4,344.0
327,7.5,329.0
328,8.1,
329,8.7,343.0
330,9.8,367.0
331,7.7,332.0
332,8.9,356.0
333,8.6,343.0
334,9.1,
335,9.5,362.0
336,9.4,363.0
337,8.5,350.0
338,7.8,335.0
339,9.7,369.0
340,8.2,340.0
341,9.2,360.0
342,7.6,330.0
343,8.9,353.0
344,7.8,336.0
345,8.3,347.0
346,7.1,327.0
347,9.4,361.0
348,7.5,334.0
349,8.7,359.0
350,8.2,339.0
351,8.3,344.0
352,9.2,361.0
353,7.7,329.0
354,9.1,354.0
355,7.9,336.0
356,8.4,344.0
357,7.5,329.0
358,8.1,347.0
359,8.7,343.0
360,9.8,367.0
361,,332.0
362,8.9,356.0
363,8.6,343.0
364,9.1,354.0
365,,362.0
366,9.4,363.0
367,,350.0
368,7.8,
369,9.7,369.0
370,,340.0
371,9.2,360.0
372,7.6,330.0
373,8.9,353.0
374,7.8,336.0
375,8.3,347.0
376,7.1,327.0
377,9.4,361.0
378,7.5,334.0
379,8.7,359.0
380,8.2,339.0
381,8.3,
382,9.2,361.0
383,7.7,329.0
384,9.1,354.0
385,7.9,336.0
386,8.4,344.0
387,7.5,329.0
388,8.1,347.0
389,8.7,343.0
390,9.8,367.0
391,7.7,332.0
392,8.9,356.0
393,8.6,343.0
394,9.1,354.0
395,9.5,362.0
396,9.4,363.0
397,8.5,350.0
398,7.8,335.0
399,9.7,369.0
400,8.2,
401,9.2,360.0
402,7.6,330.0
403,8.9,353.0
404,7.8,336.0
405,8.3,347.0
406,7.1,327.0
407,9.4,361.0
408,7.5,334.0
409,8.7,359.0
410,8.2,339.0
411,8.3,344.0
412,9.2,361.0
413,7.7,329.0
414,9.1,354.0
415,7.9,336.0
416,8.4,344.0
417,7.5,329.0
418,8.1,347.0
419,8.7,343.0
420,9.8,367.0
421,7.7,332.0
422,8.9,
423,8.6,
424,,354.0
425,9.5,362.0
426,9.4,363.0
427,8.5,350.0
428,7.8,335.0
429,9.7,369.0
430,8.2,340.0
431,9.2,360.0
432,7.6,330.0
433,8.9,353.0
434,7.8,336.0
435,8.3,347.0
436,7.1,327.0
437,9.4,361.0
438,7.5,334.0
439,8.7,359.0
440,8.2,339.0
441,8.3,344.0
442,9.2,361.0
443,7.7,
444,9.1,354.0
445,7.9,336.0
446,8.4,344.0
447,,329.0
448,8.1,347.0
449,8.7,343.0
450,9.8,367.0
451,7.7,332.0
452,8.9,356.0
453,8.6,343.0
454,9.1,354.0
455,9.5,362.0
456,9.4,363.0
457,8.5,350.0
458,7.8,335.0
459,,369.0
460,8.2,340.0
461,9.2,360.0
462,7.6,
463,8.9,353.0
464,7.8,336.0
465,8.3,
466,7.1,327.0
467,9.4,361.0
468,7.5,334.0
469,8.7,359.0
470,8.2,339.0
471,8.3,344.0
472,9.2,361.0
473,7.7,329.0
474,9.1,354.0
475,7.9,336.0
476,8.4,344.0
477,7.5,329.0
478,8.1,347.0
479,8.7,343.0
480,9.8,367.0
481,7.7,332.0
482,8.9,356.0
483,8.6,343.0
484,,354.0
485,,362.0
486,9.4,363.0
487,8.5,350.0
488,7.8,335.0
489,9.7,369.0
490,8.2,340.0
491,9.2,360.0
492,7.6,330.0
493,8.9,353.0
494,7.8,336.0
495,8.3,347.0
496,7.1,327.0
497,9.4,361.0
498,7.5,334.0
499,8.7,359.0
500,8.2,339.0
