Id,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep
2161065,female,group D,some high school,standard,none
2161066,male,group B,some high school,standard,none
2161067,male,group D,some high school,free/reduced,none
2161068,female,group C,some college,standard,none
2161069,male,group B,associate's degree,free/reduced,none
2161070,female,group C,associate's degree,standard,none
2161071,female,group D,some college,free/reduced,completed
2161072,male,group D,some college,standard,completed
2161073,female,group A,associate's degree,free/reduced,none
2161074,male,group C,some high school,free/reduced,none
2161075,male,group C,some high school,standard,none
2161076,male,group B,associate's degree,free/reduced,none
2161077,male,group E,some high school,standard,none
2161078,male,group A,bachelor's degree,standard,completed
2161079,female,group D,some high school,standard,completed
2161080,female,group E,master's degree,standard,none
2161081,female,group B,associate's degree,standard,none
2161082,male,group B,high school,free/reduced,none
2161083,male,group A,some college,free/reduced,completed
2161084,male,group E,associate's degree,standard,none
2161085,male,group D,high school,free/reduced,none
2161086,female,group C,some college,standard,none
2161087,female,group C,some college,free/reduced,none
2161088,female,group D,associate's degree,standard,none
2161089,female,group A,some college,standard,none
2161090,female,group D,some high school,standard,none
2161091,female,group C,bachelor's degree,standard,none
2161092,male,group C,high school,free/reduced,none
2161093,male,group C,high school,standard,none
2161094,male,group C,associate's degree,free/reduced,completed
2161095,female,group B,some college,standard,none
2161096,male,group C,associate's degree,free/reduced,completed
2161097,male,group B,some high school,standard,completed
2161098,female,group E,some college,standard,completed
2161099,female,group D,some college,free/reduced,none
2161100,female,group D,bachelor's degree,standard,none
2161101,male,group B,some college,standard,none
2161102,male,group D,bachelor's degree,standard,completed
2161103,female,group D,associate's degree,standard,none
2161104,male,group B,high school,standard,completed
2161105,male,group C,some college,standard,completed
2161106,female,group C,some college,standard,none
2161107,female,group D,master's degree,standard,none
2161108,male,group E,associate's degree,standard,completed
2161109,female,group B,associate's degree,free/reduced,none
2161110,female,group B,some high school,standard,none
2161111,female,group D,associate's degree,free/reduced,completed
2161112,male,group C,high school,standard,none
2161113,male,group A,associate's degree,standard,none
2161114,female,group D,some college,standard,none
2161115,female,group E,bachelor's degree,standard,completed
2161116,male,group C,high school,standard,none
2161117,female,group B,bachelor's degree,free/reduced,none
2161118,female,group D,bachelor's degree,standard,none
2161119,female,group D,some high school,standard,none
2161120,female,group C,some college,standard,none
2161121,female,group C,bachelor's degree,standard,completed
2161122,male,group B,associate's degree,standard,completed
2161123,female,group C,some college,standard,completed
2161124,male,group D,high school,free/reduced,none
2161125,male,group E,some college,standard,none
2161126,female,group B,high school,standard,none
2161127,male,group B,some high school,standard,none
2161128,male,group D,some college,standard,completed
2161129,male,group D,master's degree,standard,none
2161130,female,group A,bachelor's degree,standard,none
2161131,male,group D,master's degree,standard,none
2161132,male,group C,some high school,free/reduced,completed
2161133,male,group E,some college,free/reduced,completed
2161134,female,group C,some college,standard,completed
2161135,male,group D,bachelor's degree,free/reduced,completed
2161136,male,group C,bachelor's degree,standard,none
2161137,male,group B,some high school,standard,completed
2161138,male,group E,high school,standard,none
2161139,female,group C,associate's degree,standard,none
2161140,male,group D,some college,standard,completed
2161141,female,group D,some high school,standard,none
2161142,female,group C,some college,free/reduced,none
2161143,female,group E,some college,free/reduced,completed
2161144,male,group A,high school,standard,none
2161145,male,group D,some college,standard,none
2161146,female,group C,some college,free/reduced,none
2161147,male,group B,some high school,standard,none
2161148,male,group C,associate's degree,free/reduced,none
2161149,female,group D,bachelor's degree,standard,completed
2161150,male,group E,associate's degree,free/reduced,completed
2161151,male,group A,some high school,standard,completed
2161152,male,group A,bachelor's degree,standard,none
2161153,female,group B,associate's degree,standard,completed
2161154,male,group D,bachelor's degree,standard,none
2161155,male,group D,some high school,standard,none
2161156,female,group C,some college,standard,completed
2161157,female,group E,high school,free/reduced,completed
2161158,male,group B,some college,free/reduced,none
2161159,female,group B,associate's degree,standard,completed
2161160,male,group D,associate's degree,free/reduced,none
2161161,male,group B,associate's degree,free/reduced,completed
2161162,female,group E,some college,free/reduced,completed
2161163,male,group B,master's degree,free/reduced,none
2161164,male,group C,high school,standard,none
2161165,female,group E,master's degree,standard,none
2161166,female,group C,bachelor's degree,standard,completed
2161167,male,group C,high school,free/reduced,completed
2161168,female,group B,master's degree,free/reduced,completed
2161169,female,group B,high school,standard,completed
2161170,female,group C,some college,free/reduced,completed
2161171,male,group A,high school,standard,completed
2161172,male,group E,some high school,standard,none
2161173,female,group D,some college,standard,none
2161174,female,group C,associate's degree,standard,none
2161175,female,group C,bachelor's degree,free/reduced,completed
2161176,female,group C,master's degree,standard,completed
2161177,female,group B,high school,free/reduced,completed
2161178,female,group C,associate's degree,standard,completed
2161179,female,group B,master's degree,free/reduced,completed
2161180,female,group D,some high school,standard,completed
2161181,male,group C,master's degree,free/reduced,completed
2161182,female,group C,some college,free/reduced,none
2161183,female,group E,high school,standard,none
2161184,female,group D,associate's degree,standard,none
2161185,male,group C,some high school,free/reduced,completed
2161186,male,group C,associate's degree,free/reduced,completed
2161187,male,group E,high school,standard,none
2161188,male,group D,some high school,standard,completed
2161189,male,group B,some high school,free/reduced,none
2161190,female,group C,bachelor's degree,standard,none
2161191,female,group E,associate's degree,standard,none
2161192,male,group D,some college,standard,completed
2161193,female,group B,some high school,standard,none
2161194,male,group D,some college,standard,completed
2161195,female,group C,master's degree,standard,completed
2161196,male,group D,associate's degree,standard,none
2161197,male,group C,some high school,free/reduced,completed
2161198,male,group E,high school,free/reduced,none
2161199,female,group B,some college,free/reduced,none
2161200,female,group B,bachelor's degree,free/reduced,none
2161201,female,group C,associate's degree,standard,completed
2161202,female,group D,some college,free/reduced,none
2161203,male,group C,associate's degree,standard,none
2161204,female,group B,associate's degree,standard,none
2161205,male,group C,some college,standard,none
2161206,male,group D,some high school,standard,completed
2161207,male,group E,bachelor's degree,standard,none
2161208,male,group E,high school,standard,completed
2161209,female,group B,some college,free/reduced,none
2161210,female,group B,some college,free/reduced,none
2161211,male,group D,some high school,free/reduced,completed
2161212,male,group C,some college,free/reduced,none
2161213,female,group C,high school,free/reduced,none
2161214,male,group C,associate's degree,free/reduced,completed
2161215,male,group E,high school,standard,completed
2161216,male,group B,some high school,standard,completed
2161217,female,group E,associate's degree,free/reduced,completed
2161218,female,group C,high school,free/reduced,none
2161219,male,group B,high school,free/reduced,none
2161220,male,group B,some high school,standard,completed
2161221,female,group D,high school,standard,completed
2161222,male,group B,associate's degree,standard,none
2161223,female,group C,some high school,free/reduced,none
2161224,male,group D,some high school,standard,none
2161225,female,group B,associate's degree,standard,completed
2161226,female,group E,master's degree,free/reduced,none
2161227,female,group C,some college,standard,none
2161228,male,group D,high school,standard,none
2161229,male,group A,some high school,free/reduced,none
2161230,female,group C,some college,standard,completed
2161231,male,group D,some college,standard,none
2161232,male,group C,associate's degree,standard,none
2161233,female,group B,bachelor's degree,standard,none
2161234,male,group E,some high school,standard,none
2161235,male,group C,bachelor's degree,standard,completed
2161236,male,group D,associate's degree,standard,none
2161237,male,group D,bachelor's degree,free/reduced,none
2161238,female,group D,some high school,standard,completed
2161239,male,group B,some college,standard,none
2161240,male,group C,associate's degree,standard,none
2161241,male,group D,high school,free/reduced,completed
2161242,female,group E,bachelor's degree,standard,none
2161243,female,group D,high school,standard,none
2161244,male,group E,some college,standard,none
2161245,male,group D,some high school,standard,none
2161246,male,group C,associate's degree,standard,none
2161247,male,group E,associate's degree,standard,none
2161248,female,group B,high school,standard,completed
2161249,female,group B,high school,standard,none
2161250,male,group C,high school,standard,none
2161251,male,group A,some high school,standard,completed
2161252,female,group D,some college,free/reduced,none
2161253,female,group B,some high school,standard,completed
2161254,male,group D,master's degree,standard,none
2161255,male,group D,high school,standard,none
2161256,female,group E,some college,standard,none
2161257,female,group C,associate's degree,free/reduced,none
2161258,male,group C,associate's degree,standard,completed
2161259,female,group B,some college,standard,none
2161260,female,group C,master's degree,free/reduced,completed
2161261,female,group C,some high school,free/reduced,completed
2161262,male,group C,some college,standard,completed
2161263,female,group C,some high school,free/reduced,none
2161264,female,group E,high school,standard,none
2161265,male,group D,high school,standard,none
2161266,male,group D,some high school,free/reduced,none
2161267,female,group C,bachelor's degree,standard,none
2161268,female,group D,high school,standard,none
2161269,female,group D,associate's degree,standard,completed
2161270,female,group E,some college,free/reduced,none
2161271,male,group C,bachelor's degree,standard,none
2161272,male,group C,some college,standard,none
2161273,female,group D,associate's degree,free/reduced,none
2161274,female,group D,some college,standard,none
2161275,male,group B,some college,standard,completed
2161276,male,group C,bachelor's degree,standard,none
2161277,female,group C,some high school,standard,completed
2161278,female,group E,high school,standard,completed
2161279,female,group C,some high school,free/reduced,none
2161280,male,group B,bachelor's degree,free/reduced,none
2161281,male,group D,high school,standard,none
2161282,male,group D,high school,standard,none
2161283,female,group D,bachelor's degree,free/reduced,none
2161284,female,group D,some college,free/reduced,completed
2161285,female,group B,some high school,standard,none
2161286,male,group B,associate's degree,standard,completed
2161287,male,group E,associate's degree,standard,completed
2161288,female,group B,some high school,standard,none
2161289,male,group B,bachelor's degree,free/reduced,none
2161290,male,group E,some high school,standard,completed
2161291,male,group C,associate's degree,standard,none
2161292,male,group D,some high school,standard,none
2161293,male,group C,some high school,standard,completed
2161294,female,group E,bachelor's degree,standard,none
2161295,male,group D,high school,free/reduced,completed
2161296,male,group B,associate's degree,free/reduced,none
2161297,male,group A,some high school,standard,completed
2161298,male,group E,associate's degree,standard,completed
2161299,male,group C,high school,free/reduced,completed
2161300,male,group D,associate's degree,free/reduced,none
2161301,male,group A,some college,free/reduced,completed
2161302,male,group D,some high school,free/reduced,none
2161303,female,group C,associate's degree,standard,completed
2161304,male,group B,associate's degree,standard,none
2161305,female,group C,associate's degree,standard,completed
2161306,male,group A,some college,standard,none
2161307,male,group E,some college,standard,completed
2161308,male,group C,some high school,standard,none
2161309,female,group B,associate's degree,free/reduced,none
2161310,female,group D,high school,free/reduced,none
2161311,female,group B,associate's degree,standard,none
2161312,male,group B,bachelor's degree,standard,none
2161313,male,group D,bachelor's degree,standard,completed
2161314,female,group C,associate's degree,free/reduced,completed
2161315,female,group C,bachelor's degree,standard,completed
2161316,male,group C,high school,standard,none
2161317,female,group D,master's degree,standard,completed
2161318,male,group C,associate's degree,standard,none
2161319,male,group B,bachelor's degree,standard,none
2161320,female,group D,associate's degree,free/reduced,none
2161321,female,group C,high school,free/reduced,completed
2161322,female,group E,high school,standard,none
2161323,female,group C,some college,standard,none
2161324,female,group C,some high school,free/reduced,none
2161325,female,group C,high school,free/reduced,none
2161326,female,group C,some college,standard,none
2161327,male,group C,some college,standard,none
2161328,male,group A,some college,free/reduced,none
2161329,male,group C,associate's degree,standard,completed
2161330,female,group B,some high school,standard,none
2161331,male,group C,high school,standard,none
2161332,male,group C,associate's degree,standard,none
2161333,male,group E,associate's degree,standard,completed
2161334,male,group B,associate's degree,standard,none
2161335,female,group C,bachelor's degree,standard,none
2161336,female,group B,some college,free/reduced,none
2161337,male,group D,some high school,standard,completed
2161338,male,group C,associate's degree,standard,none
2161339,female,group B,some high school,free/reduced,none
2161340,female,group D,some high school,free/reduced,completed
2161341,male,group C,high school,free/reduced,none
2161342,female,group C,high school,standard,none
2161343,female,group B,high school,standard,completed
2161344,male,group D,associate's degree,standard,completed
2161345,male,group D,some college,standard,none
2161346,female,group C,high school,standard,none
2161347,male,group B,some college,standard,none
2161348,female,group C,bachelor's degree,standard,completed
2161349,male,group D,high school,free/reduced,none
2161350,male,group E,associate's degree,standard,none
2161351,female,group B,bachelor's degree,standard,none
2161352,male,group E,some college,standard,none
2161353,female,group C,some college,standard,completed
2161354,female,group C,associate's degree,standard,none
2161355,female,group C,some college,standard,none
2161356,female,group B,bachelor's degree,standard,none
2161357,male,group A,associate's degree,standard,none
2161358,female,group C,some college,free/reduced,completed
2161359,male,group D,some college,free/reduced,none
2161360,female,group D,some college,standard,none
2161361,female,group B,high school,standard,none
2161362,male,group B,some high school,standard,completed
2161363,female,group C,some college,standard,none
2161364,female,group D,some high school,free/reduced,none
2161365,male,group C,some college,standard,none
2161366,male,group A,bachelor's degree,free/reduced,completed
2161367,male,group C,high school,standard,completed
2161368,male,group C,bachelor's degree,free/reduced,none
2161369,female,group A,some high school,free/reduced,none
2161370,female,group D,some high school,standard,none
2161371,male,group E,some college,standard,none
2161372,female,group C,some college,free/reduced,completed
2161373,male,group D,some high school,standard,none
2161374,female,group D,some college,standard,completed
2161375,female,group D,bachelor's degree,standard,none
2161376,male,group E,associate's degree,free/reduced,none
2161377,female,group D,some high school,standard,none
2161378,female,group D,master's degree,free/reduced,completed
2161379,female,group A,some high school,standard,none
2161380,male,group A,bachelor's degree,standard,none
2161381,female,group B,associate's degree,standard,none
2161382,male,group C,associate's degree,standard,completed
2161383,male,group C,master's degree,free/reduced,none
2161384,female,group E,some high school,free/reduced,none
2161385,female,group A,some high school,free/reduced,none
2161386,female,group E,some college,standard,none
2161387,female,group E,bachelor's degree,standard,none
2161388,female,group C,associate's degree,free/reduced,none
2161389,female,group D,high school,standard,none
2161390,male,group D,master's degree,standard,none
2161391,male,group E,some high school,free/reduced,completed
2161392,female,group D,some college,standard,none
2161393,male,group E,some college,standard,none
2161394,male,group C,associate's degree,standard,completed
2161395,female,group C,some high school,standard,completed
2161396,male,group A,high school,free/reduced,none
2161397,female,group B,high school,free/reduced,none
2161398,female,group C,associate's degree,standard,none
2161399,male,group B,some high school,standard,none
2161400,male,group D,some high school,standard,none
2161401,female,group C,some high school,standard,completed
2161402,male,group A,some college,standard,none
2161403,female,group A,some college,free/reduced,none
2161404,female,group D,high school,standard,completed
2161405,female,group C,high school,standard,none
2161406,female,group C,some high school,standard,none
2161407,male,group B,associate's degree,standard,completed
2161408,female,group B,associate's degree,standard,none
2161409,female,group D,high school,free/reduced,completed
2161410,male,group D,associate's degree,standard,completed
2161411,female,group D,master's degree,standard,completed
2161412,male,group E,some college,standard,completed
2161413,male,group D,associate's degree,standard,none
2161414,male,group B,some high school,standard,completed
2161415,female,group C,bachelor's degree,free/reduced,completed
2161416,male,group E,high school,standard,none
2161417,male,group C,bachelor's degree,standard,completed
2161418,male,group C,associate's degree,standard,none
2161419,male,group D,some college,standard,none
2161420,male,group E,high school,free/reduced,completed
2161421,female,group C,associate's degree,free/reduced,completed
2161422,female,group D,high school,standard,completed
2161423,female,group D,master's degree,free/reduced,completed
2161424,female,group A,some high school,standard,completed
2161425,male,group B,some college,free/reduced,none
2161426,female,group C,some college,free/reduced,none
2161427,male,group C,bachelor's degree,standard,none
2161428,male,group C,some high school,free/reduced,none
2161429,male,group A,some high school,free/reduced,none
2161430,male,group C,some high school,free/reduced,none
2161431,male,group C,associate's degree,free/reduced,none
2161432,female,group C,high school,standard,none
2161433,male,group C,high school,standard,none
2161434,female,group A,some high school,free/reduced,none
2161435,male,group C,some high school,standard,none
2161436,male,group C,some college,free/reduced,completed
2161437,male,group D,associate's degree,standard,none
2161438,male,group D,associate's degree,free/reduced,none
2161439,male,group C,high school,standard,none
2161440,male,group D,some high school,standard,completed
2161441,female,group C,some college,standard,completed
2161442,female,group D,high school,standard,none
2161443,female,group A,some high school,free/reduced,none
2161444,female,group B,associate's degree,standard,none
2161445,male,group A,some high school,free/reduced,none
2161446,female,group C,some high school,standard,completed
2161447,male,group D,some college,free/reduced,none
2161448,male,group C,high school,standard,completed
2161449,male,group B,high school,standard,none
2161450,male,group B,associate's degree,standard,none
2161451,female,group C,some college,free/reduced,completed
2161452,female,group E,some college,standard,none
2161453,female,group C,associate's degree,free/reduced,none
2161454,male,group C,some college,free/reduced,none
2161455,female,group C,associate's degree,free/reduced,none
2161456,male,group C,bachelor's degree,free/reduced,none
2161457,female,group D,bachelor's degree,standard,none
2161458,male,group D,associate's degree,free/reduced,none
2161459,female,group E,bachelor's degree,standard,none
2161460,male,group B,high school,standard,completed
2161461,male,group C,bachelor's degree,free/reduced,none
2161462,male,group B,some college,free/reduced,none
2161463,female,group E,some college,standard,none
2161464,female,group C,some college,free/reduced,none
2161465,male,group A,bachelor's degree,standard,completed
2161466,female,group C,some college,standard,none
2161467,female,group D,associate's degree,free/reduced,none
2161468,male,group A,high school,free/reduced,completed
2161469,female,group A,high school,free/reduced,completed
2161470,male,group C,some college,standard,none
2161471,female,group C,associate's degree,standard,completed
2161472,female,group C,high school,standard,none
2161473,female,group C,associate's degree,standard,completed
2161474,female,group D,some high school,standard,none
2161475,female,group B,associate's degree,standard,completed
2161476,female,group D,bachelor's degree,standard,completed
2161477,male,group E,bachelor's degree,standard,completed
2161478,male,group D,associate's degree,standard,none
2161479,female,group D,master's degree,standard,none
2161480,male,group E,associate's degree,standard,none
2161481,male,group B,high school,standard,completed
2161482,female,group D,associate's degree,free/reduced,none
2161483,male,group C,some college,free/reduced,none
2161484,male,group A,high school,standard,none
2161485,female,group B,associate's degree,standard,none
2161486,male,group C,high school,standard,none
2161487,male,group D,some college,free/reduced,none
2161488,female,group C,associate's degree,free/reduced,none
2161489,male,group B,some high school,standard,completed
2161490,male,group A,associate's degree,free/reduced,completed
2161491,female,group A,associate's degree,free/reduced,none
2161492,female,group C,associate's degree,standard,none
2161493,female,group C,some college,standard,none
2161494,female,group C,bachelor's degree,standard,none
2161495,female,group B,high school,standard,none
2161496,male,group D,high school,standard,completed
2161497,female,group C,some college,standard,none
2161498,female,group D,some college,free/reduced,completed
2161499,female,group B,some high school,standard,none
2161500,male,group E,some college,standard,none
2161501,female,group D,master's degree,standard,none
2161502,female,group B,associate's degree,standard,completed
2161503,male,group C,some college,free/reduced,none
2161504,female,group E,associate's degree,standard,completed
2161505,female,group D,master's degree,free/reduced,none
2161506,female,group B,some high school,standard,none
2161507,male,group A,high school,standard,none
2161508,male,group B,bachelor's degree,free/reduced,none
2161509,male,group C,master's degree,standard,none
2161510,female,group C,bachelor's degree,standard,none
2161511,male,group D,some college,standard,none
2161512,male,group A,some high school,standard,none
2161513,male,group D,some high school,free/reduced,none
2161514,female,group B,some high school,standard,completed
2161515,female,group B,master's degree,free/reduced,completed
2161516,female,group C,some high school,standard,completed
2161517,female,group D,some college,standard,none
2161518,female,group E,some college,standard,completed
2161519,female,group D,some high school,standard,completed
2161520,female,group B,high school,free/reduced,completed
2161521,male,group D,some college,standard,none
2161522,female,group C,associate's degree,standard,none
2161523,male,group D,bachelor's degree,standard,none
2161524,male,group C,master's degree,free/reduced,none
2161525,male,group C,high school,standard,completed
2161526,male,group E,some college,standard,none
2161527,male,group C,some high school,free/reduced,completed
2161528,female,group C,high school,free/reduced,none
2161529,female,group D,bachelor's degree,free/reduced,none
2161530,female,group C,associate's degree,standard,none
2161531,female,group C,associate's degree,standard,completed
2161532,female,group C,some high school,standard,none
2161533,male,group E,associate's degree,standard,completed
2161534,female,group E,associate's degree,standard,completed
2161535,male,group B,high school,standard,completed
2161536,female,group C,bachelor's degree,free/reduced,completed
2161537,male,group C,associate's degree,standard,completed
2161538,female,group D,high school,standard,none
2161539,male,group E,bachelor's degree,standard,completed
2161540,male,group A,associate's degree,standard,completed
2161541,male,group C,high school,standard,completed
2161542,male,group D,associate's degree,free/reduced,completed
2161543,female,group C,associate's degree,standard,none
2161544,female,group D,associate's degree,standard,none
2161545,female,group D,master's degree,standard,none
2161546,male,group E,some high school,free/reduced,completed
2161547,female,group A,some high school,standard,completed
2161548,male,group C,high school,standard,completed
2161549,female,group C,high school,free/reduced,none
2161550,male,group C,master's degree,standard,none
2161551,male,group C,some high school,free/reduced,none
2161552,male,group B,bachelor's degree,free/reduced,completed
2161553,female,group B,associate's degree,standard,none
2161554,male,group D,some college,free/reduced,none
2161555,male,group E,associate's degree,standard,none
2161556,female,group C,some college,free/reduced,none
2161557,female,group C,associate's degree,standard,completed
2161558,male,group C,master's degree,free/reduced,none
2161559,female,group B,associate's degree,free/reduced,none
2161560,male,group D,some high school,standard,none
2161561,female,group D,some college,standard,completed
2161562,female,group C,some college,standard,none
2161563,male,group C,bachelor's degree,standard,completed
2161564,female,group D,some college,free/reduced,completed
2161565,male,group B,bachelor's degree,free/reduced,none
2161566,male,group B,associate's degree,standard,none
2161567,female,group E,bachelor's degree,free/reduced,completed
2161568,female,group D,master's degree,free/reduced,completed
2161569,male,group B,high school,free/reduced,none
2161570,male,group D,bachelor's degree,free/reduced,none
2161571,male,group B,some college,standard,completed
2161572,male,group A,bachelor's degree,standard,none
2161573,female,group C,some college,standard,none
2161574,female,group C,high school,free/reduced,completed
2161575,female,group E,high school,standard,none
2161576,male,group A,associate's degree,free/reduced,completed
2161577,male,group A,some college,standard,completed
2161578,female,group B,high school,standard,none
2161579,female,group B,some college,free/reduced,completed
2161580,female,group D,master's degree,standard,none
2161581,female,group D,some high school,standard,none
2161582,female,group E,some high school,standard,none
2161583,female,group D,bachelor's degree,free/reduced,none
2161584,female,group D,associate's degree,standard,completed
2161585,female,group D,some college,standard,none
2161586,female,group C,associate's degree,standard,none
2161587,female,group A,high school,standard,none
2161588,female,group C,bachelor's degree,free/reduced,none
2161589,female,group C,some college,standard,none
2161590,female,group A,some high school,standard,none
2161591,male,group C,some college,free/reduced,none
2161592,male,group A,some high school,standard,none
2161593,male,group E,bachelor's degree,standard,none
2161594,female,group E,high school,standard,none
2161595,female,group C,bachelor's degree,standard,completed
2161596,female,group C,bachelor's degree,standard,completed
2161597,male,group B,high school,free/reduced,none
2161598,male,group A,some high school,standard,none
2161599,female,group D,high school,standard,none
2161600,female,group D,some high school,standard,none
2161601,female,group D,master's degree,standard,none
2161602,female,group C,high school,standard,none
2161603,female,group E,some college,standard,none
2161604,male,group D,high school,free/reduced,none
2161605,male,group D,master's degree,free/reduced,completed
2161606,male,group C,some high school,standard,none
2161607,female,group C,associate's degree,standard,none
2161608,female,group C,master's degree,free/reduced,none
2161609,female,group E,some college,standard,none
2161610,female,group B,associate's degree,standard,none
2161611,male,group D,some college,free/reduced,completed
2161612,female,group C,some college,standard,none
2161613,male,group C,bachelor's degree,standard,completed
2161614,female,group C,associate's degree,standard,none
2161615,female,group A,associate's degree,standard,none
2161616,female,group C,high school,standard,none
2161617,female,group E,bachelor's degree,standard,none
2161618,male,group D,bachelor's degree,standard,none
2161619,male,group D,master's degree,standard,none
2161620,male,group C,associate's degree,free/reduced,completed
2161621,female,group C,high school,free/reduced,none
2161622,male,group B,bachelor's degree,free/reduced,none
2161623,male,group C,high school,free/reduced,completed
2161624,male,group A,some college,standard,completed
2161625,female,group E,bachelor's degree,free/reduced,none
2161626,male,group D,some college,standard,completed
2161627,male,group B,associate's degree,free/reduced,completed
2161628,male,group D,associate's degree,standard,none
2161629,male,group D,some college,free/reduced,none
2161630,female,group C,some high school,standard,completed
2161631,male,group D,some college,standard,none
2161632,male,group B,high school,standard,none
2161633,female,group B,bachelor's degree,standard,completed
2161634,female,group C,high school,standard,none
2161635,male,group D,some high school,standard,none
2161636,male,group A,high school,standard,none
2161637,female,group B,high school,free/reduced,completed
2161638,female,group D,some high school,standard,completed
2161639,male,group E,some college,standard,none
2161640,female,group D,associate's degree,standard,none
2161641,male,group D,high school,standard,none
2161642,female,group D,associate's degree,free/reduced,completed
2161643,female,group B,some high school,free/reduced,none
2161644,female,group E,high school,standard,completed
2161645,male,group B,high school,standard,none
2161646,female,group B,bachelor's degree,standard,completed
2161647,female,group D,associate's degree,standard,none
2161648,female,group E,high school,free/reduced,none
2161649,female,group B,high school,standard,none
2161650,female,group D,some college,standard,completed
2161651,male,group C,some high school,free/reduced,completed
2161652,female,group A,high school,standard,completed
2161653,female,group D,some college,standard,completed
2161654,female,group A,associate's degree,standard,completed
2161655,female,group B,some high school,standard,none
2161656,female,group B,some college,standard,none
2161657,male,group C,associate's degree,free/reduced,none
2161658,male,group D,some high school,standard,none
2161659,female,group D,associate's degree,free/reduced,none
2161660,male,group D,associate's degree,standard,none
2161661,male,group C,some college,free/reduced,none
2161662,male,group C,some high school,standard,none
2161663,female,group D,some college,free/reduced,none
2161664,female,group C,high school,standard,none
2161665,male,group D,associate's degree,standard,none
2161666,female,group C,some high school,free/reduced,completed
2161667,female,group C,some college,free/reduced,completed
2161668,female,group B,bachelor's degree,free/reduced,none
2161669,male,group C,some college,standard,none
2161670,male,group D,associate's degree,standard,completed
2161671,female,group C,high school,free/reduced,none
2161672,male,group D,associate's degree,free/reduced,none
2161673,female,group C,some college,standard,none
2161674,female,group C,associate's degree,standard,completed
2161675,female,group D,high school,standard,completed
2161676,female,group B,some college,standard,completed
2161677,female,group E,some college,standard,completed
2161678,female,group C,some high school,standard,completed
2161679,male,group D,associate's degree,free/reduced,none
2161680,male,group D,some college,free/reduced,none
2161681,female,group D,high school,standard,none
2161682,male,group B,high school,standard,none
2161683,male,group B,high school,standard,none
2161684,female,group C,some high school,free/reduced,completed
2161685,male,group B,some college,standard,completed
2161686,female,group E,master's degree,standard,completed
2161687,male,group E,some college,standard,completed
2161688,male,group D,associate's degree,free/reduced,none
2161689,male,group A,high school,free/reduced,none
2161690,male,group E,some college,free/reduced,none
2161691,female,group C,associate's degree,standard,none
2161692,female,group E,associate's degree,free/reduced,none
2161693,female,group C,bachelor's degree,free/reduced,completed
2161694,female,group D,associate's degree,standard,none
2161695,female,group C,some high school,standard,none
2161696,female,group D,some college,free/reduced,none
2161697,female,group C,associate's degree,standard,completed
