Id,housing_median_age,total_rooms,total_bedrooms
603,43.0,1420.0,472.0
604,52.0,986.0,258.0
605,44.0,2340.0,825.0
606,48.0,1696.0,396.0
607,49.0,1175.0,217.0
608,37.0,2343.0,574.0
609,30.0,610.0,145.0
610,40.0,930.0,199.0
611,44.0,1487.0,314.0
612,52.0,3424.0,690.0
613,52.0,762.0,190.0
614,46.0,2366.0,575.0
615,49.0,1826.0,450.0
616,38.0,3049.0,711.0
617,29.0,1640.0,376.0
618,47.0,1543.0,307.0
619,34.0,2364.0,557.0
620,35.0,1745.0,409.0
621,39.0,2003.0,500.0
622,39.0,2018.0,447.0
623,43.0,3045.0,499.0
624,52.0,1547.0,293.0
625,52.0,3519.0,711.0
626,41.0,2070.0,354.0
627,48.0,1321.0,263.0
628,48.0,1694.0,259.0
629,46.0,1938.0,
630,50.0,968.0,195.0
631,40.0,1060.0,256.0
632,46.0,2041.0,405.0
633,52.0,1813.0,271.0
634,45.0,2718.0,451.0
635,28.0,3144.0,761.0
636,35.0,1802.0,459.0
637,49.0,882.0,195.0
638,44.0,1621.0,452.0
639,45.0,2115.0,533.0
640,45.0,2021.0,528.0
641,46.0,2239.0,508.0
642,52.0,1477.0,300.0
643,52.0,1056.0,224.0
644,49.0,898.0,244.0
645,44.0,2968.0,710.0
646,43.0,1702.0,460.0
647,47.0,881.0,248.0
648,40.0,494.0,114.0
649,50.0,1776.0,473.0
650,44.0,1678.0,514.0
651,51.0,1637.0,463.0
652,52.0,1420.0,314.0
653,52.0,591.0,173.0
654,52.0,745.0,153.0
655,49.0,2272.0,498.0
656,46.0,1234.0,375.0
657,43.0,1017.0,328.0
658,42.0,932.0,254.0
659,39.0,2689.0,597.0
660,41.0,1547.0,415.0
661,52.0,2300.0,443.0
662,39.0,1752.0,399.0
663,50.0,1867.0,403.0
664,43.0,2430.0,502.0
665,44.0,1729.0,414.0
666,52.0,1026.0,180.0
667,52.0,2170.0,428.0
668,52.0,2329.0,445.0
669,52.0,2492.0,415.0
670,52.0,2198.0,397.0
671,33.0,142.0,31.0
672,49.0,1183.0,205.0
673,52.0,1070.0,193.0
674,45.0,1766.0,332.0
675,39.0,617.0,95.0
676,41.0,1411.0,233.0
677,46.0,2109.0,387.0
678,47.0,1229.0,243.0
679,50.0,954.0,217.0
680,37.0,1643.0,262.0
681,34.0,1355.0,195.0
682,23.0,2317.0,336.0
683,24.0,,317.0
684,22.0,12842.0,2048.0
685,42.0,1524.0,
686,30.0,3326.0,746.0
687,43.0,1985.0,440.0
688,50.0,1642.0,322.0
689,49.0,893.0,177.0
690,52.0,,128.0
691,47.0,1256.0,
692,48.0,977.0,
693,45.0,2324.0,397.0
694,39.0,1583.0,349.0
695,39.0,1612.0,342.0
696,31.0,2424.0,533.0
697,41.0,1594.0,367.0
698,47.0,2118.0,413.0
699,37.0,1575.0,358.0
700,38.0,1764.0,397.0
701,50.0,1187.0,261.0
702,52.0,754.0,175.0
703,,2308.0,452.0
704,27.0,909.0,236.0
705,42.0,1180.0,257.0
706,43.0,2018.0,408.0
707,49.0,1368.0,282.0
708,52.0,2744.0,547.0
709,51.0,2107.0,471.0
710,52.0,1748.0,362.0
711,52.0,2024.0,391.0
712,,1116.0,259.0
713,41.0,2036.0,510.0
714,45.0,1852.0,393.0
715,41.0,921.0,207.0
716,45.0,995.0,238.0
717,36.0,606.0,132.0
718,37.0,2680.0,736.0
719,38.0,1493.0,370.0
720,19.0,2207.0,565.0
721,28.0,856.0,189.0
722,26.0,1293.0,297.0
723,36.0,847.0,212.0
724,42.0,541.0,154.0
725,44.0,1066.0,253.0
726,43.0,707.0,147.0
727,45.0,1528.0,291.0
728,42.0,909.0,215.0
729,43.0,1391.0,293.0
730,44.0,548.0,119.0
731,42.0,4074.0,874.0
732,41.0,1613.0,445.0
733,47.0,463.0,134.0
734,43.0,818.0,193.0
735,43.0,1473.0,371.0
736,35.0,504.0,126.0
737,,1026.0,226.0
738,46.0,769.0,183.0
739,46.0,2103.0,391.0
740,45.0,330.0,76.0
741,46.0,941.0,218.0
742,38.0,992.0,
743,45.0,990.0,261.0
744,36.0,1126.0,263.0
745,43.0,1036.0,233.0
746,36.0,1047.0,214.0
747,33.0,1280.0,307.0
748,43.0,1587.0,320.0
749,41.0,1257.0,271.0
750,44.0,1218.0,248.0
751,48.0,1751.0,390.0
752,45.0,2299.0,514.0
753,38.0,2457.0,624.0
754,47.0,998.0,211.0
755,40.0,1685.0,343.0
756,46.0,1827.0,307.0
757,36.0,2781.0,574.0
758,39.0,1823.0,286.0
759,27.0,2229.0,365.0
760,34.0,1513.0,231.0
761,26.0,3266.0,491.0
762,33.0,1809.0,261.0
763,28.0,794.0,111.0
764,36.0,690.0,105.0
765,33.0,1334.0,200.0
766,30.0,414.0,54.0
767,36.0,768.0,93.0
768,41.0,4400.0,666.0
769,46.0,954.0,161.0
770,40.0,1445.0,256.0
771,44.0,1938.0,399.0
772,41.0,856.0,178.0
773,24.0,1790.0,454.0
774,44.0,617.0,131.0
775,43.0,1383.0,275.0
776,49.0,1325.0,277.0
777,40.0,1227.0,294.0
778,35.0,667.0,140.0
779,34.0,1223.0,281.0
780,37.0,1379.0,287.0
781,43.0,1534.0,300.0
782,46.0,1029.0,181.0
783,52.0,,147.0
784,47.0,824.0,223.0
785,44.0,1097.0,239.0
786,49.0,1283.0,238.0
787,52.0,1604.0,263.0
788,52.0,2248.0,422.0
789,38.0,2263.0,522.0
790,52.0,1571.0,349.0
791,46.0,1520.0,402.0
792,15.0,5083.0,1212.0
793,36.0,1077.0,293.0
794,52.0,1248.0,283.0
795,42.0,1342.0,291.0
796,37.0,3061.0,930.0
797,52.0,3171.0,698.0
798,50.0,1211.0,261.0
799,52.0,979.0,175.0
800,52.0,2269.0,380.0
801,52.0,1844.0,332.0
802,52.0,2178.0,421.0
803,42.0,1650.0,274.0
804,52.0,1927.0,279.0
805,52.0,2079.0,273.0
806,52.0,1803.0,240.0
807,52.0,2041.0,270.0
808,52.0,3046.0,373.0
809,52.0,2318.0,328.0
810,52.0,,250.0
811,52.0,2261.0,
812,52.0,1225.0,169.0
813,52.0,2315.0,408.0
814,52.0,2070.0,329.0
815,52.0,2616.0,473.0
816,52.0,2640.0,366.0
817,52.0,1978.0,293.0
818,37.0,2220.0,335.0
819,41.0,1125.0,195.0
820,52.0,3078.0,494.0
821,52.0,3706.0,531.0
822,37.0,3000.0,457.0
823,42.0,2863.0,460.0
824,52.0,2551.0,417.0
825,52.0,2255.0,410.0
826,52.0,3360.0,648.0
827,52.0,1693.0,391.0
828,44.0,2252.0,592.0
829,52.0,2495.0,491.0
830,52.0,1193.0,200.0
831,52.0,,215.0
832,52.0,2159.0,424.0
833,48.0,2365.0,490.0
834,46.0,1895.0,442.0
835,52.0,1650.0,395.0
836,45.0,453.0,146.0
837,52.0,409.0,97.0
838,10.0,503.0,118.0
839,50.0,499.0,127.0
840,52.0,477.0,119.0
841,46.0,1647.0,376.0
842,52.0,3123.0,749.0
843,52.0,957.0,188.0
844,52.0,589.0,132.0
845,49.0,2026.0,548.0
846,50.0,1829.0,536.0
847,52.0,895.0,198.0
848,,1909.0,416.0
849,46.0,3022.0,696.0
850,46.0,1777.0,
851,52.0,2803.0,930.0
852,30.0,1465.0,439.0
853,37.0,2619.0,682.0
854,52.0,1149.0,255.0
855,52.0,2363.0,604.0
856,,2604.0,837.0
857,41.0,685.0,141.0
858,42.0,1756.0,465.0
859,52.0,1204.0,460.0
860,52.0,609.0,236.0
861,52.0,1087.0,371.0
862,52.0,,998.0
863,35.0,3218.0,1108.0
864,49.0,1350.0,368.0
865,52.0,3084.0,698.0
866,52.0,938.0,195.0
867,52.0,1813.0,353.0
868,52.0,1233.0,300.0
869,44.0,2539.0,755.0
870,46.0,1267.0,324.0
871,52.0,1665.0,404.0
872,52.0,1659.0,367.0
873,52.0,2225.0,460.0
874,50.0,2485.0,607.0
875,52.0,2031.0,450.0
876,49.0,2932.0,668.0
877,52.0,2246.0,472.0
878,49.0,2052.0,435.0
879,52.0,1999.0,417.0
880,52.0,3007.0,691.0
881,41.0,2214.0,550.0
882,52.0,1088.0,305.0
883,52.0,834.0,186.0
884,52.0,1769.0,372.0
885,52.0,2307.0,583.0
886,35.0,5161.0,1744.0
887,52.0,3497.0,832.0
888,52.0,3774.0,744.0
889,52.0,2888.0,604.0
890,48.0,2153.0,517.0
891,52.0,1389.0,191.0
892,52.0,1709.0,318.0
893,52.0,1587.0,444.0
894,52.0,1668.0,225.0
895,52.0,3726.0,474.0
896,52.0,4048.0,663.0
897,52.0,3618.0,768.0
898,52.0,4076.0,920.0
899,47.0,2077.0,400.0
900,50.0,1279.0,300.0
901,52.0,1974.0,426.0
902,52.0,335.0,83.0
903,47.0,1375.0,307.0
904,52.0,610.0,145.0
905,44.0,1025.0,198.0
906,48.0,2063.0,484.0
907,35.0,1872.0,419.0
908,52.0,3108.0,813.0
909,14.0,7355.0,2408.0
910,52.0,2990.0,379.0
911,39.0,2492.0,
912,42.0,2991.0,335.0
913,52.0,3242.0,366.0
914,52.0,3051.0,
915,52.0,3494.0,396.0
916,52.0,1757.0,246.0
917,52.0,2449.0,312.0
918,52.0,1611.0,203.0
919,52.0,3665.0,517.0
920,52.0,2474.0,
921,52.0,3037.0,516.0
922,52.0,2269.0,323.0
923,52.0,1316.0,177.0
924,52.0,1153.0,235.0
925,52.0,772.0,179.0
926,52.0,1711.0,386.0
927,,2650.0,566.0
928,52.0,1038.0,220.0
929,52.0,1527.0,320.0
930,52.0,859.0,157.0
931,52.0,970.0,217.0
932,52.0,1045.0,239.0
933,52.0,1408.0,280.0
934,52.0,1222.0,264.0
935,45.0,,263.0
936,13.0,2020.0,535.0
937,30.0,4145.0,869.0
938,,2038.0,368.0
939,29.0,5154.0,
940,42.0,1241.0,309.0
941,52.0,1468.0,363.0
942,27.0,3997.0,1073.0
943,18.0,2873.0,763.0
944,50.0,1487.0,306.0
945,52.0,1670.0,
946,52.0,2252.0,388.0
947,52.0,1731.0,377.0
948,52.0,1710.0,481.0
949,52.0,2388.0,559.0
950,52.0,2156.0,458.0
951,52.0,1565.0,315.0
952,52.0,1704.0,371.0
953,52.0,1210.0,168.0
954,52.0,2097.0,444.0
955,52.0,1848.0,479.0
956,43.0,,284.0
957,43.0,4329.0,1110.0
958,52.0,3011.0,542.0
959,52.0,1049.0,185.0
960,52.0,2504.0,516.0
961,52.0,1846.0,471.0
962,52.0,1705.0,246.0
963,50.0,1542.0,
964,45.0,891.0,
965,27.0,4051.0,753.0
966,52.0,2646.0,581.0
967,49.0,2428.0,525.0
968,52.0,2567.0,436.0
969,21.0,7031.0,1249.0
970,25.0,1914.0,365.0
971,,18634.0,2885.0
972,31.0,5785.0,1379.0
973,52.0,2876.0,648.0
974,28.0,6909.0,1554.0
975,23.0,5679.0,1270.0
976,20.0,1156.0,365.0
977,12.0,14316.0,2045.0
978,5.0,3596.0,467.0
979,36.0,3541.0,570.0
980,40.0,1808.0,302.0
981,36.0,2879.0,480.0
982,26.0,3204.0,477.0
983,31.0,3866.0,531.0
984,32.0,2476.0,368.0
985,35.0,2211.0,350.0
986,35.0,2663.0,387.0
987,30.0,2599.0,366.0
988,36.0,4569.0,824.0
989,25.0,2973.0,622.0
990,30.0,3115.0,625.0
991,31.0,1843.0,282.0
992,31.0,2053.0,336.0
993,27.0,6740.0,1073.0
994,30.0,1751.0,269.0
995,38.0,1663.0,295.0
996,38.0,3716.0,657.0
997,32.0,2718.0,447.0
998,39.0,1420.0,272.0
999,37.0,1893.0,310.0
1000,33.0,3906.0,790.0
1001,32.0,3400.0,736.0
1002,25.0,3402.0,758.0
1003,33.0,4413.0,
1004,29.0,2304.0,618.0
1005,36.0,2350.0,499.0
1006,31.0,5914.0,1309.0
1007,43.0,1575.0,324.0
1008,42.0,1414.0,274.0
1009,37.0,848.0,202.0
1010,15.0,3051.0,685.0
1011,20.0,4296.0,817.0
1012,52.0,2898.0,557.0
1013,52.0,1071.0,201.0
1014,51.0,2619.0,403.0
1015,49.0,1494.0,316.0
1016,52.0,2260.0,416.0
1017,52.0,1394.0,223.0
1018,52.0,1028.0,129.0
1019,45.0,3758.0,819.0
1020,46.0,2163.0,470.0
1021,49.0,1699.0,408.0
1022,52.0,1555.0,289.0
1023,52.0,1114.0,206.0
1024,,1498.0,313.0
1025,45.0,726.0,147.0
1026,38.0,890.0,200.0
1027,36.0,2639.0,533.0
1028,35.0,2562.0,554.0
1029,36.0,361.0,69.0
1030,42.0,3008.0,659.0
1031,46.0,1369.0,284.0
1032,5.0,1692.0,398.0
1033,38.0,1007.0,245.0
1034,43.0,3783.0,814.0
1035,37.0,1507.0,242.0
1036,36.0,666.0,132.0
1037,10.0,2229.0,601.0
1038,28.0,2215.0,587.0
1039,31.0,1616.0,372.0
1040,47.0,1190.0,251.0
1041,29.0,4169.0,1047.0
1042,52.0,2024.0,320.0
1043,38.0,1723.0,394.0
1044,43.0,2264.0,390.0
1045,33.0,1996.0,268.0
1046,26.0,2862.0,394.0
1047,35.0,2183.0,383.0
1048,35.0,1037.0,207.0
1049,25.0,1134.0,153.0
1050,39.0,786.0,132.0
1051,45.0,1397.0,253.0
1052,45.0,2315.0,451.0
1053,44.0,1613.0,339.0
1054,44.0,1421.0,298.0
1055,18.0,5778.0,1526.0
1056,27.0,3094.0,866.0
1057,18.0,3905.0,1007.0
1058,43.0,3046.0,557.0
1059,19.0,3516.0,710.0
1060,36.0,998.0,178.0
1061,36.0,1464.0,244.0
1062,17.0,1463.0,292.0
1063,21.0,4124.0,1054.0
1064,17.0,2380.0,769.0
1065,36.0,,228.0
1066,36.0,2239.0,391.0
1067,38.0,1571.0,317.0
1068,38.0,1246.0,221.0
1069,36.0,1501.0,287.0
1070,36.0,1468.0,252.0
1071,36.0,1118.0,219.0
1072,36.0,1097.0,208.0
1073,36.0,1719.0,303.0
1074,24.0,1755.0,365.0
1075,16.0,1687.0,348.0
1076,24.0,2262.0,391.0
1077,5.0,2087.0,407.0
1078,36.0,1480.0,278.0
1079,36.0,1545.0,273.0
1080,35.0,2632.0,447.0
1081,30.0,2261.0,443.0
1082,39.0,1670.0,308.0
1083,37.0,2141.0,535.0
1084,27.0,3337.0,613.0
1085,31.0,3184.0,716.0
1086,44.0,2341.0,500.0
1087,30.0,1197.0,269.0
1088,34.0,1131.0,278.0
1089,38.0,1164.0,284.0
1090,41.0,3495.0,787.0
1091,17.0,2488.0,617.0
1092,35.0,2681.0,508.0
1093,19.0,2495.0,635.0
1094,23.0,1689.0,461.0
1095,29.0,1298.0,306.0
1096,19.0,2693.0,789.0
1097,41.0,746.0,
1098,37.0,2444.0,651.0
1099,42.0,1472.0,310.0
1100,10.0,2227.0,560.0
1101,20.0,200.0,25.0
1102,32.0,1283.0,194.0
1103,6.0,2445.0,590.0
1104,21.0,1307.0,236.0
1105,5.0,3785.0,936.0
1106,10.0,2031.0,357.0
1107,,,1326.0
1108,23.0,7518.0,1279.0
1109,36.0,1815.0,426.0
1110,30.0,5367.0,1207.0
1111,26.0,1167.0,370.0
1112,26.0,2607.0,682.0
1113,29.0,493.0,168.0
1114,48.0,1252.0,305.0
1115,41.0,1382.0,353.0
1116,43.0,500.0,110.0
1117,29.0,2333.0,538.0
1118,41.0,1834.0,463.0
1119,43.0,1415.0,348.0
1120,37.0,1352.0,342.0
1121,37.0,2116.0,503.0
1122,37.0,1976.0,481.0
1123,38.0,1779.0,413.0
1124,34.0,3659.0,897.0
1125,31.0,1892.0,428.0
1126,35.0,1958.0,484.0
1127,,1553.0,253.0
1128,37.0,2412.0,394.0
1129,36.0,2110.0,389.0
1130,45.0,2179.0,401.0
1131,45.0,2457.0,445.0
1132,44.0,2147.0,399.0
1133,43.0,1676.0,340.0
1134,35.0,2976.0,518.0
1135,34.0,3036.0,533.0
1136,35.0,2472.0,398.0
1137,36.0,1487.0,249.0
1138,38.0,2012.0,347.0
1139,37.0,3342.0,
1140,37.0,3156.0,534.0
1141,40.0,1748.0,318.0
1142,33.0,3429.0,681.0
1143,42.0,3592.0,703.0
1144,38.0,1035.0,247.0
1145,32.0,3028.0,811.0
1146,33.0,2431.0,655.0
1147,39.0,2069.0,500.0
1148,40.0,1340.0,313.0
1149,39.0,1160.0,259.0
1150,32.0,2015.0,318.0
1151,22.0,3882.0,816.0
1152,27.0,3239.0,671.0
1153,28.0,2932.0,739.0
1154,38.0,2104.0,409.0
1155,29.0,1694.0,251.0
1156,18.0,3000.0,419.0
1157,23.0,,348.0
1158,28.0,2280.0,610.0
1159,21.0,5031.0,1168.0
1160,33.0,1547.0,372.0
1161,31.0,3300.0,790.0
1162,17.0,5018.0,1439.0
1163,35.0,1813.0,393.0
1164,37.0,1997.0,
1165,37.0,901.0,191.0
1166,35.0,686.0,142.0
1167,33.0,1954.0,464.0
1168,27.0,2630.0,722.0
1169,35.0,1130.0,192.0
1170,35.0,1184.0,200.0
1171,34.0,656.0,115.0
1172,29.0,2544.0,643.0
1173,36.0,1305.0,225.0
1174,36.0,1755.0,316.0
1175,35.0,2843.0,652.0
1176,25.0,2538.0,494.0
1177,28.0,1784.0,311.0
1178,31.0,1797.0,327.0
1179,36.0,410.0,76.0
1180,26.0,162.0,27.0
1181,18.0,9963.0,2031.0
1182,35.0,2361.0,458.0
1183,19.0,862.0,167.0
1184,18.0,4335.0,808.0
1185,31.0,1487.0,280.0
1186,8.0,3592.0,849.0
1187,40.0,432.0,102.0
1188,34.0,1457.0,242.0
1189,32.0,1578.0,284.0
1190,29.0,2172.0,435.0
1191,36.0,1340.0,245.0
1192,36.0,1116.0,199.0
1193,36.0,1885.0,307.0
1194,36.0,1180.0,212.0
1195,30.0,5267.0,1253.0
1196,23.0,1897.0,440.0
1197,31.0,767.0,171.0
1198,33.0,691.0,127.0
1199,36.0,786.0,133.0
1200,22.0,5861.0,1516.0
1201,27.0,2784.0,723.0
1202,25.0,4524.0,860.0
1203,37.0,1468.0,304.0
1204,20.0,1655.0,450.0
1205,33.0,1227.0,286.0
1206,33.0,1160.0,252.0
1207,33.0,952.0,172.0
1208,35.0,2072.0,352.0
1209,32.0,2964.0,547.0
1210,35.0,1032.0,173.0
1211,35.0,657.0,118.0
1212,32.0,1540.0,324.0
1213,35.0,1298.0,236.0
1214,36.0,1409.0,271.0
1215,37.0,1383.0,259.0
1216,36.0,1151.0,216.0
1217,35.0,899.0,179.0
1218,37.0,1793.0,364.0
1219,17.0,2485.0,518.0
1220,35.0,1931.0,376.0
1221,24.0,2329.0,465.0
1222,12.0,6711.0,1374.0
1223,23.0,1939.0,356.0
1224,16.0,1642.0,346.0
1225,34.0,1619.0,293.0
1226,35.0,517.0,108.0
1227,36.0,1570.0,274.0
1228,35.0,,221.0
1229,27.0,1826.0,309.0
1230,26.0,2261.0,443.0
1231,9.0,3666.0,711.0
1232,36.0,1633.0,345.0
1233,31.0,2155.0,522.0
1234,32.0,1295.0,280.0
1235,32.0,1295.0,295.0
1236,33.0,1518.0,302.0
1237,17.0,3314.0,638.0
1238,22.0,3009.0,497.0
1239,6.0,2605.0,474.0
1240,17.0,5159.0,832.0
1241,18.0,1726.0,276.0
1242,16.0,1816.0,365.0
1243,13.0,2578.0,551.0
1244,15.0,2576.0,418.0
1245,16.0,1644.0,251.0
1246,16.0,1606.0,240.0
1247,16.0,3349.0,
1248,15.0,3475.0,686.0
1249,16.0,1893.0,338.0
1250,14.0,1727.0,302.0
1251,15.0,6243.0,1273.0
1252,24.0,2077.0,383.0
1253,18.0,1165.0,333.0
1254,16.0,4371.0,889.0
1255,2.0,838.0,295.0
1256,15.0,3052.0,760.0
1257,17.0,4313.0,717.0
1258,36.0,385.0,94.0
1259,10.0,3046.0,678.0
1260,21.0,4342.0,783.0
1261,15.0,3575.0,597.0
1262,20.0,4126.0,1031.0
1263,31.0,2878.0,478.0
1264,6.0,4405.0,717.0
1265,14.0,16199.0,2993.0
1266,14.0,14917.0,2708.0
1267,12.0,5719.0,1064.0
1268,8.0,8647.0,1407.0
1269,15.0,8112.0,1376.0
1270,7.0,10648.0,1818.0
1271,5.0,1150.0,311.0
1272,3.0,14014.0,2861.0
1273,23.0,4332.0,857.0
1274,35.0,1716.0,312.0
1275,31.0,4981.0,964.0
1276,24.0,8444.0,1492.0
1277,6.0,3028.0,778.0
1278,26.0,2068.0,532.0
1279,33.0,1325.0,274.0
1280,24.0,2563.0,485.0
1281,18.0,5505.0,1005.0
1282,20.0,6462.0,1294.0
1283,,3746.0,993.0
1284,13.0,8918.0,1823.0
1285,31.0,1949.0,344.0
1286,17.0,4924.0,1247.0
1287,17.0,5133.0,1375.0
1288,16.0,6647.0,2098.0
1289,15.0,5674.0,748.0
1290,21.0,10687.0,1540.0
1291,25.0,1354.0,192.0
1292,27.0,3715.0,526.0
1293,33.0,2095.0,342.0
1294,29.0,3517.0,645.0
1295,31.0,2537.0,382.0
1296,14.0,5106.0,1207.0
1297,23.0,2215.0,475.0
1298,28.0,2949.0,529.0
1299,18.0,2375.0,652.0
1300,28.0,2312.0,496.0
1301,35.0,2277.0,420.0
1302,26.0,2506.0,387.0
1303,28.0,2829.0,566.0
1304,26.0,3179.0,703.0
1305,26.0,2332.0,371.0
1306,,3584.0,715.0
1307,28.0,3046.0,507.0
1308,28.0,2414.0,415.0
1309,29.0,4133.0,744.0
1310,34.0,2791.0,495.0
1311,27.0,6103.0,1249.0
1312,32.0,2572.0,406.0
1313,26.0,1910.0,371.0
1314,27.0,1890.0,303.0
1315,25.0,5405.0,939.0
1316,26.0,3761.0,
1317,25.0,3333.0,511.0
1318,,4925.0,
1319,33.0,3994.0,764.0
1320,22.0,5811.0,1125.0
1321,26.0,4211.0,741.0
1322,27.0,5532.0,973.0
1323,7.0,28258.0,3864.0
1324,9.0,4909.0,577.0
1325,10.0,7441.0,1588.0
1326,23.0,4314.0,676.0
