Id,aluminium,ammonia,arsenic,barium
583,2.42,2.15,0.03,1.99
584,2.56,28.59,0.03,2.16
585,2.99,21.68,0.03,3.04
586,1.36,8.71,0.04,3.48
587,1.43,19.6,0.03,2.01
588,3.83,8.62,0.04,0.33
589,1.66,2.34,0.03,2.39
590,0.47,22.21,0.02,2.07
591,3.38,18.93,0.01,2.22
592,0.01,19.07,0.04,1.18
593,3.62,18.04,0.01,0.69
594,4.42,23.51,0.04,0.82
595,3.43,24.07,0.05,2.76
596,3.65,15.61,0.02,2.15
597,4.86,12.48,0.001,2.99
598,2.82,23.76,0.03,0.76
599,1.05,13.34,0.01,2.13
600,0.73,22.36,0.04,2.93
601,1.21,11.64,0.03,2.56
602,2.15,25.9,0.01,2.56
603,3.6,21.3,0.001,0.33
604,2.67,25.13,0.03,1.05
605,1.73,12.32,0.02,3.93
606,3.35,14.3,0.02,1.92
607,0.37,25.07,0.001,3.33
608,2.11,28.82,0.03,0.7
609,0.79,25.24,0.02,0.48
610,1.75,4.3,0.05,3.06
611,0.99,28.24,0.04,3.57
612,1.86,24.86,0.03,0.62
613,4.84,0.38,0.001,3.34
614,3.09,8.21,0.001,3.35
615,0.54,0.28,0.02,1.71
616,0.29,23.74,0.02,2.64
617,1.72,29.8,0.03,1.88
618,3.29,14.1,0.01,2.39
619,2.59,27.54,0.001,1.19
620,0.22,9.72,0.05,3.29
621,0.11,2.97,0.01,1.35
622,2.35,6.92,0.03,1.13
623,4.04,0.98,0.02,1.62
624,3.6,8.24,0.03,1.92
625,3.71,15.18,0.03,2.54
626,0.61,8.71,0.05,2.46
627,0.79,16.65,0.03,2.57
628,3.79,17.82,0.01,2.9
629,3.05,22.43,0.03,0.89
630,0.84,2.8,,1.89
631,1.98,1.5,0.001,3.69
632,4.18,22.13,0.03,2.0
633,3.27,7.34,0.01,0.47
634,0.59,13.72,0.04,1.28
635,0.36,2.2,0.02,2.28
636,1.4,5.43,0.04,3.14
637,1.46,10.11,0.01,1.41
638,2.02,27.65,0.001,2.34
639,0.0,25.58,0.02,3.04
640,0.93,20.28,0.05,3.52
641,4.0,21.13,0.02,3.2
642,0.78,10.47,0.01,3.83
643,4.48,11.84,0.05,
644,0.71,9.9,0.04,1.4
645,0.06,18.48,0.03,2.17
646,0.87,6.54,0.04,1.91
647,1.44,24.6,0.01,3.73
648,2.69,5.79,0.001,0.62
649,1.21,0.65,0.04,0.7
650,4.36,9.84,0.02,1.53
651,2.83,22.35,0.04,1.33
652,2.58,25.46,0.04,1.37
653,0.57,12.12,0.04,1.81
654,2.14,12.66,0.04,0.48
655,0.15,27.45,0.03,0.74
656,2.01,7.89,0.04,2.47
657,1.72,7.87,0.02,0.23
658,2.18,22.69,0.04,3.61
659,4.38,,0.01,1.22
660,1.75,9.63,0.02,1.95
661,1.89,25.51,0.04,0.07
662,2.9,3.98,0.01,2.8
663,3.73,25.53,0.02,0.25
664,2.97,,0.01,0.96
665,3.85,22.74,0.02,0.01
666,2.32,2.1,0.05,2.69
667,3.95,3.2,0.04,0.73
668,2.06,12.22,0.04,1.81
669,2.22,10.37,0.01,2.38
670,3.84,2.09,0.01,3.89
671,3.97,26.15,,2.3
672,4.44,28.42,,3.01
673,3.73,4.69,0.04,0.17
674,2.71,4.82,0.05,0.46
675,3.24,2.58,0.03,0.51
676,2.96,23.19,0.01,0.37
677,3.85,1.53,0.01,1.11
678,2.91,13.81,0.03,0.68
679,3.44,15.67,0.01,2.19
680,4.41,26.41,0.01,0.39
681,2.2,8.07,0.04,1.37
682,1.14,18.64,0.01,1.07
683,0.0,7.23,0.03,1.46
684,1.14,2.59,0.04,3.81
685,0.09,25.93,0.04,3.16
686,2.9,18.82,0.05,0.77
687,1.35,12.25,0.001,1.81
688,2.37,24.23,0.03,3.38
689,0.13,1.72,0.04,2.83
690,3.93,11.18,0.01,0.52
691,4.07,6.44,0.001,3.07
692,3.97,9.69,0.03,3.68
693,1.44,,0.03,1.68
694,3.89,1.05,,2.28
695,2.09,10.91,0.001,1.68
696,4.79,5.36,0.03,3.48
697,2.54,9.66,0.02,
698,0.19,5.1,0.02,1.79
699,4.77,3.82,0.04,0.58
700,3.81,11.11,0.001,2.17
701,1.51,26.96,0.02,3.67
702,0.76,0.47,0.03,1.69
703,3.36,2.5,0.03,3.15
704,4.27,8.4,0.001,2.3
705,1.9,28.85,0.04,3.4
706,1.44,3.07,0.03,2.83
707,4.26,28.71,0.02,1.12
708,3.19,19.64,0.04,3.8
709,1.24,10.27,0.05,3.01
710,3.36,14.44,0.001,0.16
711,3.29,24.1,0.05,2.89
712,,23.69,0.04,3.79
713,2.94,24.44,0.03,1.08
714,0.49,28.18,0.04,0.26
715,4.1,18.23,0.001,0.85
716,2.82,7.2,0.04,3.95
717,2.74,16.83,0.03,3.51
718,4.19,8.81,0.05,2.42
719,4.68,11.85,0.05,1.97
720,2.26,4.74,0.02,3.51
721,1.2,21.4,0.05,0.81
722,3.05,5.71,0.01,0.8
723,0.78,25.94,0.02,1.19
724,1.56,22.25,0.01,3.52
725,3.36,22.55,0.02,3.85
726,3.12,19.31,0.001,0.47
727,3.67,9.92,0.02,2.78
728,2.94,11.86,0.03,2.65
729,0.93,11.63,0.02,0.87
730,3.59,,0.01,0.43
731,3.46,4.97,0.01,1.67
732,4.81,16.14,0.04,0.53
733,2.79,9.54,0.04,1.72
734,3.49,24.03,0.01,3.0
735,1.77,20.46,0.02,3.79
736,2.7,14.13,0.04,3.88
737,4.35,23.88,0.04,
738,4.53,23.34,0.04,3.39
739,0.39,1.34,0.02,1.99
740,1.07,7.26,0.04,0.22
741,0.62,28.89,0.03,2.45
742,4.64,,0.01,3.69
743,1.09,17.55,0.04,0.69
744,2.5,16.32,0.02,0.9
745,3.96,21.99,0.04,2.2
746,0.14,23.71,0.05,1.64
747,3.49,17.28,0.03,3.21
748,0.43,28.46,0.01,2.88
749,3.46,4.78,0.01,1.82
750,2.89,26.86,0.01,0.7
751,0.27,11.62,0.03,
752,2.17,28.92,0.03,1.25
753,0.9,10.36,0.001,2.47
754,0.83,7.7,0.05,0.57
755,0.72,9.47,0.01,3.49
756,3.12,18.12,0.03,3.98
757,3.98,11.14,0.02,0.38
758,4.39,29.54,0.02,2.5
759,1.09,2.07,0.02,3.01
760,4.44,28.93,0.03,2.84
761,4.56,26.22,0.03,2.86
762,3.06,27.94,0.02,2.75
763,0.78,6.58,0.01,3.38
764,2.06,13.55,0.02,2.78
765,2.92,12.49,0.02,2.73
766,0.95,5.76,0.01,3.94
767,0.18,27.39,0.01,3.65
768,2.24,1.88,0.03,1.92
769,4.0,5.65,0.02,3.4
770,0.39,12.69,0.05,3.75
771,3.18,,0.04,0.79
772,2.61,23.18,0.02,1.82
773,2.33,4.57,0.04,2.4
774,2.54,27.03,0.01,1.17
775,1.93,26.65,0.001,0.79
776,4.52,23.74,0.04,0.74
777,3.91,2.81,0.01,2.72
778,4.58,26.21,0.04,0.56
779,3.09,6.31,0.05,2.91
780,3.05,19.25,0.05,3.55
781,4.53,0.27,0.01,1.17
782,4.71,26.4,0.05,3.28
783,1.81,20.45,0.04,0.14
784,4.62,24.92,0.001,0.6
785,4.18,14,0.03,0.59
786,1.12,8.38,0.01,2.2
787,0.19,28.55,0.03,3.2
788,0.14,2.6,0.03,1.75
789,3.01,1.94,0.04,0.31
790,2.16,28.8,0.01,3.09
791,3.39,15.94,0.04,1.91
792,1.01,3.58,0.03,2.35
793,3.51,16.45,0.03,3.01
794,2.2,23.15,0.01,3.68
795,1.4,11.99,0.04,3.22
796,1.77,21.15,0.001,3.33
797,1.08,27.86,0.03,3.65
798,1.99,7.55,0.04,1.53
799,0.84,22.3,0.04,3.72
800,1.53,22.34,0.04,0.23
801,2.14,18.1,0.01,0.12
802,3.93,27.3,0.04,0.64
803,4.73,12.24,0.04,0.73
804,3.69,3.7,0.05,1.81
805,3.01,12.25,0.02,1.63
806,1.15,2.63,0.04,2.6
807,4.66,2.57,0.02,3.63
808,2.13,16.78,0.001,1.4
809,4.73,13.2,0.04,3.08
810,0.09,14.25,0.02,1.53
811,2.33,29.23,0.04,2.76
812,1.34,4.06,0.04,0.57
813,3.62,16.22,0.02,1.21
814,1.82,0.8,0.04,1.77
815,1.79,5.14,0.04,0.02
816,0.18,12.65,0.03,3.37
817,3.01,3.44,0.01,1.81
818,3.68,14.03,0.02,2.62
819,2.04,22.26,0.03,1.79
820,1.45,20.34,,2.31
821,2.8,23.13,,0.12
822,3.34,11.79,0.05,3.06
823,1.92,14.94,0.03,1.69
824,2.52,7.2,0.001,2.04
825,0.93,7.74,0.01,3.88
826,4.07,12.35,0.03,1.92
827,2.46,6.7,0.02,2.35
828,0.22,16.71,0.03,1.52
829,1.36,17.54,0.05,2.42
830,1.77,10.45,0.04,2.06
831,3.92,22.56,0.03,3.09
832,2.92,12.37,0.03,2.52
833,1.38,20.58,0.001,0.57
834,1.55,16.16,0.01,3.27
835,2.78,13.84,0.02,1.33
836,4.69,16.62,0.02,1.79
837,0.63,24.98,0.02,3.51
838,0.24,14.45,,1.09
839,3.79,26.13,0.01,3.47
840,3.0,3.92,0.04,1.05
841,4.79,12.45,0.02,3.01
842,4.31,24.63,0.01,1.02
843,2.64,18.44,0.01,0.19
844,3.69,19.8,0.001,0.96
845,1.36,28.23,0.04,0.29
846,,13.96,0.001,3.72
847,0.24,21.63,0.02,1.87
848,2.65,14.39,0.001,2.26
849,4.84,17.86,0.001,0.79
850,4.29,21.68,0.01,0.42
851,3.44,13.83,0.05,3.92
852,0.95,29.47,0.01,2.8
853,2.62,29.2,0.01,2.96
854,4.3,10.8,0.05,0.54
855,4.13,0.59,0.02,3.91
856,0.45,19.6,0.001,3.09
857,2.01,15.1,0.01,2.17
858,2.02,9.31,0.03,2.83
859,3.81,21.14,0.04,3.72
860,4.35,16.79,0.05,1.74
861,4.04,17.55,0.02,0.64
862,4.39,15.46,0.03,0.54
863,0.99,21.31,0.03,1.85
864,3.38,0.13,0.03,1.36
865,1.66,18.95,0.03,0.59
866,0.33,25.32,0.03,1.03
867,1.65,4.36,0.02,0.41
868,2.96,23.6,0.02,3.32
869,3.25,3.51,0.01,2.49
870,3.72,9.74,0.001,1.34
871,1.51,23.19,0.03,3.74
872,4.04,7.61,0.01,3.62
873,4.44,15.44,0.001,0.35
874,0.35,21.29,0.02,0.25
875,4.15,0.85,0.03,2.55
876,1.54,14.49,0.001,0.02
877,1.71,27.61,0.05,3.51
878,0.15,1.38,0.03,3.14
879,4.76,27.08,0.01,2.39
880,4.12,16.81,0.02,2.4
881,0.7,24.86,0.001,3.14
882,2.69,17.63,0.001,0.48
883,1.5,12.58,0.05,0.73
884,4.12,21.45,0.04,3.82
885,2.69,17.35,0.04,0.72
886,2.34,24.12,0.01,1.1
887,1.91,21.91,0.04,2.24
888,0.05,16.88,0.04,0.23
889,0.87,27.35,0.03,0.96
890,2.99,0.22,0.001,2.58
891,4.96,19.39,0.03,3.01
892,2.79,29.26,0.01,3.19
893,3.13,0.25,0.02,3.58
894,4.7,14.03,0.03,2.07
895,1.22,24.5,0.03,2.7
896,0.36,7.11,0.04,2.04
897,3.57,18.23,0.04,0.86
898,0.01,15.03,0.03,3.4
899,4.13,29.64,0.03,4.0
900,2.06,15.16,0.03,
901,4.05,24.04,0.001,3.74
902,4.98,26.21,0.04,0.51
903,4.55,14.38,0.04,2.3
904,2.77,0.09,0.001,1.03
905,1.52,29.23,0.02,1.43
906,4.95,2.83,0.01,0.2
907,0.19,0.75,0.02,0.71
908,1.45,23.77,0.02,1.53
909,3.44,4.48,0.02,1.65
910,2.01,11.45,0.02,3.95
911,2.69,0.97,0.04,0.36
912,2.45,4.24,0.001,1.86
913,0.5,19.14,0.03,1.08
914,4.08,24.16,0.04,3.44
915,3.52,27.71,0.02,1.8
916,2.24,5.52,0.03,0.8
917,2.97,28.57,0.02,2.73
918,3.63,27.81,0.03,3.45
919,2.97,5.9,0.01,0.77
920,2.61,20.18,0.03,3.5
921,0.95,2.66,0.01,1.29
922,1.65,4.96,0.04,0.72
923,2.94,27.94,0.02,1.45
924,2.08,3.15,0.03,1.71
925,0.8,19.37,0.04,1.56
926,1.37,16.36,0.04,0.91
927,4.64,25.66,0.04,3.49
928,1.49,20.33,0.04,0.72
929,1.08,17.63,0.03,0.67
930,4.11,7.02,0.03,2.27
931,3.36,20.61,0.02,
932,2.1,7.61,0.02,1.98
933,4.85,11.43,0.01,1.04
934,0.71,20.24,0.02,3.93
935,0.48,29.15,0.001,3.89
936,0.19,27.55,0.001,3.27
937,4.77,23.72,0.02,2.09
938,2.2,23.23,0.04,1.42
939,0.11,3.54,0.04,0.66
940,2.22,11.87,0.03,3.96
941,2.08,25.21,0.01,2.13
942,2.88,0.26,0.03,3.37
943,0.76,26.55,0.001,3.08
944,1.37,18.22,0.001,3.75
945,2.21,18.61,0.03,1.47
946,0.72,28.53,0.04,0.59
947,0.17,7.63,0.04,2.2
948,2.1,,0.001,0.56
949,1.08,1.23,0.04,3.9
950,4.08,5.24,0.03,2.51
951,4.5,24.24,0.01,2.68
952,2.05,1.57,0.03,2.06
953,1.55,0.03,0.01,1.19
954,0.41,14.52,0.02,0.77
955,0.97,24,0.03,2.45
956,4.25,28.9,0.04,1.11
957,4.04,28.04,0.03,0.42
958,1.19,14.94,0.01,1.8
959,4.23,11.49,0.05,3.36
960,2.28,24.96,0.04,3.0
961,0.96,5.11,0.001,1.17
962,2.08,23.05,0.01,2.61
963,4.6,23.8,0.05,1.04
964,4.65,18.55,0.01,3.59
965,2.78,0.51,0.04,2.44
966,3.97,7.47,0.001,2.26
967,0.46,22.49,0.04,0.04
968,0.95,16.76,0.03,1.63
969,3.0,11.13,0.01,3.25
970,1.87,0.07,0.03,3.02
971,3.59,19.74,0.04,2.88
972,4.03,25.54,0.05,0.34
973,1.06,20.37,0.001,2.43
974,1.22,20.41,0.01,3.91
975,4.03,26.19,0.02,2.93
976,2.67,27.18,0.03,2.55
977,2.24,21.76,0.03,1.1
978,2.63,26.73,0.04,0.27
979,4.38,22.68,0.01,0.73
980,3.59,9.62,0.04,3.52
981,0.82,16.26,0.001,1.96
982,2.01,3.43,0.04,1.78
983,3.15,0.12,0.01,1.68
984,3.25,10.69,0.04,0.63
985,4.06,1.31,0.02,1.21
986,0.95,24.84,0.03,2.73
987,4.49,3.08,0.01,3.28
988,1.88,7.08,0.04,0.49
989,1.39,19.96,0.05,3.96
990,1.39,9.01,0.02,0.78
991,3.81,21.58,0.03,3.62
992,3.09,3.11,0.03,2.5
993,3.01,19.48,0.05,1.54
994,2.01,9.1,0.02,1.54
995,3.02,20.04,0.04,0.94
996,1.92,23.86,0.05,0.39
997,3.38,10.07,0.01,2.68
998,1.03,16.96,0.01,1.79
999,0.92,21.9,0.03,0.6
1000,4.93,6.05,0.04,2.0
1001,4.87,25.65,0.02,3.52
1002,1.48,28.35,0.05,3.75
1003,3.51,11.62,0.02,1.18
1004,3.69,17.55,0.03,1.81
1005,2.78,26.23,0.001,2.78
1006,1.75,14.6,0.05,2.85
1007,3.85,16.61,0.03,2.75
1008,3.61,18.91,0.02,2.11
1009,3.18,26.15,0.03,1.26
1010,3.74,14.2,0.001,1.6
1011,4.82,20.75,0.001,2.52
1012,0.75,9.74,0.01,0.22
1013,0.23,29.24,0.02,3.17
1014,4.98,7.69,0.04,0.63
1015,2.38,1.44,0.04,2.36
1016,0.92,13.22,0.04,2.29
1017,4.44,20.25,0.04,0.57
1018,3.01,13.84,0.01,3.99
1019,3.62,11.3,0.02,1.51
1020,0.71,17.58,0.03,3.59
1021,0.25,22.87,0.01,0.88
1022,0.53,4.86,0.001,2.19
1023,3.79,19.33,0.04,3.89
1024,,13.91,0.03,3.89
1025,2.47,29.2,0.04,1.28
1026,1.82,12.46,0.03,2.38
1027,4.35,0.53,0.03,3.51
1028,3.99,25.39,0.01,3.1
1029,1.83,17.89,0.04,2.94
1030,0.21,8.11,0.04,3.49
1031,3.08,9.52,0.02,0.17
1032,1.94,15.8,0.04,2.29
1033,1.93,14.48,0.01,0.24
1034,0.55,9.47,0.001,1.31
1035,1.08,14.67,0.02,0.35
1036,0.41,23.98,0.04,1.57
1037,0.54,15.3,0.02,1.01
1038,0.92,27.37,0.02,3.3
1039,3.35,12.31,0.03,0.35
1040,2.72,25.99,0.01,3.06
1041,2.48,7.47,0.05,1.77
1042,1.61,27.61,0.02,1.96
1043,4.33,14.4,0.02,0.15
1044,3.95,3.33,0.04,3.02
1045,2.97,8.37,0.03,1.86
1046,0.32,23.21,0.03,2.75
1047,2.91,7.46,0.02,0.93
1048,4.56,19.02,0.04,1.75
1049,1.37,6.4,0.02,0.75
1050,4.72,7.28,0.02,1.14
1051,0.31,0.9,0.01,1.54
1052,1.37,19.98,0.02,2.45
1053,1.76,29.1,0.01,2.38
1054,2.33,16.23,0.01,1.78
1055,4.74,18.82,0.02,1.6
1056,2.54,16.45,0.03,0.23
1057,4.61,11.52,0.01,2.35
1058,1.2,0.69,0.001,2.03
1059,1.28,27.62,0.04,1.01
1060,1.99,26.85,0.001,1.03
1061,3.75,29.24,0.02,2.01
1062,4.69,20.94,0.001,1.34
1063,3.48,21.97,0.01,3.58
1064,1.79,15.41,0.03,0.34
1065,3.62,21.92,0.02,0.72
1066,0.77,11.52,0.01,0.31
1067,1.19,18.95,0.03,2.87
1068,4.13,27.2,0.01,2.35
1069,3.75,29.5,0.01,2.0
1070,3.48,3.44,0.04,0.38
1071,0.34,20.63,0.01,0.76
1072,1.35,28.83,0.04,0.18
1073,2.41,15.24,0.03,0.63
1074,2.63,6.23,0.04,3.11
1075,3.14,7.74,0.02,0.47
1076,3.54,4.22,0.05,0.63
1077,0.43,26.42,0.03,0.45
1078,2.09,23.99,0.02,0.25
1079,0.56,9.34,0.03,0.49
1080,1.81,18.67,0.01,1.59
1081,0.23,20.5,0.05,2.36
1082,4.1,6.26,0.01,3.59
1083,3.47,8.61,0.03,3.81
1084,3.76,23.89,0.04,3.63
1085,2.99,27,0.04,3.35
1086,3.11,17.7,0.001,3.35
1087,4.27,5.39,0.04,2.91
1088,0.76,5.77,0.03,1.21
1089,,16.82,0.02,0.79
1090,0.69,0.47,0.01,1.13
1091,3.85,11.33,0.03,0.31
1092,0.36,9.62,0.04,2.24
1093,1.97,17.23,0.04,2.68
1094,4.59,3.44,0.01,2.55
1095,4.33,29.04,0.02,1.63
1096,3.72,29.66,0.05,1.19
1097,1.74,19.89,0.03,0.75
1098,2.92,23.59,0.01,3.6
1099,2.94,0.02,0.01,3.85
1100,0.93,1.74,0.01,2.06
1101,0.26,12.48,0.04,3.67
1102,2.66,18.02,0.01,2.74
1103,2.04,12.04,0.04,3.2
1104,4.56,26.79,0.03,3.44
1105,1.54,1.77,0.03,1.52
1106,4.41,28.7,0.04,1.43
1107,1.4,2.34,0.04,1.93
1108,1.21,17.59,0.04,2.61
1109,2.55,23.92,0.05,0.52
1110,1.08,4.05,0.001,3.36
1111,0.81,15.17,0.02,1.18
1112,0.94,9.34,0.03,3.41
1113,0.43,10.55,0.04,1.24
1114,0.32,28.36,0.04,3.46
1115,0.58,27.8,0.02,0.74
1116,0.16,15.37,0.04,2.85
1117,0.45,29.8,0.04,1.46
1118,0.33,29.01,0.01,1.67
1119,0.45,12.21,0.04,2.89
1120,3.2,1.54,0.01,3.25
1121,2.61,8.57,0.01,3.06
1122,1.27,19.87,0.03,0.04
1123,2.17,22.79,0.02,0.45
1124,3.5,24.25,0.01,2.1
1125,4.39,5.04,0.01,3.41
1126,1.86,10.48,0.04,3.79
1127,2.41,23.26,0.03,3.56
1128,1.51,9.1,0.03,1.94
1129,4.8,2.98,0.04,1.9
1130,3.13,6.45,0.03,3.44
1131,0.61,5.64,0.03,3.93
1132,2.85,11.98,0.02,3.75
1133,0.23,10.42,0.05,3.89
1134,2.25,11.64,0.01,3.73
1135,2.54,19.79,0.03,2.43
1136,2.45,12.38,0.03,0.78
1137,3.13,28.98,0.02,1.8
1138,4.55,24.52,0.04,2.31
1139,4.39,18.91,0.04,0.73
1140,4.57,22.96,0.01,0.88
1141,1.55,11.3,0.02,3.14
1142,2.56,6.22,0.001,0.17
1143,0.42,18.06,0.04,2.22
1144,2.13,29.19,0.05,1.47
1145,4.75,14.91,0.04,2.4
1146,4.36,26.45,0.01,3.95
1147,3.93,4.89,0.01,2.26
1148,0.86,9.91,0.01,2.34
1149,0.38,20.9,0.04,2.5
1150,2.06,26,0.01,1.47
1151,4.78,2.05,0.03,2.38
1152,3.43,15.58,0.04,2.65
1153,4.81,26.64,0.02,2.29
1154,0.6,20.74,0.02,2.47
1155,4.05,11.47,0.02,2.51
1156,0.48,23.82,0.01,2.69
1157,2.67,7.23,0.04,3.38
1158,3.21,23.64,0.04,0.55
1159,,19.57,0.01,0.65
1160,2.91,19.59,0.04,1.48
1161,0.11,13.69,0.02,0.83
1162,,22.2,0.001,2.25
1163,1.83,28.52,0.04,3.71
1164,3.83,18.88,0.04,2.49
1165,1.1,21.18,0.02,0.22
1166,1.14,8.89,0.04,2.67
1167,0.17,12.03,0.05,3.87
1168,2.27,2.65,0.04,1.87
1169,4.94,25.72,0.03,3.47
1170,1.32,0.71,0.02,0.96
1171,4.76,15.76,0.04,2.48
