Id,population,households,median_income,median_house_value
511,550.0,253.0,5.0917,262500.0
512,1806.0,1022.0,2.6429,218500.0
513,1749.0,1217.0,3.0233,255000.0
514,939.0,519.0,3.1484,224100.0
515,675.0,422.0,3.4722,243100.0
516,534.0,291.0,3.1429,231600.0
517,2558.0,1661.0,,218500.0
518,1786.0,1037.0,3.0897,234100.0
519,970.0,373.0,5.8596,327600.0
520,1098.0,485.0,5.2868,347600.0
521,794.0,376.0,5.956,366100.0
522,98.0,47.0,4.9643,335000.0
523,1061.0,403.0,6.3434,373600.0
524,1177.0,555.0,5.1773,389500.0
525,901.0,367.0,7.2354,391100.0
526,2031.0,956.0,5.457,337300.0
527,1031.0,479.0,7.5,295200.0
528,1358.0,597.0,6.0194,292300.0
529,1616.0,654.0,7.5544,411500.0
530,844.0,343.0,6.0666,311500.0
531,1140.0,496.0,7.0548,325900.0
532,533.0,194.0,,392600.0
533,1072.0,443.0,7.4882,319300.0
534,1627.0,766.0,6.8976,333300.0
535,463.0,190.0,8.2049,335200.0
536,542.0,211.0,8.401,351200.0
537,661.0,269.0,6.8538,368900.0
538,635.0,263.0,8.317,365900.0
539,420.0,176.0,7.0175,366700.0
540,1265.0,500.0,6.3302,362800.0
541,126.0,52.0,6.3624,483300.0
542,813.0,350.0,7.0549,331400.0
543,1067.0,426.0,6.7851,323500.0
544,1260.0,552.0,2.8929,216700.0
545,951.0,487.0,3.0812,233100.0
546,510.0,224.0,5.2402,296400.0
547,765.0,308.0,6.5217,273700.0
548,1129.0,460.0,3.2632,227700.0
549,1073.0,441.0,3.0298,
550,1185.0,515.0,4.5428,239800.0
551,756.0,340.0,4.072,270100.0
552,1034.0,521.0,5.3509,302100.0
553,787.0,459.0,3.1603,269500.0
554,612.0,213.0,4.7708,314700.0
555,1021.0,380.0,8.1564,390100.0
556,861.0,258.0,8.8793,410300.0
557,953.0,327.0,6.8591,352400.0
558,634.0,256.0,6.0302,287300.0
559,878.0,352.0,7.508,348700.0
560,918.0,483.0,2.7477,243800.0
561,360.0,175.0,2.1944,211500.0
562,1197.0,488.0,3.0149,218400.0
563,1048.0,518.0,3.675,269900.0
564,1373.0,747.0,3.225,218800.0
565,1715.0,1015.0,,225000.0
566,1359.0,722.0,2.1429,250000.0
567,1062.0,413.0,1.6121,171400.0
568,1335.0,773.0,1.3929,193800.0
569,1171.0,429.0,2.3173,125000.0
570,1475.0,460.0,1.7772,97500.0
571,742.0,196.0,2.6458,125000.0
572,1086.0,363.0,2.181,138800.0
573,1645.0,543.0,2.2303,116700.0
574,1710.0,644.0,1.6504,151800.0
575,731.0,228.0,2.2697,127000.0
576,1118.0,347.0,2.1563,128600.0
577,1006.0,335.0,2.1348,140600.0
578,1213.0,554.0,2.6292,182700.0
579,772.0,257.0,2.3833,146900.0
580,1321.0,401.0,2.957,122800.0
581,1487.0,677.0,2.5238,169300.0
582,488.0,186.0,1.9375,126600.0
583,949.0,392.0,1.9028,127900.0
584,1149.0,415.0,2.25,123500.0
585,844.0,280.0,2.3929,111900.0
586,4367.0,1231.0,2.1917,112800.0
587,1659.0,412.0,2.9357,107900.0
588,1011.0,263.0,1.8854,137500.0
589,1464.0,389.0,2.1638,105500.0
590,1237.0,303.0,2.125,95500.0
591,647.0,168.0,3.375,116100.0
592,1284.0,357.0,2.2542,112200.0
593,228.0,55.0,2.1,75000.0
594,381.0,123.0,1.6,112500.0
595,846.0,227.0,3.625,125000.0
596,1659.0,676.0,1.6929,115000.0
597,520.0,138.0,1.6471,95000.0
598,866.0,259.0,2.59,96400.0
599,612.0,183.0,2.57,72000.0
600,415.0,126.0,2.6429,71300.0
601,994.0,213.0,3.0257,80800.0
602,1525.0,477.0,1.4886,128800.0
603,1506.0,438.0,1.9338,112500.0
604,1008.0,255.0,1.4844,119400.0
605,2813.0,751.0,1.6009,118100.0
606,1481.0,343.0,2.0375,122500.0
607,859.0,219.0,2.293,106300.0
608,1608.0,523.0,2.1494,132500.0
609,425.0,140.0,1.6198,122700.0
610,564.0,184.0,1.3281,113300.0
611,961.0,272.0,3.5156,109500.0
612,2273.0,685.0,3.9048,164700.0
613,600.0,195.0,3.0893,125000.0
614,1647.0,527.0,2.6042,124700.0
615,1201.0,424.0,2.5,136700.0
616,2167.0,659.0,2.7969,141700.0
617,939.0,340.0,2.8321,150000.0
618,859.0,292.0,2.9583,138800.0
619,1517.0,516.0,2.8365,139200.0
620,1143.0,386.0,2.875,143800.0
621,1109.0,,3.0682,156500.0
622,1221.0,446.0,3.0757,151000.0
623,1115.0,455.0,4.9559,273000.0
624,706.0,268.0,4.7721,217100.0
625,1883.0,706.0,3.4861,187100.0
626,804.0,340.0,,239600.0
627,506.0,252.0,4.0977,229700.0
628,610.0,238.0,4.744,257300.0
629,768.0,332.0,4.2727,246900.0
630,462.0,184.0,2.9844,179900.0
631,667.0,235.0,4.1739,169600.0
632,1059.0,399.0,3.8487,203300.0
633,637.0,277.0,4.0114,263400.0
634,1106.0,454.0,4.6563,231800.0
635,1737.0,669.0,2.9297,140500.0
636,1009.0,390.0,2.3036,126000.0
637,737.0,210.0,2.6667,122000.0
638,1354.0,491.0,2.619,134700.0
639,1530.0,474.0,2.4167,139400.0
640,1410.0,480.0,2.7788,115400.0
641,1390.0,569.0,2.7352,137300.0
642,1065.0,269.0,1.8472,137000.0
643,792.0,245.0,2.6583,142600.0
644,779.0,245.0,3.0536,137500.0
645,2269.0,610.0,2.3906,111700.0
646,1227.0,407.0,1.7188,126800.0
647,753.0,241.0,2.625,111300.0
648,547.0,135.0,2.8015,114800.0
649,1807.0,440.0,1.7276,102300.0
650,1700.0,495.0,2.0801,131900.0
651,1543.0,393.0,2.489,119100.0
652,1085.0,300.0,1.7546,80600.0
653,353.0,137.0,4.0904,80600.0
654,473.0,149.0,2.6765,88800.0
655,1621.0,483.0,2.4338,102400.0
656,1183.0,354.0,2.3309,98700.0
657,836.0,277.0,2.2604,100000.0
658,900.0,263.0,1.8039,92300.0
659,1888.0,537.0,2.2562,94800.0
660,1024.0,341.0,2.0562,102000.0
661,1225.0,423.0,3.5398,
662,1071.0,376.0,3.1167,121600.0
663,1128.0,378.0,2.5401,129100.0
664,1537.0,484.0,2.898,121400.0
665,1240.0,393.0,2.3125,102800.0
666,469.0,168.0,2.875,160000.0
667,1086.0,425.0,3.3715,143900.0
668,1144.0,417.0,3.5114,151200.0
669,1109.0,375.0,4.3125,164400.0
670,984.0,369.0,3.22,156500.0
671,575.0,47.0,3.875,225000.0
672,496.0,209.0,5.2328,174200.0
673,555.0,190.0,3.7262,166900.0
674,,327.0,4.5893,163500.0
675,236.0,106.0,5.2578,253000.0
676,626.0,214.0,7.0875,240700.0
677,,329.0,3.9712,208100.0
678,582.0,256.0,2.9514,198100.0
679,546.0,201.0,2.6667,172800.0
680,620.0,266.0,5.4446,336700.0
681,442.0,195.0,6.2838,318200.0
682,955.0,328.0,6.7527,285800.0
683,916.0,324.0,7.0712,293000.0
684,4985.0,1967.0,5.9849,371000.0
685,651.0,267.0,3.6875,157300.0
686,1704.0,703.0,2.875,135300.0
687,1085.0,407.0,3.4205,136700.0
688,713.0,284.0,3.2984,160700.0
689,468.0,181.0,3.875,140600.0
690,296.0,121.0,4.175,144000.0
691,570.0,218.0,4.375,161900.0
692,446.0,180.0,4.7708,156300.0
693,968.0,384.0,3.5739,176000.0
694,857.0,316.0,3.0958,145800.0
695,912.0,322.0,,141900.0
696,1360.0,452.0,1.871,90700.0
697,1074.0,355.0,1.9356,90600.0
698,965.0,382.0,2.1842,107900.0
699,933.0,320.0,2.2917,107000.0
700,987.0,354.0,2.4333,98200.0
701,907.0,246.0,1.9479,89500.0
702,,165.0,3.9063,93800.0
703,1299.0,451.0,1.8407,96700.0
704,396.0,157.0,2.0786,97500.0
705,877.0,268.0,2.8125,97300.0
706,1111.0,367.0,1.8913,91200.0
707,790.0,269.0,1.7056,91400.0
708,1479.0,554.0,2.2768,96200.0
709,1173.0,438.0,3.2552,120100.0
710,1029.0,366.0,2.0556,100000.0
711,1030.0,350.0,2.4659,94700.0
712,826.0,279.0,1.75,85700.0
713,1412.0,454.0,2.0469,89300.0
714,1132.0,349.0,2.7159,101400.0
715,522.0,159.0,1.2083,72500.0
716,630.0,237.0,1.925,74100.0
717,531.0,133.0,1.5809,70000.0
718,1925.0,667.0,1.4097,84600.0
719,1144.0,351.0,0.7683,81800.0
720,1481.0,520.0,1.3194,81400.0
721,435.0,162.0,0.8012,81800.0
722,984.0,303.0,1.9479,85800.0
723,567.0,159.0,1.1765,87100.0
724,380.0,123.0,2.3456,83500.0
725,825.0,244.0,2.1538,79700.0
726,417.0,155.0,2.5139,83400.0
727,801.0,287.0,1.2625,84700.0
728,646.0,198.0,2.9063,80000.0
729,855.0,285.0,2.5192,76400.0
730,435.0,136.0,2.1111,79700.0
731,2736.0,780.0,2.455,82400.0
732,1481.0,414.0,2.4028,97700.0
733,327.0,137.0,2.15,97200.0
734,494.0,179.0,2.4776,101600.0
735,1231.0,341.0,,86500.0
736,323.0,109.0,1.8438,90500.0
737,749.0,225.0,3.0298,107600.0
738,693.0,178.0,2.25,84200.0
739,1339.0,354.0,2.2467,88900.0
740,282.0,80.0,4.0469,80700.0
741,621.0,195.0,1.325,87100.0
742,732.0,259.0,1.6196,85100.0
743,901.0,260.0,2.1731,82000.0
744,482.0,150.0,1.9167,82800.0
745,652.0,213.0,2.069,84600.0
746,651.0,166.0,1.712,82100.0
747,999.0,286.0,2.5625,89300.0
748,907.0,306.0,1.9821,98300.0
749,828.0,230.0,2.5043,92300.0
750,763.0,254.0,2.3281,88800.0
751,935.0,349.0,1.4375,90000.0
752,1437.0,484.0,2.5122,95500.0
753,1516.0,482.0,1.5625,91700.0
754,597.0,185.0,3.1587,100400.0
755,949.0,342.0,1.8426,94800.0
756,881.0,302.0,4.6696,164300.0
757,1438.0,519.0,2.4598,155500.0
758,763.0,270.0,6.0749,196900.0
759,1297.0,355.0,4.8304,279100.0
760,545.0,211.0,5.5701,252800.0
761,1222.0,533.0,5.37,275400.0
762,808.0,219.0,6.86,250000.0
763,329.0,109.0,7.6923,329800.0
764,299.0,109.0,4.0313,195500.0
765,579.0,202.0,6.8323,255900.0
766,137.0,50.0,4.975,311100.0
767,229.0,93.0,5.3602,330000.0
768,1476.0,648.0,5.0,248900.0
769,429.0,154.0,2.925,142900.0
770,849.0,255.0,3.8913,126300.0
771,946.0,331.0,3.225,135800.0
772,571.0,191.0,3.1458,130600.0
773,1137.0,386.0,2.537,107900.0
774,378.0,135.0,2.5568,111100.0
775,853.0,272.0,3.5083,122000.0
776,764.0,282.0,3.3125,118000.0
777,928.0,261.0,1.8235,95200.0
778,406.0,133.0,3.8047,94300.0
779,824.0,280.0,2.2917,92500.0
780,835.0,259.0,2.4962,91800.0
781,826.0,295.0,4.0417,109400.0
782,567.0,211.0,3.4844,129500.0
783,355.0,144.0,4.1458,143400.0
784,533.0,166.0,2.625,98200.0
785,609.0,215.0,2.0227,103100.0
786,576.0,236.0,3.3333,276800.0
787,594.0,286.0,5.338,270900.0
788,870.0,377.0,3.4732,246200.0
789,1027.0,509.0,3.5125,224200.0
790,693.0,326.0,3.1375,229100.0
791,815.0,375.0,2.8036,211600.0
792,2420.0,1146.0,4.5824,256100.0
793,518.0,276.0,3.0208,206300.0
794,620.0,275.0,4.0875,221300.0
795,551.0,266.0,4.5268,207400.0
796,2556.0,924.0,1.7375,350000.0
797,1498.0,696.0,3.1795,218200.0
798,523.0,227.0,3.8672,216700.0
799,374.0,153.0,5.1675,270600.0
800,,371.0,5.1696,261400.0
801,769.0,334.0,4.2614,261300.0
802,940.0,423.0,5.0551,232200.0
803,645.0,256.0,5.6228,375400.0
804,705.0,288.0,7.8864,357300.0
805,684.0,275.0,7.9556,374400.0
806,572.0,236.0,6.174,358800.0
807,671.0,253.0,6.9414,417500.0
808,975.0,365.0,8.8342,430500.0
809,779.0,312.0,7.1754,362900.0
810,658.0,244.0,10.0825,397000.0
811,819.0,335.0,4.9083,346800.0
812,412.0,168.0,5.7912,327100.0
813,835.0,369.0,4.5893,290100.0
814,722.0,306.0,5.4171,292000.0
815,1085.0,487.0,4.125,270900.0
816,973.0,355.0,7.266,371100.0
817,,272.0,5.3989,335600.0
818,903.0,362.0,7.8336,371300.0
819,356.0,181.0,6.1593,344000.0
820,1005.0,462.0,6.381,342200.0
821,1205.0,504.0,6.6828,370900.0
822,987.0,450.0,7.5385,350000.0
823,1031.0,448.0,6.7138,368600.0
824,894.0,404.0,6.2425,391800.0
825,823.0,377.0,5.7979,415300.0
826,1232.0,621.0,4.2813,284900.0
827,669.0,367.0,3.5417,287500.0
828,989.0,550.0,3.0132,272900.0
829,1058.0,464.0,4.1429,259600.0
830,506.0,207.0,4.1912,254500.0
831,489.0,218.0,3.9167,235600.0
832,824.0,388.0,3.8897,218400.0
833,1034.0,475.0,3.1065,229200.0
834,920.0,425.0,2.9926,192100.0
835,841.0,380.0,3.556,179300.0
836,749.0,137.0,1.475,187500.0
837,208.0,98.0,1.6971,138800.0
838,228.0,100.0,2.1705,150000.0
839,287.0,128.0,2.75,140600.0
840,218.0,106.0,2.5682,120000.0
841,854.0,355.0,2.9,144800.0
842,1695.0,684.0,2.2208,144800.0
843,403.0,172.0,3.2344,
844,288.0,131.0,3.5156,200000.0
845,963.0,521.0,1.9805,173700.0
846,1129.0,516.0,2.6684,185600.0
847,386.0,204.0,3.875,182600.0
848,811.0,406.0,3.006,227900.0
849,1293.0,675.0,2.543,220700.0
850,805.0,431.0,2.8676,212000.0
851,1372.0,876.0,2.1907,271400.0
852,862.0,425.0,1.7778,268800.0
853,1152.0,616.0,2.52,277800.0
854,483.0,249.0,4.2788,332500.0
855,1558.0,573.0,2.944,338900.0
856,1798.0,769.0,1.725,287500.0
857,266.0,123.0,5.2289,384600.0
858,2184.0,422.0,2.5562,371400.0
859,2016.0,477.0,0.949,350000.0
860,1349.0,250.0,1.1696,500001.0
861,3337.0,350.0,1.4012,175000.0
862,1721.0,,1.1859,241700.0
863,1675.0,1000.0,1.7464,216700.0
864,707.0,350.0,2.8846,211300.0
865,1424.0,694.0,2.7372,210200.0
866,393.0,189.0,3.8594,196400.0
867,828.0,339.0,3.5625,191700.0
868,571.0,292.0,2.2788,182300.0
869,1382.0,713.0,2.537,175000.0
870,792.0,321.0,2.525,165900.0
871,815.0,372.0,1.9946,156900.0
872,788.0,346.0,2.8214,164300.0
873,1145.0,430.0,2.6165,150000.0
874,1354.0,563.0,1.9483,150500.0
875,958.0,445.0,1.9327,169900.0
876,1361.0,608.0,1.9798,147400.0
877,1005.0,449.0,2.4167,152700.0
878,924.0,414.0,2.5417,182700.0
879,780.0,358.0,3.3906,179300.0
880,1582.0,636.0,2.5652,157700.0
881,1213.0,568.0,2.2845,153100.0
882,486.0,267.0,2.6071,250000.0
883,494.0,175.0,3.15,206300.0
884,849.0,365.0,2.6914,218800.0
885,1127.0,548.0,1.8447,198200.0
886,3276.0,1742.0,1.6307,253600.0
887,1493.0,794.0,2.9044,257400.0
888,1461.0,679.0,2.9405,289500.0
889,1253.0,538.0,3.3893,241700.0
890,1656.0,459.0,3.0417,489600.0
891,514.0,202.0,7.0897,446200.0
892,719.0,295.0,5.0463,456300.0
893,878.0,449.0,1.7652,336800.0
894,517.0,214.0,7.8521,500001.0
895,1366.0,496.0,9.3959,500001.0
896,1316.0,590.0,5.3794,376900.0
897,1508.0,755.0,3.2619,309600.0
898,1800.0,815.0,2.7054,182300.0
899,719.0,326.0,2.2431,172700.0
900,675.0,255.0,1.9028,150800.0
901,875.0,363.0,,153600.0
902,152.0,77.0,2.2841,106300.0
903,843.0,319.0,1.3785,142300.0
904,281.0,132.0,2.9018,119400.0
905,506.0,204.0,1.73,147900.0
906,1054.0,466.0,2.2625,132900.0
907,1017.0,414.0,2.2106,132500.0
908,1623.0,765.0,2.6997,126900.0
909,3100.0,2051.0,4.0018,143800.0
910,947.0,361.0,7.8772,500001.0
911,808.0,315.0,11.8603,500001.0
912,1018.0,335.0,13.499,500001.0
913,1001.0,352.0,12.2138,500001.0
914,1005.0,369.0,8.1872,466100.0
915,1192.0,383.0,12.3804,500001.0
916,585.0,227.0,5.8948,457800.0
917,916.0,316.0,8.1194,471600.0
918,556.0,179.0,8.7477,500001.0
919,1470.0,520.0,6.155,398600.0
920,1104.0,398.0,5.883,340700.0
921,1242.0,518.0,5.2128,289900.0
922,805.0,321.0,4.7188,335300.0
923,378.0,162.0,5.2915,
924,481.0,223.0,2.6411,241000.0
925,409.0,160.0,3.3214,189600.0
926,885.0,373.0,3.6417,206300.0
927,1468.0,567.0,3.0161,215700.0
928,482.0,215.0,3.1771,210200.0
929,825.0,,3.4531,208800.0
930,429.0,158.0,4.3098,197900.0
931,528.0,208.0,3.3438,201300.0
932,496.0,216.0,2.9213,190800.0
933,718.0,265.0,2.6806,207900.0
934,630.0,265.0,3.7708,215300.0
935,723.0,286.0,3.9444,212900.0
936,959.0,486.0,5.2601,292700.0
937,3668.0,855.0,2.5444,275000.0
938,2037.0,355.0,2.6447,200000.0
939,3741.0,1273.0,2.5762,173400.0
940,821.0,300.0,1.9427,102200.0
941,870.0,347.0,2.9688,220800.0
942,1901.0,966.0,3.75,242800.0
943,1243.0,663.0,5.1702,265400.0
944,730.0,327.0,2.5139,219000.0
945,793.0,299.0,2.9732,282100.0
946,1033.0,434.0,,372000.0
947,872.0,363.0,4.1667,225800.0
948,849.0,457.0,2.7115,220800.0
949,1121.0,518.0,3.3269,234500.0
950,872.0,445.0,3.2685,254200.0
951,637.0,297.0,4.7778,351800.0
952,663.0,340.0,4.226,275000.0
953,411.0,172.0,3.3571,405400.0
954,915.0,413.0,2.9899,228100.0
955,921.0,477.0,2.875,234000.0
956,585.0,266.0,2.3882,162500.0
957,2086.0,1053.0,2.975,243400.0
958,1303.0,535.0,5.1039,273800.0
959,374.0,176.0,4.1458,248500.0
960,979.0,472.0,3.4762,244000.0
961,827.0,446.0,2.6833,240900.0
962,658.0,253.0,5.75,306300.0
963,654.0,268.0,3.9632,240000.0
964,384.0,146.0,4.9489,247100.0
965,1499.0,797.0,4.8711,286600.0
966,1128.0,522.0,3.0718,266700.0
967,1110.0,492.0,3.6719,229800.0
968,1119.0,415.0,4.6094,229300.0
969,2930.0,1235.0,4.5213,228400.0
970,897.0,390.0,4.4562,206200.0
971,7427.0,2718.0,7.611,350700.0
972,2973.0,1312.0,3.2689,231000.0
973,1340.0,632.0,3.567,252900.0
974,2974.0,1484.0,3.6875,353900.0
975,2690.0,1151.0,4.7695,291700.0
976,583.0,326.0,3.1972,100000.0
977,5781.0,2007.0,7.2634,341600.0
978,1738.0,512.0,7.0568,412500.0
979,1478.0,529.0,4.635,248600.0
980,746.0,270.0,5.3015,254900.0
981,1235.0,455.0,4.9801,241500.0
982,1411.0,484.0,5.4834,295200.0
983,1368.0,521.0,6.187,340400.0
984,1048.0,367.0,5.6194,274700.0
985,1004.0,365.0,5.4639,238600.0
986,1086.0,367.0,5.1498,266400.0
987,922.0,350.0,5.8382,330200.0
988,1950.0,819.0,4.65,206800.0
989,1413.0,595.0,4.3819,209200.0
990,1444.0,568.0,3.7222,195800.0
991,749.0,269.0,5.2855,253500.0
992,867.0,329.0,4.3375,241800.0
993,2723.0,1035.0,5.2131,252500.0
994,731.0,263.0,6.005,263900.0
995,781.0,301.0,5.0519,227000.0
996,1784.0,652.0,4.8237,220900.0
997,1156.0,410.0,5.2497,259300.0
998,645.0,277.0,4.125,232500.0
999,821.0,315.0,4.6005,231600.0
1000,1912.0,770.0,3.5187,209400.0
1001,1487.0,694.0,3.0,223200.0
1002,1645.0,710.0,3.4934,209900.0
1003,2239.0,1051.0,2.9861,208200.0
1004,1021.0,552.0,2.5362,203800.0
1005,1105.0,,3.3021,195700.0
1006,2999.0,1295.0,3.0964,190500.0
1007,740.0,284.0,2.8512,181000.0
1008,629.0,244.0,3.3478,184900.0
1009,314.0,205.0,2.3958,190800.0
1010,1479.0,668.0,3.5295,242200.0
1011,1732.0,800.0,4.8036,188300.0
1012,1338.0,550.0,3.851,183500.0
1013,440.0,192.0,4.0662,204200.0
1014,922.0,393.0,4.6042,251900.0
1015,611.0,288.0,2.2,187500.0
1016,994.0,412.0,4.1164,198200.0
1017,545.0,230.0,3.95,219000.0
1018,317.0,143.0,4.9135,275000.0
1019,1573.0,736.0,2.8355,245400.0
1020,925.0,435.0,3.25,177500.0
1021,768.0,385.0,2.8301,171600.0
1022,620.0,292.0,3.7159,183300.0
1023,425.0,207.0,2.5625,175000.0
1024,1003.0,305.0,3.8047,156700.0
1025,519.0,135.0,3.375,157500.0
1026,481.0,198.0,3.244,179800.0
1027,1209.0,519.0,4.0268,205500.0
1028,1398.0,,3.3906,178900.0
1029,158.0,58.0,5.5461,262500.0
1030,,664.0,3.371,165000.0
1031,766.0,289.0,3.5313,
1032,814.0,328.0,3.663,158300.0
1033,618.0,239.0,2.875,144800.0
1034,2139.0,789.0,4.0202,166300.0
1035,632.0,253.0,4.5553,191000.0
1036,366.0,134.0,3.4643,175000.0
1037,877.0,485.0,3.3431,137500.0
1038,830.0,573.0,2.1898,141700.0
1039,739.0,379.0,2.9097,210900.0
1040,540.0,266.0,3.375,198300.0
1041,2024.0,962.0,2.8125,
1042,823.0,334.0,5.0,264700.0
1043,711.0,353.0,3.0673,218400.0
1044,931.0,368.0,3.8125,235100.0
1045,686.0,270.0,6.9096,
1046,1030.0,397.0,7.912,367300.0
1047,976.0,392.0,3.8393,243500.0
1048,552.0,210.0,4.0,167900.0
1049,340.0,171.0,6.5095,371200.0
1050,288.0,132.0,3.5156,218900.0
1051,555.0,248.0,2.983,202700.0
1052,1006.0,444.0,3.524,186200.0
1053,776.0,346.0,3.1103,188900.0
1054,609.0,270.0,3.5781,180000.0
1055,2441.0,1352.0,3.1682,202700.0
1056,1364.0,789.0,2.6101,181700.0
1057,2197.0,1044.0,3.6932,166800.0
1058,1333.0,544.0,3.4583,183700.0
1059,1810.0,703.0,3.9032,218000.0
1060,531.0,183.0,4.0208,191500.0
1061,672.0,261.0,3.5547,194700.0
1062,695.0,330.0,4.5859,187200.0
1063,2162.0,998.0,2.6321,223100.0
1064,1216.0,643.0,3.395,271300.0
1065,606.0,239.0,3.9702,194100.0
1066,1203.0,379.0,5.0043,190400.0
1067,874.0,301.0,4.4659,189100.0
1068,637.0,222.0,3.6625,184600.0
1069,703.0,276.0,3.8864,197300.0
1070,733.0,229.0,3.4583,192600.0
1071,625.0,228.0,3.7813,192200.0
1072,568.0,225.0,2.9917,194600.0
1073,836.0,311.0,4.4375,193500.0
1074,952.0,362.0,4.0,202600.0
1075,568.0,352.0,2.3869,83300.0
1076,1125.0,366.0,4.7609,212600.0
1077,840.0,401.0,5.4858,187800.0
1078,796.0,283.0,4.3971,205700.0
1079,863.0,267.0,4.0109,192900.0
1080,1349.0,486.0,4.3864,205200.0
1081,929.0,383.0,4.2841,213400.0
1082,957.0,335.0,5.1312,183600.0
1083,1093.0,555.0,2.9958,178400.0
1084,1489.0,607.0,3.6364,219200.0
1085,1561.0,628.0,2.7955,183100.0
1086,1256.0,485.0,2.9507,157100.0
1087,695.0,279.0,3.4375,157800.0
1088,560.0,237.0,2.875,161700.0
1089,632.0,289.0,3.0345,152100.0
