Id,copper,flouride,bacteria,viruses,lead
506,1.65,0.08,0.51,0.51,0.025
507,0.05,1.21,0.33,0.001,0.015
508,0.16,0.87,0.67,0.67,0.18
509,0.13,,0.82,0.82,0.072
510,1.72,0.89,0.09,0.005,0.184
511,0.65,0.73,0.53,0.53,0.132
512,1.67,1.21,0.65,0.65,0.042
513,1.89,1.18,0.75,0.75,0.092
514,0.94,0.26,0.28,0.009,0.023
515,0.85,1.01,0.19,0.008,0.045
516,0.29,0.5,0.7,0.7,0.136
517,1.7,0.29,0.78,0.78,0.185
518,0.72,0.42,0.75,0.75,0.07
519,1.5,0.25,0.02,0.0,0.083
520,1.52,0.76,0.57,0.57,0.155
521,1.51,0.89,0.55,0.55,0.164
522,0.24,0.66,0.09,0.008,0.17
523,1.16,1.06,0.82,0.82,0.12
524,0.87,0.16,0.41,0.003,0.043
525,0.02,0.04,0.76,0.76,0.198
526,1.94,1.27,,0.008,0.194
527,1.57,0.43,0.04,0.003,0.089
528,1.95,1.38,0.46,0.003,0.191
529,1.4,0.5,0.28,0.005,0.044
530,0.55,1.27,0.61,0.61,0.087
531,1.39,1.12,0.1,0.001,0.108
532,0.37,1.29,0.62,0.62,0.122
533,0.35,1.43,0.71,0.71,0.061
534,1.45,0.52,0.18,0.003,0.088
535,1.06,0.53,0.96,0.96,0.158
536,0.5,0.74,0.5,0.5,0.074
537,0.27,0.93,0.5,0.5,0.07
538,0.01,0.01,0.5,0.5,0.148
539,1.24,0.92,0.42,0.006,0.172
540,1.54,0.32,0.33,0.006,0.041
541,1.04,1.39,0.07,0.006,0.176
542,0.33,1.33,0.59,0.59,0.136
543,0.6,0.07,0.79,0.79,0.164
544,1.64,0.61,1.0,1.0,0.038
545,0.81,0.24,0.15,0.005,0.005
546,1.69,0.98,0.28,0.004,0.181
547,1.51,0.36,0.78,0.78,0.159
548,1.99,0.48,0.33,0.001,0.05
549,1.22,1.06,0.27,0.008,0.103
550,1.3,0.37,0.98,0.98,0.156
551,1.38,1.39,0.87,0.87,0.047
552,0.5,0.85,0.44,0.004,0.034
553,0.78,0.09,0.83,0.83,0.138
554,0.17,0.59,0.07,0.008,0.159
555,1.45,1.4,0.28,0.003,0.102
556,0.04,1.16,0.51,0.51,0.044
557,1.8,1.46,0.31,0.004,0.113
558,1.83,1.03,0.48,0.009,0.137
559,1.37,0.65,0.09,0.006,0.034
560,0.52,0.22,0.69,0.69,0.064
561,1.45,0.28,0.52,0.52,0.197
562,0.75,0.44,0.68,0.68,0.157
563,0.07,0.7,0.01,0.0,0.008
564,1.66,0.79,0.73,0.73,0.059
565,1.96,0.82,0.11,0.005,0.037
566,0.57,1.44,0.44,0.003,0.092
567,0.65,1.5,0.79,0.79,0.118
568,0.36,1.39,0.8,0.8,0.116
569,1.07,1.44,0.07,0.005,0.06
570,0.08,1.19,0.7,0.7,0.157
571,1.64,0.78,0.61,0.61,0.038
572,1.39,1.19,0.39,0.001,0.194
573,0.5,1.34,0.22,0.003,0.095
574,0.55,0.96,0.21,0.004,0.062
575,0.66,1.0,0.67,0.67,0.182
576,0.06,0.74,0.05,0.003,0.075
577,0.05,1.43,0.92,0.92,0.04
578,0.79,0.59,0.49,0.007,0.024
579,1.26,1.33,0.34,0.006,0.164
580,0.21,1.04,1.0,1.0,0.105
581,1.94,0.8,0.32,0.004,0.124
582,0.71,1.43,0.58,0.58,0.144
583,1.33,1.0,0.18,0.005,0.152
584,0.89,1.41,0.74,0.74,0.119
585,0.55,0.19,0.72,0.72,0.089
586,1.53,1.04,0.08,0.001,0.064
587,1.04,1.19,0.18,0.001,0.079
588,1.09,0.4,0.02,0.002,0.125
589,0.88,1.45,0.58,0.58,0.067
590,1.32,,0.56,0.56,0.049
591,0.46,1.43,0.43,0.003,0.08
592,0.73,0.82,0.7,0.7,0.122
593,1.44,1.42,0.31,0.007,0.177
594,1.33,1.37,0.09,0.008,0.042
595,0.37,0.49,0.14,0.007,0.185
596,0.98,0.23,0.93,0.93,0.164
597,0.71,1.26,0.75,0.75,0.102
598,1.38,1.26,0.48,0.007,0.152
599,1.11,1.19,0.72,0.72,0.1
600,0.53,0.95,0.19,0.004,0.011
601,1.18,0.88,0.28,0.001,0.032
602,1.96,1.32,0.85,0.85,0.192
603,1.36,0.66,0.76,0.76,0.11
604,1.89,0.7,0.77,0.77,0.172
605,1.89,0.17,0.66,0.66,0.124
606,1.86,0.45,0.36,0.003,0.185
607,0.72,0.87,0.17,0.001,0.033
608,0.13,0.82,0.48,0.008,0.088
609,0.03,1.27,0.82,0.82,0.041
610,1.53,1.25,0.6,0.6,0.164
611,0.25,1.16,0.98,0.98,0.191
612,1.09,0.97,0.49,0.003,0.051
613,1.74,0.36,0.21,0.007,0.187
614,1.94,0.78,0.89,0.89,0.101
615,1.96,0.84,0.37,0.006,0.007
616,1.41,0.37,0.79,0.79,0.085
617,1.32,1.3,0.73,0.73,0.086
618,1.6,0.15,0.91,0.91,0.01
619,1.24,0.14,0.51,0.51,0.032
620,1.17,0.9,0.51,0.51,0.13
621,1.44,0.17,0.99,0.99,0.096
622,0.33,0.82,0.29,0.004,0.093
623,1.66,0.64,0.1,0.002,0.124
624,1.89,0.65,0.39,0.008,0.011
625,0.59,0.54,0.31,0.001,0.124
626,0.7,0.8,0.97,0.97,0.1
627,1.75,0.76,0.26,0.003,0.092
628,0.11,0.21,0.61,0.61,0.059
629,1.72,0.81,0.87,0.87,0.15
630,0.06,0.04,0.08,0.005,0.078
631,1.37,0.62,0.92,0.92,0.112
632,0.34,0.12,0.74,0.74,0.135
633,0.77,0.68,0.05,0.008,0.092
634,0.57,1.33,1.0,1.0,0.065
635,1.46,0.94,0.26,0.002,0.135
636,1.84,1.48,0.13,0.005,0.135
637,0.68,0.79,0.23,0.002,0.014
638,0.78,0.33,0.5,0.5,0.18
639,1.39,1.3,0.49,0.008,0.08
640,1.89,1.05,0.83,0.83,0.184
641,0.06,0.14,0.66,0.66,0.144
642,1.72,,0.63,0.63,0.171
643,1.99,1.44,0.15,0.003,0.1
644,0.32,0.66,0.3,0.006,
645,0.8,1.28,0.93,0.93,0.184
646,1.22,1.49,0.99,0.99,0.03
647,1.17,1.09,0.46,0.008,0.089
648,1.74,0.97,0.24,0.004,0.199
649,1.59,0.13,0.17,0.0,0.076
650,0.6,0.03,0.1,0.001,0.137
651,0.38,,0.93,0.93,0.097
652,1.76,0.63,0.91,0.91,0.139
653,0.29,1.43,0.75,0.75,0.166
654,0.7,0.52,0.59,0.59,0.152
655,1.69,0.96,0.25,0.001,0.021
656,0.67,0.63,0.48,0.003,0.007
657,0.36,0.45,0.79,0.79,0.198
658,1.68,0.48,0.62,0.62,0.147
659,1.32,0.87,0.61,0.61,0.174
660,1.04,0.58,0.5,0.5,0.106
661,0.07,0.13,0.44,0.008,0.019
662,0.85,1.16,0.36,0.005,0.067
663,1.67,1.19,0.86,0.86,0.132
664,0.72,0.57,0.37,0.007,0.153
665,0.28,0.28,0.19,0.0,0.137
666,1.71,1.4,0.95,0.95,0.025
667,0.7,1.43,0.35,0.004,0.188
668,0.56,1.29,0.64,0.64,0.18
669,1.07,1.35,0.39,0.003,0.113
670,0.66,0.88,0.68,0.68,0.113
671,1.17,1.31,0.57,0.57,0.109
672,0.29,0.67,0.65,0.65,0.155
673,1.49,0.75,0.66,0.66,0.099
674,0.29,1.28,0.96,0.96,0.04
675,1.25,0.29,0.78,0.78,0.112
676,1.34,0.36,0.84,0.84,0.07
677,0.85,0.82,0.9,0.9,0.154
678,1.21,1.09,0.77,0.77,0.158
679,0.76,0.24,0.28,0.007,0.027
680,1.34,1.43,0.37,0.007,0.152
681,0.39,1.47,0.58,0.58,0.154
682,1.72,1.07,0.96,0.96,0.119
683,1.86,0.42,0.15,,0.115
684,1.35,1.06,0.22,0.007,0.069
685,1.58,0.15,0.72,0.72,0.013
686,1.09,1.35,0.38,0.006,0.13
687,0.4,1.16,0.87,0.87,0.126
688,1.18,0.07,0.77,0.77,0.042
689,0.31,1.29,0.56,0.56,0.026
690,0.84,0.55,0.78,0.78,0.118
691,0.33,0.22,0.31,0.008,0.163
692,1.44,0.63,0.23,0.004,0.162
693,0.66,0.59,0.65,0.65,0.194
694,0.14,0.77,0.24,0.003,0.062
695,1.15,0.53,0.66,0.66,0.088
696,1.96,0.5,0.5,0.5,0.196
697,0.34,1.4,0.56,0.56,0.013
698,0.15,1.19,0.61,0.61,0.164
699,1.6,0.83,0.68,0.68,0.153
700,0.22,,0.59,0.59,0.119
701,1.41,0.92,0.93,0.93,0.075
702,0.7,0.57,0.3,0.005,0.065
703,,0.59,0.25,0.008,0.03
704,0.37,0.36,0.41,0.002,0.06
705,0.51,0.07,0.12,0.006,0.075
706,1.22,0.46,0.37,0.004,0.105
707,1.59,1.01,0.3,0.008,0.052
708,0.79,0.32,0.64,0.64,0.044
709,0.36,1.31,0.64,0.64,0.154
710,0.67,0.73,0.92,0.92,0.057
711,0.92,1.09,0.75,0.75,0.085
712,0.76,0.62,0.65,0.65,0.044
713,0.13,0.06,0.58,0.58,0.035
714,0.62,0.44,0.31,0.002,0.136
715,1.33,1.07,0.35,0.004,0.099
716,0.86,1.3,0.89,0.89,0.02
717,0.66,0.4,0.25,0.003,0.144
718,1.89,0.95,0.36,0.003,0.178
719,1.02,1.34,0.62,0.62,0.062
720,1.47,0.21,0.33,0.005,0.106
721,1.97,0.85,0.56,0.56,0.096
722,0.85,0.24,0.49,0.001,0.021
723,0.53,0.05,0.32,0.002,0.018
724,0.81,1.25,0.15,0.002,0.156
725,0.79,0.34,0.21,0.001,0.08
726,1.84,0.75,0.92,0.92,0.142
727,1.09,0.37,0.53,0.53,0.075
728,1.81,0.38,0.09,0.006,0.083
729,0.27,1.45,0.84,,0.14
730,0.69,0.45,0.03,0.005,0.049
731,0.41,1.22,0.29,0.006,0.101
732,1.02,0.03,0.73,0.73,0.138
733,1.15,0.77,0.77,0.77,0.019
734,1.63,1.35,0.69,0.69,0.02
735,1.16,0.4,0.25,0.002,0.09
736,0.18,0.74,0.19,0.005,0.112
737,1.0,1.38,0.68,0.68,0.198
738,0.4,0.88,0.59,0.59,0.118
739,1.43,0.68,0.42,0.005,0.108
740,0.1,0.86,0.4,0.003,0.007
741,0.66,0.03,0.62,0.62,0.024
742,0.06,0.36,,0.004,0.02
743,0.41,0.72,0.25,0.007,0.02
744,0.25,,0.71,0.71,0.09
745,0.43,0.9,0.79,0.79,0.199
746,0.09,1.47,0.14,0.0,0.065
747,0.39,0.1,0.15,0.002,0.033
748,0.75,1.29,0.18,0.001,0.134
749,1.83,0.79,0.7,0.7,0.122
750,0.28,1.11,0.2,0.008,0.052
751,1.63,0.75,0.95,0.95,0.162
752,1.02,1.24,0.44,0.001,0.197
753,1.29,1.01,0.03,0.006,0.013
754,0.87,1.39,0.35,0.001,0.02
755,0.86,1.29,0.39,0.005,0.016
756,0.66,0.04,0.32,0.002,0.028
757,1.13,0.24,0.59,0.59,0.051
758,0.1,0.72,0.39,0.008,0.011
759,0.39,0.76,0.15,0.004,0.082
760,1.38,0.63,0.97,0.97,0.017
761,1.65,0.5,0.09,0.006,0.18
762,0.74,0.84,0.22,0.004,0.043
763,1.05,1.26,0.03,0.003,0.079
764,0.04,0.55,0.58,0.58,0.127
765,1.97,1.36,0.37,0.001,0.06
766,1.15,0.25,0.04,0.003,0.135
767,0.54,0.79,0.89,0.89,0.07
768,1.9,1.18,0.46,0.007,0.112
769,1.32,0.65,0.95,0.95,0.148
770,1.78,0.01,,0.75,0.153
771,1.91,0.96,0.14,0.002,
772,1.39,0.66,,0.7,0.126
773,0.24,0.83,0.8,0.8,0.194
774,1.93,0.78,0.55,,0.17
775,1.99,0.08,0.1,0.008,0.172
776,0.85,0.14,0.41,0.006,0.183
777,1.06,,0.15,0.001,0.189
778,0.26,0.82,0.74,0.74,0.197
779,0.98,0.33,0.49,0.007,0.062
780,0.05,0.4,0.74,0.74,0.012
781,1.41,1.08,0.38,0.002,0.15
782,1.42,1.29,0.28,0.002,0.01
783,1.71,1.35,0.85,0.85,0.1
784,0.13,1.42,0.48,0.006,0.182
785,0.99,0.31,0.01,0.007,0.19
786,1.71,0.03,0.6,0.6,0.193
787,1.23,1.48,0.57,0.57,0.106
788,0.86,0.11,0.85,0.85,0.101
789,0.65,0.2,0.45,0.005,0.013
790,1.86,1.05,0.58,0.58,0.006
791,0.63,1.03,0.18,0.004,0.031
792,0.49,1.38,0.31,0.009,0.115
793,0.31,0.74,0.55,0.55,0.093
794,0.72,0.09,0.11,0.003,0.166
795,0.13,1.04,0.26,0.001,0.157
796,1.48,0.95,0.91,0.91,0.073
797,0.47,1.02,0.4,0.0,0.02
798,0.04,1.3,0.03,0.007,0.11
799,1.66,1.08,0.32,,0.017
800,0.68,1.2,0.26,0.006,0.155
801,1.95,0.99,0.05,0.009,0.156
802,1.63,0.67,0.4,0.008,0.143
803,1.33,1.08,0.44,0.005,0.093
804,0.53,0.93,0.36,0.003,0.102
805,0.62,0.88,0.25,0.002,0.167
806,1.6,0.16,0.02,0.003,0.178
807,0.13,0.3,0.2,0.003,0.05
808,1.94,0.63,0.75,0.75,0.109
809,0.51,1.49,0.24,0.003,0.02
810,0.18,0.16,0.51,0.51,0.173
811,0.14,0.75,0.51,0.51,0.093
812,0.89,0.61,0.01,0.001,0.117
813,0.08,1.44,0.34,0.004,0.172
814,1.78,1.27,0.15,0.002,0.163
815,1.32,0.76,0.23,0.004,0.128
816,1.0,0.14,0.36,0.005,0.1
817,0.87,1.14,0.79,0.79,0.102
818,1.54,0.64,0.26,0.006,0.2
819,1.92,1.36,0.94,0.94,0.128
820,,0.53,0.02,0.001,0.028
821,0.98,0.27,0.2,0.005,0.012
822,0.91,0.65,0.51,0.51,0.023
823,0.39,0.33,0.83,0.83,0.079
824,1.65,0.8,0.54,0.54,0.163
825,0.77,0.81,0.2,0.007,0.148
826,0.48,1.36,0.73,0.73,0.164
827,1.04,0.63,0.09,0.007,0.179
828,1.37,1.46,0.59,0.59,0.141
829,0.27,0.61,0.65,0.65,0.137
830,1.05,0.96,0.32,0.008,0.049
831,0.05,0.03,0.24,0.002,0.011
832,1.5,0.68,0.8,0.8,0.193
833,0.78,1.5,0.36,0.0,0.004
834,0.58,1.07,0.52,0.52,0.103
835,0.56,0.8,0.29,0.001,0.186
836,0.36,0.55,0.03,0.005,0.19
837,0.77,0.79,0.37,0.001,0.147
838,1.45,0.65,0.57,0.57,0.19
839,0.17,0.59,0.4,0.008,0.153
840,0.02,0.47,0.28,0.005,0.141
841,1.25,0.51,0.69,0.69,0.111
842,1.83,0.77,0.67,0.67,0.089
843,1.98,0.99,0.41,0.0,0.099
844,1.48,0.91,0.74,0.74,0.074
845,0.06,1.03,0.44,0.007,0.142
846,1.64,1.39,0.3,0.005,0.156
847,0.75,1.25,0.28,0.002,0.083
848,0.81,1.27,0.53,0.53,0.057
849,1.67,0.02,0.1,0.007,0.028
850,0.44,0.67,0.59,0.59,0.042
851,0.48,1.48,0.06,0.001,0.117
852,1.76,0.33,0.17,0.0,0.126
853,1.73,0.06,0.42,0.003,0.064
854,0.98,0.79,0.72,0.72,0.115
855,0.04,0.61,0.21,0.001,0.089
856,1.38,0.13,0.36,0.002,0.117
857,0.16,1.01,0.76,0.76,0.168
858,1.49,1.45,0.42,0.009,0.159
859,0.96,1.45,0.44,0.007,0.039
860,0.99,0.87,0.39,0.002,0.17
861,1.19,0.26,0.72,0.72,0.034
862,0.28,1.16,0.85,0.85,0.005
863,0.75,0.34,0.98,0.98,0.104
864,0.93,1.44,0.53,0.53,0.199
865,0.77,1.23,0.79,0.79,0.112
866,0.31,1.1,0.06,0.005,0.072
867,1.95,1.29,0.05,0.002,0.088
868,0.8,0.63,0.48,0.007,0.112
869,1.88,1.34,0.28,0.003,0.116
870,0.42,,0.36,0.008,0.056
871,0.96,1.41,0.99,0.99,0.13
872,0.91,1.26,0.74,0.74,0.16
873,0.79,0.37,0.35,0.004,0.118
874,0.01,1.1,0.89,0.89,0.142
875,0.84,0.04,0.13,0.002,0.123
876,1.3,0.95,1.0,1.0,0.133
877,0.25,0.41,0.72,0.72,0.158
878,1.26,0.13,0.93,0.93,0.165
879,1.56,1.15,0.07,0.001,0.044
880,0.19,0.29,0.29,0.0,0.099
881,0.4,,0.2,0.008,0.022
882,1.37,1.39,,0.002,0.108
883,0.3,0.14,0.57,0.57,0.044
884,1.29,0.13,0.43,0.008,0.169
885,0.89,0.7,0.07,0.008,0.122
886,1.16,1.32,0.1,0.005,0.188
887,1.08,1.18,0.55,0.55,0.105
888,0.15,0.19,0.76,0.76,0.036
889,1.23,0.84,0.33,0.005,0.063
890,1.69,1.32,0.99,0.99,0.063
891,0.36,0.64,0.69,0.69,0.005
892,0.09,0.71,0.84,0.84,0.115
893,0.3,1.24,0.51,0.51,0.098
894,0.05,0.1,0.42,0.0,0.165
895,1.27,0.21,0.67,0.67,0.092
896,1.44,0.58,0.21,0.006,0.066
897,0.16,0.23,0.44,0.007,0.093
898,1.13,1.43,0.63,0.63,0.152
899,1.82,0.44,0.14,0.001,0.022
900,0.75,0.09,0.84,0.84,0.183
901,1.33,0.18,0.81,0.81,0.041
902,0.87,0.29,0.58,0.58,0.195
903,0.36,0.37,0.45,0.001,0.033
904,1.95,0.56,0.94,0.94,0.006
905,0.01,1.28,0.77,0.77,0.144
906,0.75,1.26,0.87,0.87,0.097
907,0.36,1.14,0.22,0.002,0.065
908,1.99,0.81,0.19,0.001,0.098
909,0.11,1.46,0.75,0.75,0.005
910,1.05,0.31,0.26,0.002,0.17
911,0.8,0.36,0.64,0.64,0.087
912,1.32,,0.6,0.6,0.072
913,0.68,1.36,0.74,0.74,0.126
914,0.82,0.1,0.79,0.79,0.044
915,1.32,0.59,0.18,0.008,0.122
916,0.04,0.6,0.39,0.009,0.016
917,1.43,0.19,0.92,0.92,0.097
918,0.75,0.2,0.69,0.69,0.104
919,1.33,0.58,0.22,0.002,0.168
920,1.43,1.34,0.76,0.76,0.069
921,1.77,0.06,0.75,0.75,0.098
922,1.93,0.45,0.63,0.63,0.124
923,0.85,1.21,0.4,0.002,0.103
924,0.2,0.64,0.18,0.007,0.132
925,1.95,1.16,0.94,0.94,0.047
926,0.1,1.08,0.99,0.99,0.002
927,1.72,0.49,0.6,0.6,0.093
928,0.4,1.09,0.65,0.65,0.14
929,1.74,,0.07,0.008,0.091
930,1.29,0.83,0.16,0.001,0.152
931,1.08,0.7,0.87,0.87,0.106
932,0.2,1.15,0.61,0.61,0.133
933,0.92,1.2,0.2,0.002,0.01
934,1.05,0.68,0.39,0.001,0.159
935,0.26,0.16,0.91,0.91,0.176
936,0.93,0.85,0.1,0.001,0.167
937,0.86,1.34,0.97,0.97,0.086
938,0.61,0.35,0.86,0.86,0.132
939,0.4,0.79,0.63,0.63,0.122
940,1.5,0.23,0.18,,0.166
941,0.4,0.59,0.61,0.61,0.04
942,0.18,0.91,0.78,0.78,
943,1.75,0.19,0.9,0.9,0.045
944,1.98,0.28,0.89,0.89,0.11
945,1.8,1.39,0.31,0.005,0.175
946,1.83,0.61,0.55,0.55,0.188
947,1.05,0.05,0.49,0.005,0.1
948,0.12,0.48,0.93,0.93,0.142
949,0.49,1.15,0.7,0.7,0.081
950,1.77,0.94,0.22,0.006,0.126
951,0.46,0.33,0.92,0.92,0.025
952,0.49,1.39,0.75,0.75,0.064
953,0.58,0.34,0.53,0.53,0.183
954,1.94,1.31,0.69,0.69,0.194
955,1.76,0.74,0.32,0.002,0.048
956,0.77,0.46,0.19,0.001,0.059
957,1.14,0.83,0.36,0.004,0.065
958,1.08,0.52,0.74,0.74,0.067
959,1.33,0.58,0.26,0.009,0.022
960,1.57,1.25,0.06,0.007,0.194
961,0.18,0.37,0.03,0.008,0.081
962,1.34,0.5,0.86,0.86,0.087
963,1.14,0.58,0.84,0.84,0.054
964,1.04,0.09,0.83,0.83,0.151
965,1.94,1.49,0.15,0.001,0.114
966,1.22,0.33,0.23,0.001,0.151
967,0.42,0.71,0.85,0.85,0.079
968,1.82,0.56,0.95,0.95,0.154
969,1.29,0.85,0.65,0.65,0.121
970,1.11,0.61,0.73,0.73,0.178
971,1.92,0.29,0.02,0.007,0.192
972,1.1,0.22,0.21,0.005,0.192
973,1.93,0.23,0.42,0.006,0.195
974,0.95,1.46,0.08,0.008,0.181
975,0.76,1.05,0.4,0.007,0.185
976,1.71,0.8,0.13,0.009,0.176
977,1.68,0.76,0.78,0.78,0.163
978,1.86,0.26,0.55,0.55,0.013
979,1.26,0.59,0.75,0.75,0.011
980,1.03,0.27,0.19,0.003,0.163
981,1.33,0.35,0.89,0.89,0.165
982,1.83,1.3,0.12,0.003,0.129
983,1.44,0.79,0.15,0.008,0.198
984,1.45,0.89,0.21,0.002,0.177
985,1.8,1.46,0.88,0.88,0.088
986,2.0,1.0,0.79,0.79,0.169
987,1.67,0.47,0.54,0.54,0.141
988,1.87,1.14,0.41,0.001,0.033
989,1.23,0.35,0.89,0.89,0.12
990,0.83,0.48,0.43,0.003,0.124
991,0.79,1.43,0.51,0.51,0.094
992,0.7,0.74,0.95,0.95,0.124
993,1.03,1.15,0.5,0.5,0.099
994,0.67,0.04,0.22,0.009,0.107
995,1.24,0.79,0.7,0.7,0.113
996,1.56,1.07,0.19,0.0,0.103
997,1.08,1.14,0.91,0.91,0.135
998,0.79,0.15,0.62,0.62,0.106
999,1.2,1.31,0.91,0.91,0.027
1000,1.64,0.29,0.31,0.005,0.177
1001,1.39,0.7,0.94,0.94,0.116
1002,0.97,0.06,0.12,0.008,0.189
1003,0.4,0.79,0.43,0.005,0.033
1004,0.59,0.05,0.2,0.001,0.168
1005,1.87,1.16,0.43,0.009,0.121
1006,1.98,0.09,1.0,1.0,0.1
1007,0.27,0.41,0.67,0.67,0.067
1008,0.67,1.26,0.38,0.007,0.105
1009,0.62,1.1,0.12,0.001,0.036
1010,0.15,1.1,0.5,0.5,0.194
1011,1.55,0.14,0.89,0.89,0.041
1012,0.01,0.56,0.43,0.002,0.185
1013,0.75,0.96,0.64,0.64,0.1
1014,1.0,0.36,0.3,0.005,0.092
1015,1.63,0.57,0.68,0.68,0.151
1016,1.74,0.52,0.2,0.003,0.105
1017,0.72,1.45,0.19,0.006,0.11
1018,0.73,1.43,0.84,0.84,0.081
1019,0.74,0.54,0.45,0.0,0.181
1020,0.72,1.32,0.99,0.99,0.087
1021,0.43,0.69,0.01,0.004,0.15
1022,1.28,0.99,0.42,0.002,0.165
1023,1.38,0.84,0.15,0.001,0.165
1024,1.57,0.13,0.59,0.59,0.086
1025,1.54,1.14,0.68,0.68,0.136
1026,1.76,0.4,0.27,0.0,0.152
1027,0.45,1.31,0.42,0.005,0.103
1028,0.02,0.31,0.47,0.004,0.17
1029,1.74,1.49,0.13,0.007,0.102
1030,1.49,0.58,0.8,0.8,0.121
1031,0.99,1.12,0.02,0.006,0.004
1032,0.13,0.8,0.69,0.69,0.104
1033,0.82,1.16,0.29,0.005,0.198
1034,0.55,0.96,0.11,0.001,0.131
1035,1.28,0.87,0.9,0.9,0.024
1036,1.89,0.9,0.98,0.98,0.002
1037,1.76,0.83,0.21,0.002,0.03
