Id,math score,reading score,writing score
2061073,,51.0,48.0
2061074,61.0,57.0,56.0
2061075,49.0,49.0,41.0
2061076,44.0,41.0,
2061077,30.0,26.0,22.0
2061078,80.0,78.0,81.0
2061079,61.0,74.0,72.0
2061080,62.0,68.0,68.0
2061081,,,50.0
2061082,49.0,45.0,45.0
2061083,50.0,47.0,54.0
2061084,72.0,64.0,63.0
2061085,42.0,39.0,34.0
2061086,73.0,80.0,82.0
2061087,76.0,83.0,88.0
2061088,71.0,71.0,74.0
2061089,58.0,70.0,67.0
2061090,73.0,86.0,82.0
2061091,65.0,72.0,74.0
2061092,27.0,34.0,36.0
2061093,71.0,79.0,71.0
2061094,43.0,45.0,50.0
2061095,79.0,86.0,92.0
2061096,78.0,81.0,
2061097,65.0,66.0,62.0
2061098,63.0,72.0,70.0
2061099,58.0,67.0,62.0
2061100,65.0,67.0,62.0
2061101,79.0,67.0,67.0
2061102,68.0,74.0,74.0
2061103,85.0,91.0,89.0
2061104,60.0,44.0,47.0
2061105,98.0,86.0,90.0
2061106,58.0,67.0,72.0
2061107,87.0,100.0,100.0
2061108,66.0,63.0,64.0
2061109,,76.0,70.0
2061110,70.0,64.0,72.0
2061111,77.0,89.0,98.0
2061112,62.0,55.0,49.0
2061113,54.0,53.0,47.0
2061114,51.0,58.0,54.0
2061115,99.0,100.0,100.0
2061116,84.0,77.0,74.0
2061117,75.0,85.0,82.0
2061118,78.0,82.0,79.0
2061119,51.0,63.0,61.0
2061120,55.0,69.0,65.0
2061121,79.0,92.0,89.0
2061122,91.0,89.0,92.0
2061123,88.0,93.0,93.0
2061124,63.0,57.0,56.0
2061125,83.0,80.0,73.0
2061126,87.0,95.0,86.0
2061127,72.0,68.0,67.0
2061128,65.0,,74.0
2061129,82.0,82.0,74.0
2061130,51.0,49.0,51.0
2061131,89.0,84.0,82.0
2061132,53.0,37.0,40.0
2061133,87.0,74.0,70.0
2061134,75.0,81.0,84.0
2061135,74.0,79.0,75.0
2061136,58.0,55.0,48.0
2061137,,54.0,41.0
2061138,70.0,55.0,56.0
2061139,59.0,66.0,67.0
2061140,71.0,61.0,69.0
2061141,76.0,72.0,71.0
2061142,59.0,62.0,64.0
2061143,42.0,55.0,54.0
2061144,57.0,43.0,47.0
2061145,88.0,73.0,78.0
2061146,22.0,39.0,33.0
2061147,88.0,84.0,75.0
2061148,73.0,68.0,66.0
2061149,68.0,75.0,
2061150,100.0,100.0,93.0
2061151,62.0,67.0,69.0
2061152,77.0,67.0,68.0
2061153,59.0,70.0,66.0
2061154,54.0,49.0,47.0
2061155,62.0,67.0,61.0
2061156,70.0,89.0,88.0
2061157,66.0,,
2061158,60.0,60.0,60.0
2061159,61.0,86.0,87.0
2061160,,62.0,64.0
2061161,82.0,78.0,74.0
2061162,75.0,88.0,85.0
2061163,49.0,53.0,52.0
2061164,52.0,53.0,49.0
2061165,81.0,92.0,91.0
2061166,96.0,100.0,100.0
2061167,53.0,51.0,51.0
2061168,58.0,76.0,78.0
2061169,68.0,83.0,78.0
2061170,67.0,75.0,70.0
2061171,72.0,73.0,74.0
2061172,94.0,88.0,78.0
2061173,79.0,86.0,81.0
2061174,63.0,67.0,70.0
2061175,43.0,51.0,54.0
2061176,81.0,91.0,87.0
2061177,46.0,54.0,58.0
2061178,71.0,77.0,77.0
2061179,52.0,70.0,62.0
2061180,97.0,,
2061181,62.0,68.0,75.0
2061182,46.0,64.0,66.0
2061183,50.0,50.0,47.0
2061184,65.0,69.0,70.0
2061185,45.0,52.0,49.0
2061186,65.0,67.0,65.0
2061187,80.0,76.0,65.0
2061188,62.0,66.0,68.0
2061189,48.0,52.0,
2061190,77.0,,87.0
2061191,66.0,65.0,69.0
2061192,76.0,83.0,79.0
2061193,62.0,64.0,66.0
2061194,77.0,62.0,62.0
2061195,69.0,84.0,
2061196,61.0,55.0,52.0
2061197,59.0,69.0,65.0
2061198,55.0,56.0,51.0
2061199,45.0,53.0,55.0
2061200,78.0,79.0,76.0
2061201,67.0,84.0,86.0
2061202,65.0,81.0,77.0
2061203,69.0,77.0,69.0
2061204,57.0,69.0,68.0
2061205,59.0,41.0,42.0
2061206,74.0,71.0,78.0
2061207,82.0,62.0,
2061208,81.0,80.0,76.0
2061209,74.0,81.0,76.0
2061210,58.0,61.0,66.0
2061211,80.0,79.0,79.0
2061212,35.0,28.0,27.0
2061213,42.0,62.0,60.0
2061214,60.0,51.0,56.0
2061215,87.0,91.0,81.0
2061216,84.0,83.0,75.0
2061217,83.0,86.0,88.0
2061218,34.0,42.0,39.0
2061219,66.0,77.0,70.0
2061220,,56.0,56.0
2061221,56.0,68.0,74.0
2061222,87.0,,73.0
2061223,,65.0,62.0
2061224,86.0,80.0,75.0
2061225,52.0,66.0,73.0
2061226,45.0,56.0,54.0
2061227,72.0,,71.0
2061228,57.0,50.0,54.0
2061229,68.0,72.0,64.0
2061230,88.0,95.0,94.0
2061231,76.0,64.0,66.0
2061232,46.0,43.0,42.0
2061233,67.0,86.0,83.0
2061234,92.0,87.0,78.0
2061235,83.0,82.0,84.0
2061236,80.0,75.0,77.0
2061237,63.0,66.0,67.0
2061238,64.0,60.0,74.0
2061239,54.0,52.0,51.0
2061240,84.0,80.0,80.0
2061241,73.0,68.0,66.0
2061242,80.0,83.0,83.0
2061243,56.0,52.0,55.0
2061244,59.0,51.0,43.0
2061245,75.0,74.0,69.0
2061246,85.0,76.0,71.0
2061247,89.0,76.0,74.0
2061248,58.0,70.0,68.0
2061249,65.0,64.0,62.0
2061250,68.0,60.0,53.0
2061251,47.0,49.0,49.0
2061252,71.0,83.0,83.0
2061253,60.0,70.0,70.0
2061254,80.0,80.0,72.0
2061255,54.0,52.0,52.0
2061256,62.0,,70.0
2061257,64.0,73.0,68.0
2061258,78.0,77.0,77.0
2061259,70.0,75.0,
2061260,65.0,81.0,81.0
2061261,64.0,79.0,77.0
2061262,79.0,79.0,78.0
2061263,,50.0,51.0
2061264,99.0,93.0,90.0
2061265,76.0,73.0,68.0
2061266,59.0,42.0,41.0
2061267,63.0,75.0,81.0
2061268,69.0,72.0,77.0
2061269,88.0,92.0,95.0
2061270,71.0,76.0,70.0
2061271,69.0,63.0,61.0
2061272,,49.0,42.0
2061273,47.0,,
2061274,65.0,70.0,71.0
2061275,88.0,85.0,
2061276,83.0,78.0,73.0
2061277,85.0,92.0,93.0
2061278,59.0,63.0,75.0
2061279,65.0,86.0,80.0
2061280,73.0,56.0,57.0
2061281,53.0,52.0,
2061282,45.0,,46.0
2061283,73.0,79.0,84.0
2061284,70.0,78.0,78.0
2061285,37.0,46.0,46.0
2061286,81.0,82.0,82.0
2061287,97.0,82.0,88.0
2061288,67.0,89.0,82.0
2061289,88.0,75.0,76.0
2061290,77.0,76.0,77.0
2061291,76.0,70.0,68.0
2061292,,73.0,70.0
2061293,63.0,60.0,57.0
2061294,65.0,73.0,75.0
2061295,78.0,77.0,80.0
2061296,67.0,62.0,60.0
2061297,46.0,41.0,43.0
2061298,71.0,74.0,68.0
2061299,,46.0,50.0
2061300,90.0,87.0,75.0
2061301,81.0,,81.0
2061302,56.0,54.0,52.0
2061303,67.0,84.0,81.0
2061304,80.0,76.0,64.0
2061305,74.0,75.0,83.0
2061306,69.0,67.0,69.0
2061307,99.0,87.0,81.0
2061308,51.0,52.0,44.0
2061309,53.0,71.0,67.0
2061310,49.0,57.0,52.0
2061311,73.0,76.0,80.0
2061312,66.0,60.0,57.0
2061313,67.0,61.0,68.0
2061314,68.0,67.0,69.0
2061315,59.0,64.0,75.0
2061316,71.0,66.0,
2061317,77.0,82.0,91.0
2061318,,72.0,78.0
2061319,63.0,71.0,69.0
2061320,56.0,65.0,63.0
2061321,,79.0,84.0
2061322,75.0,86.0,79.0
2061323,71.0,81.0,80.0
2061324,43.0,53.0,53.0
2061325,41.0,46.0,43.0
2061326,82.0,90.0,94.0
2061327,61.0,61.0,62.0
2061328,,23.0,19.0
2061329,82.0,75.0,77.0
2061330,41.0,55.0,51.0
2061331,71.0,,61.0
2061332,47.0,37.0,35.0
2061333,62.0,56.0,53.0
2061334,90.0,78.0,81.0
2061335,83.0,93.0,95.0
2061336,61.0,68.0,66.0
2061337,76.0,70.0,69.0
2061338,49.0,,43.0
2061339,24.0,,27.0
2061340,35.0,55.0,60.0
2061341,58.0,61.0,52.0
2061342,,73.0,63.0
2061343,69.0,76.0,74.0
2061344,67.0,72.0,67.0
2061345,79.0,73.0,67.0
2061346,72.0,80.0,75.0
2061347,62.0,61.0,57.0
2061348,77.0,94.0,95.0
2061349,75.0,74.0,66.0
2061350,87.0,74.0,76.0
2061351,52.0,,69.0
2061352,66.0,,52.0
2061353,63.0,78.0,80.0
2061354,46.0,58.0,57.0
2061355,59.0,71.0,70.0
2061356,61.0,72.0,70.0
2061357,63.0,61.0,61.0
2061358,42.0,66.0,69.0
2061359,59.0,62.0,61.0
2061360,80.0,90.0,89.0
2061361,58.0,62.0,59.0
2061362,85.0,84.0,
2061363,52.0,58.0,
2061364,27.0,34.0,32.0
2061365,59.0,60.0,
2061366,49.0,58.0,60.0
2061367,69.0,58.0,53.0
2061368,61.0,66.0,61.0
2061369,44.0,64.0,58.0
2061370,73.0,84.0,85.0
2061371,84.0,77.0,71.0
2061372,45.0,73.0,70.0
2061373,74.0,74.0,72.0
2061374,82.0,97.0,96.0
2061375,59.0,70.0,73.0
2061376,46.0,43.0,41.0
2061377,,90.0,82.0
2061378,85.0,95.0,100.0
2061379,71.0,83.0,77.0
2061380,66.0,64.0,62.0
2061381,80.0,86.0,83.0
2061382,87.0,100.0,95.0
2061383,79.0,81.0,71.0
2061384,38.0,49.0,45.0
2061385,38.0,43.0,43.0
2061386,67.0,76.0,75.0
2061387,64.0,73.0,70.0
2061388,57.0,78.0,67.0
2061389,62.0,64.0,64.0
2061390,73.0,70.0,75.0
2061391,73.0,67.0,59.0
2061392,77.0,68.0,77.0
2061393,76.0,,67.0
2061394,57.0,54.0,56.0
2061395,65.0,74.0,
2061396,48.0,45.0,41.0
2061397,50.0,67.0,63.0
2061398,85.0,89.0,95.0
2061399,74.0,63.0,57.0
2061400,60.0,59.0,54.0
2061401,59.0,54.0,67.0
2061402,53.0,,43.0
2061403,49.0,65.0,55.0
2061404,88.0,,100.0
2061405,54.0,59.0,62.0
2061406,63.0,73.0,68.0
2061407,65.0,65.0,63.0
2061408,82.0,80.0,77.0
2061409,52.0,57.0,56.0
2061410,87.0,84.0,85.0
2061411,70.0,71.0,74.0
2061412,84.0,83.0,78.0
2061413,71.0,66.0,60.0
2061414,63.0,67.0,67.0
2061415,51.0,72.0,
2061416,84.0,73.0,69.0
2061417,71.0,74.0,68.0
2061418,74.0,73.0,67.0
2061419,68.0,59.0,62.0
2061420,57.0,56.0,54.0
2061421,82.0,93.0,93.0
2061422,57.0,58.0,64.0
2061423,47.0,58.0,67.0
2061424,59.0,85.0,80.0
2061425,41.0,39.0,34.0
2061426,62.0,67.0,62.0
2061427,86.0,83.0,86.0
2061428,69.0,71.0,65.0
2061429,65.0,59.0,53.0
2061430,68.0,63.0,54.0
2061431,64.0,66.0,59.0
2061432,61.0,72.0,70.0
2061433,61.0,56.0,55.0
2061434,47.0,59.0,50.0
2061435,,66.0,66.0
2061436,50.0,48.0,53.0
2061437,75.0,68.0,64.0
2061438,75.0,66.0,73.0
2061439,70.0,56.0,51.0
2061440,89.0,88.0,82.0
2061441,67.0,81.0,
2061442,78.0,81.0,
2061443,59.0,,69.0
2061444,73.0,83.0,76.0
2061445,79.0,82.0,73.0
2061446,67.0,74.0,77.0
2061447,69.0,66.0,60.0
2061448,86.0,81.0,80.0
2061449,47.0,46.0,42.0
2061450,81.0,73.0,72.0
2061451,64.0,85.0,85.0
2061452,100.0,92.0,97.0
2061453,65.0,77.0,74.0
2061454,65.0,58.0,49.0
2061455,53.0,61.0,62.0
2061456,37.0,56.0,47.0
2061457,79.0,89.0,89.0
2061458,53.0,54.0,48.0
2061459,100.0,100.0,100.0
2061460,72.0,65.0,68.0
2061461,53.0,58.0,55.0
2061462,54.0,54.0,45.0
2061463,71.0,70.0,76.0
2061464,77.0,90.0,91.0
2061465,75.0,58.0,62.0
2061466,84.0,87.0,91.0
2061467,26.0,31.0,38.0
2061468,72.0,67.0,65.0
2061469,77.0,88.0,85.0
2061470,91.0,74.0,76.0
2061471,83.0,85.0,90.0
2061472,63.0,69.0,74.0
2061473,68.0,86.0,84.0
2061474,59.0,67.0,61.0
2061475,90.0,90.0,91.0
2061476,71.0,76.0,83.0
2061477,76.0,62.0,66.0
2061478,80.0,68.0,72.0
2061479,55.0,64.0,70.0
2061480,76.0,,67.0
2061481,,71.0,68.0
2061482,52.0,59.0,56.0
2061483,68.0,68.0,61.0
2061484,59.0,52.0,
2061485,49.0,52.0,54.0
2061486,70.0,74.0,71.0
2061487,61.0,47.0,56.0
2061488,60.0,,74.0
2061489,64.0,53.0,57.0
2061490,79.0,82.0,82.0
2061491,,85.0,
2061492,64.0,,70.0
2061493,83.0,83.0,90.0
2061494,81.0,88.0,90.0
2061495,54.0,64.0,68.0
2061496,68.0,64.0,66.0
2061497,54.0,48.0,52.0
2061498,59.0,78.0,76.0
2061499,66.0,69.0,68.0
2061500,76.0,71.0,72.0
2061501,74.0,79.0,82.0
2061502,94.0,87.0,92.0
2061503,63.0,61.0,54.0
2061504,95.0,89.0,
2061505,40.0,59.0,54.0
2061506,82.0,82.0,
2061507,68.0,70.0,66.0
2061508,55.0,59.0,54.0
2061509,79.0,78.0,77.0
2061510,86.0,92.0,87.0
2061511,,71.0,73.0
2061512,64.0,50.0,43.0
2061513,62.0,49.0,52.0
2061514,54.0,61.0,62.0
2061515,77.0,97.0,94.0
2061516,76.0,87.0,85.0
2061517,74.0,,84.0
2061518,66.0,74.0,
2061519,66.0,78.0,78.0
2061520,67.0,78.0,79.0
2061521,71.0,,52.0
2061522,91.0,86.0,84.0
2061523,69.0,58.0,57.0
2061524,54.0,59.0,50.0
2061525,53.0,52.0,49.0
2061526,68.0,60.0,59.0
2061527,56.0,61.0,60.0
2061528,36.0,53.0,43.0
2061529,29.0,41.0,47.0
2061530,62.0,74.0,70.0
2061531,68.0,67.0,73.0
2061532,47.0,54.0,53.0
2061533,62.0,61.0,58.0
2061534,79.0,,94.0
2061535,73.0,69.0,68.0
2061536,66.0,83.0,83.0
2061537,51.0,60.0,58.0
2061538,51.0,66.0,62.0
2061539,85.0,66.0,71.0
2061540,97.0,92.0,86.0
2061541,75.0,69.0,68.0
2061542,79.0,82.0,80.0
2061543,81.0,,79.0
2061544,82.0,95.0,89.0
2061545,64.0,63.0,66.0
2061546,,83.0,80.0
2061547,92.0,100.0,97.0
2061548,72.0,67.0,64.0
2061549,62.0,67.0,64.0
2061550,,72.0,69.0
2061551,79.0,76.0,65.0
2061552,87.0,90.0,88.0
2061553,40.0,48.0,50.0
2061554,77.0,62.0,64.0
2061555,53.0,45.0,40.0
2061556,32.0,39.0,33.0
2061557,55.0,72.0,79.0
2061558,61.0,67.0,66.0
2061559,53.0,70.0,70.0
2061560,73.0,66.0,62.0
2061561,74.0,75.0,79.0
2061562,63.0,74.0,74.0
2061563,96.0,90.0,92.0
2061564,63.0,80.0,80.0
2061565,48.0,51.0,46.0
2061566,48.0,43.0,45.0
2061567,92.0,100.0,100.0
2061568,61.0,71.0,78.0
2061569,63.0,48.0,47.0
2061570,68.0,68.0,67.0
2061571,71.0,75.0,
2061572,91.0,96.0,92.0
2061573,53.0,62.0,56.0
2061574,50.0,66.0,64.0
2061575,74.0,81.0,71.0
2061576,40.0,55.0,53.0
2061577,61.0,51.0,52.0
2061578,81.0,91.0,89.0
2061579,48.0,56.0,58.0
2061580,53.0,61.0,68.0
2061581,81.0,97.0,96.0
2061582,77.0,79.0,80.0
2061583,63.0,73.0,78.0
2061584,73.0,75.0,80.0
2061585,69.0,77.0,
2061586,65.0,76.0,76.0
2061587,55.0,73.0,
2061588,44.0,63.0,62.0
2061589,54.0,64.0,65.0
2061590,48.0,66.0,65.0
2061591,58.0,57.0,54.0
2061592,71.0,62.0,50.0
2061593,68.0,68.0,64.0
2061594,74.0,76.0,73.0
2061595,92.0,100.0,99.0
2061596,56.0,79.0,72.0
2061597,30.0,24.0,15.0
2061598,53.0,54.0,48.0
2061599,69.0,77.0,73.0
2061600,65.0,82.0,81.0
2061601,54.0,60.0,63.0
2061602,29.0,29.0,30.0
2061603,76.0,78.0,80.0
2061604,60.0,57.0,51.0
2061605,84.0,89.0,90.0
2061606,75.0,72.0,62.0
2061607,85.0,84.0,
2061608,40.0,58.0,54.0
2061609,61.0,64.0,62.0
2061610,58.0,63.0,65.0
2061611,69.0,60.0,63.0
2061612,58.0,59.0,66.0
2061613,94.0,90.0,91.0
2061614,65.0,77.0,74.0
2061615,82.0,,93.0
2061616,60.0,68.0,72.0
2061617,37.0,45.0,38.0
2061618,88.0,78.0,83.0
2061619,95.0,81.0,84.0
2061620,65.0,73.0,68.0
2061621,35.0,61.0,54.0
2061622,62.0,63.0,56.0
2061623,58.0,51.0,52.0
2061624,100.0,96.0,86.0
2061625,,58.0,62.0
2061626,100.0,97.0,99.0
2061627,69.0,70.0,63.0
2061628,61.0,48.0,46.0
2061629,49.0,57.0,46.0
2061630,44.0,51.0,55.0
2061631,67.0,64.0,70.0
2061632,,60.0,65.0
2061633,66.0,74.0,81.0
2061634,75.0,88.0,85.0
2061635,84.0,84.0,80.0
2061636,71.0,74.0,64.0
2061637,67.0,80.0,81.0
2061638,80.0,92.0,88.0
2061639,86.0,76.0,74.0
2061640,76.0,74.0,73.0
2061641,41.0,52.0,51.0
2061642,74.0,88.0,90.0
2061643,72.0,81.0,79.0
2061644,74.0,79.0,80.0
2061645,,65.0,60.0
2061646,65.0,81.0,81.0
2061647,59.0,70.0,65.0
2061648,64.0,62.0,
2061649,50.0,53.0,55.0
2061650,69.0,79.0,81.0
2061651,51.0,56.0,53.0
2061652,68.0,80.0,76.0
2061653,85.0,86.0,98.0
2061654,65.0,70.0,74.0
2061655,73.0,79.0,79.0
2061656,62.0,67.0,67.0
2061657,77.0,67.0,64.0
2061658,,66.0,61.0
2061659,43.0,,58.0
2061660,90.0,87.0,85.0
2061661,74.0,77.0,73.0
2061662,73.0,66.0,63.0
2061663,55.0,71.0,69.0
2061664,65.0,69.0,67.0
2061665,80.0,63.0,63.0
2061666,50.0,60.0,60.0
2061667,63.0,73.0,
2061668,77.0,,87.0
2061669,73.0,74.0,61.0
2061670,81.0,72.0,77.0
2061671,66.0,,68.0
2061672,52.0,57.0,50.0
2061673,69.0,78.0,76.0
2061674,65.0,84.0,84.0
2061675,69.0,77.0,78.0
2061676,50.0,64.0,66.0
2061677,73.0,78.0,76.0
2061678,70.0,82.0,76.0
2061679,81.0,75.0,
2061680,63.0,61.0,60.0
2061681,67.0,72.0,74.0
2061682,60.0,68.0,60.0
2061683,62.0,55.0,54.0
2061684,29.0,40.0,44.0
2061685,62.0,66.0,68.0
2061686,94.0,99.0,100.0
2061687,85.0,75.0,68.0
2061688,77.0,78.0,73.0
2061689,53.0,58.0,44.0
2061690,,90.0,83.0
2061691,49.0,53.0,53.0
2061692,73.0,76.0,78.0
2061693,,74.0,81.0
2061694,77.0,77.0,73.0
2061695,49.0,63.0,56.0
2061696,79.0,89.0,86.0
2061697,75.0,82.0,90.0
2061698,59.0,72.0,70.0
2061699,57.0,78.0,79.0
2061700,66.0,66.0,59.0
2061701,79.0,81.0,
2061702,57.0,67.0,72.0
2061703,87.0,84.0,87.0
2061704,63.0,64.0,67.0
2061705,59.0,63.0,
2061706,62.0,72.0,65.0
2061707,46.0,34.0,36.0
2061708,66.0,59.0,52.0
2061709,89.0,87.0,79.0
2061710,42.0,,58.0
2061711,93.0,84.0,90.0
2061712,80.0,85.0,85.0
2061713,98.0,100.0,99.0
2061714,81.0,81.0,84.0
2061715,60.0,70.0,74.0
2061716,76.0,94.0,87.0
2061717,73.0,78.0,72.0
2061718,,96.0,99.0
2061719,76.0,76.0,74.0
2061720,91.0,73.0,80.0
2061721,62.0,72.0,
2061722,55.0,59.0,59.0
2061723,74.0,90.0,88.0
2061724,50.0,48.0,42.0
2061725,47.0,43.0,41.0
2061726,81.0,74.0,71.0
2061727,65.0,75.0,77.0
2061728,68.0,51.0,57.0
2061729,73.0,,84.0
2061730,53.0,39.0,37.0
2061731,68.0,77.0,80.0
2061732,55.0,46.0,43.0
2061733,87.0,89.0,94.0
2061734,55.0,47.0,44.0
2061735,53.0,58.0,
2061736,67.0,57.0,59.0
2061737,92.0,79.0,84.0
2061738,,66.0,73.0
2061739,81.0,71.0,73.0
2061740,61.0,,55.0
2061741,80.0,73.0,72.0
2061742,37.0,57.0,56.0
2061743,81.0,84.0,82.0
2061744,59.0,73.0,72.0
2061745,55.0,55.0,47.0
2061746,72.0,79.0,74.0
2061747,69.0,75.0,71.0
2061748,69.0,64.0,68.0
2061749,50.0,60.0,59.0
2061750,87.0,84.0,86.0
2061751,71.0,69.0,68.0
2061752,68.0,72.0,65.0
2061753,79.0,77.0,75.0
2061754,77.0,90.0,85.0
2061755,58.0,55.0,53.0
2061756,84.0,95.0,92.0
2061757,55.0,58.0,52.0
2061758,70.0,68.0,72.0
2061759,,59.0,
2061760,69.0,77.0,77.0
2061761,53.0,72.0,64.0
2061762,48.0,58.0,
2061763,78.0,81.0,86.0
2061764,62.0,62.0,63.0
2061765,60.0,63.0,59.0
2061766,74.0,72.0,72.0
2061767,,75.0,77.0
2061768,76.0,62.0,60.0
2061769,68.0,71.0,75.0
2061770,58.0,60.0,57.0
2061771,52.0,48.0,49.0
2061772,75.0,73.0,74.0
2061773,52.0,67.0,72.0
2061774,62.0,78.0,79.0
2061775,66.0,65.0,60.0
2061776,49.0,58.0,55.0
2061777,66.0,72.0,
2061778,35.0,44.0,43.0
2061779,72.0,79.0,82.0
2061780,94.0,85.0,82.0
2061781,46.0,56.0,57.0
2061782,77.0,90.0,84.0
2061783,76.0,85.0,82.0
2061784,52.0,59.0,62.0
2061785,91.0,81.0,
2061786,32.0,51.0,44.0
2061787,72.0,79.0,77.0
2061788,19.0,38.0,32.0
2061789,68.0,65.0,61.0
2061790,52.0,65.0,61.0
2061791,48.0,62.0,60.0
2061792,60.0,,70.0
2061793,66.0,74.0,69.0
2061794,89.0,84.0,77.0
2061795,42.0,52.0,51.0
2061796,57.0,68.0,73.0
2061797,70.0,70.0,70.0
2061798,70.0,,81.0
2061799,69.0,60.0,54.0
2061800,52.0,55.0,57.0
2061801,67.0,73.0,68.0
2061802,76.0,,73.0
2061803,87.0,94.0,95.0
2061804,,85.0,87.0
2061805,,76.0,78.0
2061806,75.0,81.0,74.0
2061807,64.0,74.0,75.0
2061808,41.0,45.0,40.0
2061809,90.0,75.0,69.0
2061810,59.0,54.0,51.0
2061811,51.0,31.0,36.0
2061812,45.0,47.0,49.0
2061813,54.0,64.0,67.0
2061814,87.0,84.0,76.0
2061815,72.0,80.0,83.0
2061816,94.0,86.0,87.0
2061817,45.0,,64.0
2061818,61.0,70.0,76.0
2061819,60.0,72.0,68.0
2061820,77.0,91.0,88.0
2061821,85.0,90.0,92.0
2061822,78.0,90.0,93.0
2061823,49.0,52.0,51.0
2061824,71.0,87.0,82.0
2061825,48.0,58.0,52.0
2061826,62.0,67.0,58.0
2061827,56.0,68.0,70.0
2061828,65.0,69.0,76.0
2061829,69.0,86.0,81.0
2061830,68.0,54.0,53.0
2061831,61.0,60.0,57.0
2061832,74.0,86.0,89.0
2061833,64.0,60.0,58.0
2061834,77.0,82.0,89.0
2061835,58.0,50.0,45.0
2061836,60.0,64.0,74.0
2061837,,64.0,57.0
2061838,75.0,82.0,79.0
2061839,58.0,57.0,53.0
2061840,66.0,77.0,73.0
2061841,39.0,52.0,46.0
2061842,64.0,58.0,51.0
2061843,23.0,44.0,36.0
2061844,74.0,77.0,76.0
2061845,40.0,65.0,64.0
2061846,90.0,85.0,84.0
2061847,91.0,85.0,85.0
2061848,64.0,54.0,50.0
2061849,59.0,72.0,68.0
2061850,80.0,75.0,69.0
2061851,71.0,67.0,67.0
2061852,61.0,68.0,63.0
2061853,87.0,85.0,93.0
2061854,82.0,67.0,61.0
2061855,62.0,64.0,55.0
2061856,97.0,97.0,96.0
2061857,75.0,68.0,65.0
2061858,65.0,79.0,81.0
2061859,52.0,49.0,46.0
2061860,87.0,73.0,72.0
2061861,53.0,62.0,53.0
2061862,81.0,86.0,87.0
2061863,39.0,42.0,38.0
2061864,71.0,71.0,80.0
2061865,97.0,93.0,91.0
2061866,82.0,82.0,88.0
2061867,59.0,53.0,52.0
2061868,61.0,42.0,41.0
2061869,78.0,74.0,72.0
2061870,49.0,,51.0
2061871,59.0,58.0,47.0
2061872,70.0,72.0,76.0
2061873,82.0,84.0,78.0
2061874,90.0,,82.0
2061875,43.0,62.0,61.0
2061876,80.0,64.0,66.0
2061877,81.0,82.0,84.0
2061878,57.0,61.0,54.0
2061879,59.0,72.0,80.0
2061880,64.0,76.0,74.0
2061881,63.0,64.0,66.0
2061882,71.0,70.0,70.0
2061883,64.0,73.0,71.0
2061884,55.0,46.0,44.0
2061885,51.0,51.0,54.0
2061886,,76.0,80.0
2061887,93.0,,
2061888,54.0,72.0,59.0
2061889,69.0,65.0,74.0
2061890,44.0,51.0,48.0
2061891,86.0,85.0,91.0
2061892,85.0,92.0,85.0
2061893,50.0,67.0,73.0
2061894,88.0,74.0,75.0
2061895,59.0,62.0,69.0
2061896,32.0,34.0,38.0
2061897,36.0,29.0,27.0
