Unnamed: 0,Hindi,English,Science,Geograpgy,History,Maths
320,16,26,63,,,
321,93,96,22,,,
322,75,15,94,,,
323,72,30,75,,,
324,50,65,58,,,
325,68,24,21,,,
326,1,16,69,,,
327,16,30,50,,,
328,65,4,33,,,
329,92,28,99,,,
330,35,2,22,,,
331,6,61,0,,,
332,92,26,56,,,
333,30,29,61,,,
334,21,40,43,,,
335,89,14,57,,,
336,55,57,22,,,
337,81,83,84,,,
338,68,40,54,,,
339,98,61,13,,,
340,79,19,72,,,
341,64,73,77,,,
342,40,7,6,,,
343,88,79,45,,,
344,94,53,65,,,
345,43,7,58,,,
346,33,79,72,,,
347,99,27,88,,,
348,22,42,68,,,
349,70,40,45,,,
350,26,18,32,,,
351,98,89,41,,,
352,32,19,14,,,
353,62,72,83,,,
354,68,50,57,,,
355,88,38,70,,,
356,2,35,69,,,
357,47,10,88,,,
358,96,22,97,,,
359,48,32,89,,,
360,65,32,72,,,
361,48,88,26,,,
362,11,66,63,,,
363,46,13,46,,,
364,18,57,17,,,
365,58,46,77,,,
366,94,53,79,,,
367,2,14,28,,,
368,40,59,13,,,
369,43,41,4,,,
370,22,32,36,,,
371,63,7,96,,,
372,6,54,1,,,
373,67,48,85,,,
374,66,61,30,,,
375,48,58,98,,,
376,73,22,31,,,
377,11,82,31,,,
378,85,46,22,,,
379,96,41,97,,,
380,22,31,60,,,
381,28,95,22,,,
382,88,19,49,,,
383,13,52,11,,,
384,61,20,18,,,
385,55,51,41,,,
386,48,95,60,,,
387,1,63,66,,,
388,4,6,94,,,
389,3,20,0,,,
390,88,59,36,,,
391,94,15,6,,,
392,35,28,25,,,
393,52,60,41,,,
394,34,70,74,,,
395,44,26,42,,,
396,85,10,49,,,
397,70,27,91,,,
398,86,24,8,,,
399,72,56,64,,,
400,20,43,50,,,
401,27,80,10,,,
402,47,75,1,,,
403,4,65,45,,,
404,95,71,26,,,
405,34,91,44,,,
406,57,59,14,,,
407,29,72,84,,,
408,80,98,36,,,
409,83,0,37,,,
410,91,50,1,,,
411,65,69,4,,,
412,80,50,32,,,
413,27,92,15,,,
414,53,47,63,,,
415,60,46,45,,,
416,26,53,75,,,
417,70,34,27,,,
418,37,88,9,,,
419,59,84,84,,,
420,98,54,97,,,
421,6,57,72,,,
422,96,84,93,,,
423,37,19,41,,,
424,32,57,94,,,
425,29,25,12,,,
426,23,79,53,,,
427,44,23,49,,,
428,51,43,86,,,
429,75,38,51,,,
430,11,48,9,,,
431,43,41,90,,,
432,44,40,58,,,
433,53,89,73,,,
434,1,84,85,,,
435,77,76,22,,,
436,23,25,13,,,
437,89,23,76,,,
438,55,19,63,,,
439,11,87,18,,,
440,8,92,42,,,
441,94,70,30,,,
442,84,74,47,,,
443,81,24,10,,,
444,63,32,94,,,
445,71,48,30,,,
446,26,77,97,,,
447,38,37,70,,,
448,35,90,3,,,
449,57,25,9,,,
450,12,1,54,,,
451,66,80,56,,,
452,85,85,82,,,
453,58,44,67,,,
454,32,82,75,,,
455,19,42,55,,,
456,72,46,65,,,
457,82,2,5,,,
458,68,74,84,,,
459,81,47,90,,,
460,58,12,63,,,
461,32,63,20,,,
462,27,39,55,,,
463,92,6,60,,,
464,42,69,3,,,
465,52,97,10,,,
466,56,6,92,,,
467,24,22,41,,,
468,94,79,31,,,
469,12,70,12,,,
470,27,87,94,,,
471,94,17,62,,,
472,5,36,2,,,
473,0,47,11,,,
474,72,77,25,,,
475,94,98,56,,,
476,97,84,28,,,
477,96,87,48,,,
478,14,82,76,,,
479,29,26,94,,,
480,52,51,43,,,
481,87,45,72,,,
482,68,17,11,,,
483,78,65,24,,,
484,29,15,16,,,
485,47,19,22,,,
486,94,82,8,,,
487,85,42,77,,,
488,54,98,0,,,
489,12,54,10,,,
490,70,66,89,,,
491,40,30,38,,,
492,47,10,13,,,
493,57,70,10,,,
494,21,2,13,,,
495,63,69,30,,,
496,38,38,53,,,
497,21,24,53,,,
498,62,82,54,,,
499,10,49,52,,,
500,47,85,23,,,
501,16,35,62,,,
502,81,73,42,,,
503,52,17,82,,,
504,26,50,62,,,
505,73,3,95,,,
506,7,35,88,,,
507,89,11,86,,,
508,62,79,19,,,
509,77,43,11,,,
510,15,35,31,,,
511,62,90,33,,,
512,89,77,71,,,
513,3,47,66,,,
514,37,17,4,,,
515,20,23,61,,,
516,49,85,50,,,
517,96,68,83,,,
518,97,20,12,,,
519,34,7,14,,,
520,97,82,20,,,
521,58,2,62,,,
522,74,13,59,,,
523,15,6,79,,,
524,1,20,63,,,
525,81,27,69,,,
526,60,63,4,,,
527,31,20,8,,,
528,23,91,39,,,
529,1,75,15,,,
530,50,29,26,,,
531,36,92,84,,,
532,88,91,97,,,
533,62,44,41,,,
534,70,71,76,,,
535,2,50,96,,,
536,19,74,69,,,
537,47,59,34,,,
538,58,91,14,,,
539,88,76,84,,,
540,18,33,94,,,
541,3,70,6,,,
542,5,91,61,,,
543,4,64,4,,,
544,48,78,34,,,
545,69,43,64,,,
546,78,83,68,,,
547,91,38,68,,,
548,5,6,60,,,
549,79,77,93,,,
550,43,46,95,,,
551,88,43,35,,,
552,71,48,1,,,
553,75,72,76,,,
554,22,55,57,,,
555,66,45,85,,,
556,13,45,99,,,
557,85,88,39,,,
558,31,77,66,,,
559,57,54,80,,,
560,53,66,88,,,
561,15,87,5,,,
562,32,65,11,,,
563,68,31,37,,,
564,54,51,35,,,
565,95,98,78,,,
566,55,13,10,,,
567,66,37,59,,,
568,31,76,11,,,
569,83,19,55,,,
570,17,13,87,,,
571,95,82,52,,,
572,58,47,21,,,
573,89,90,99,,,
574,53,79,43,,,
575,34,23,31,,,
576,32,60,92,,,
577,37,76,63,,,
578,92,85,96,,,
579,0,78,50,,,
580,70,19,65,,,
581,77,29,52,,,
582,88,84,40,,,
583,23,39,34,,,
584,93,6,69,,,
585,53,28,6,,,
586,32,1,12,,,
587,95,32,99,,,
588,73,43,25,,,
589,77,97,20,,,
590,79,18,76,,,
591,97,55,88,,,
592,76,22,0,,,
593,96,75,46,,,
594,89,25,11,,,
595,34,97,93,,,
596,67,54,21,,,
597,14,51,58,,,
598,2,52,90,,,
599,89,75,83,,,
600,74,89,48,,,
601,14,57,55,,,
602,70,22,42,,,
603,81,85,16,,,
604,60,88,31,,,
605,16,34,89,,,
606,1,75,61,,,
607,2,13,2,,,
608,85,2,67,,,
609,51,66,17,,,
610,91,84,3,,,
611,29,55,68,,,
612,76,93,70,,,
613,43,13,35,,,
614,99,21,51,,,
615,3,36,2,,,
616,43,30,12,,,
617,99,59,1,,,
618,73,22,94,,,
619,93,60,77,,,
620,18,49,44,,,
621,83,95,0,,,
622,71,34,53,,,
623,18,7,75,,,
624,24,16,75,,,
625,16,39,38,,,
626,14,87,53,,,
627,32,84,92,,,
628,69,57,76,,,
629,52,52,20,,,
630,53,59,37,,,
631,39,1,17,,,
632,52,44,17,,,
633,64,36,36,,,
634,76,94,65,,,
635,26,3,51,,,
636,41,10,20,,,
637,90,64,56,,,
638,50,3,32,,,
639,61,60,81,,,
640,17,7,46,,,
641,75,84,10,,,
642,42,16,72,,,
643,25,37,4,,,
644,19,42,40,,,
645,21,73,9,,,
646,85,33,4,,,
647,14,10,29,,,
648,20,86,33,,,
649,52,25,46,,,
650,90,51,74,,,
651,23,22,35,,,
652,49,13,22,,,
653,39,73,43,,,
654,2,73,81,,,
655,5,86,35,,,
656,90,35,27,,,
657,73,31,75,,,
658,44,68,82,,,
659,97,10,7,,,
660,37,29,79,,,
661,54,26,34,,,
662,12,18,14,,,
663,1,72,55,,,
664,24,44,95,,,
665,40,11,39,,,
666,16,12,99,,,
667,73,11,47,,,
668,25,88,18,,,
669,32,6,60,,,
670,99,90,81,,,
671,4,75,9,,,
672,36,61,99,,,
673,99,55,37,,,
674,88,55,97,,,
675,17,28,25,,,
676,41,26,70,,,
677,51,50,48,,,
678,66,22,45,,,
679,3,83,0,,,
680,29,51,6,,,
681,74,88,90,,,
682,92,83,2,,,
683,27,15,1,,,
684,74,5,0,,,
685,68,12,74,,,
686,14,96,96,,,
687,96,68,37,,,
688,76,66,50,,,
689,13,60,14,,,
690,17,14,64,,,
691,48,63,55,,,
692,26,78,23,,,
693,57,91,63,,,
694,78,20,77,,,
695,71,16,69,,,
696,11,3,74,,,
697,47,42,11,,,
698,57,81,61,,,
699,50,78,96,,,
700,68,28,51,,,
701,49,83,62,,,
702,61,52,15,,,
703,25,2,43,,,
704,85,3,86,,,
705,0,36,19,,,
706,67,79,58,,,
707,88,66,24,,,
708,0,48,94,,,
709,2,57,20,,,
710,91,60,14,,,
711,38,65,20,,,
712,18,6,32,,,
713,24,41,94,,,
714,13,59,12,,,
715,41,6,45,,,
716,74,98,88,,,
717,4,82,46,,,
718,25,31,82,,,
719,4,72,20,,,
720,73,18,3,,,
721,77,54,27,,,
722,55,50,53,,,
723,55,19,38,,,
724,94,69,37,,,
725,93,32,57,,,
726,96,34,30,,,
727,82,74,64,,,
728,3,89,96,,,
729,78,88,29,,,
730,82,51,76,,,
731,26,2,53,,,
732,54,30,84,,,
733,12,27,5,,,
734,16,37,64,,,
735,21,97,67,,,
736,16,41,95,,,
737,77,60,44,,,
738,46,93,58,,,
739,5,72,44,,,
740,2,20,96,,,
741,19,69,31,,,
742,23,3,98,,,
743,17,64,3,,,
744,93,6,11,,,
745,62,82,36,,,
746,45,60,18,,,
747,2,41,3,,,
748,0,96,80,,,
749,9,11,1,,,
750,72,78,62,,,
751,20,92,15,,,
752,71,31,36,,,
753,71,50,70,,,
754,51,88,53,,,
755,91,78,67,,,
756,47,71,5,,,
757,87,73,74,,,
758,54,30,33,,,
759,99,13,76,,,
760,44,20,36,,,
761,98,51,29,,,
762,5,62,5,,,
763,64,9,42,,,
764,39,18,56,,,
765,4,16,92,,,
766,23,52,87,,,
767,49,99,32,,,
768,81,86,45,,,
769,97,66,70,,,
770,82,64,65,,,
771,61,83,54,,,
772,6,6,35,,,
773,7,23,27,,,
774,15,0,93,,,
775,88,67,82,,,
776,91,88,80,,,
777,20,48,2,,,
778,55,96,71,,,
779,90,35,68,,,
780,31,75,43,,,
781,47,15,97,,,
782,35,32,72,,,
783,0,96,98,,,
784,83,68,56,,,
785,2,8,32,,,
786,74,40,41,,,
787,93,94,30,,,
788,37,71,59,,,
789,78,70,56,,,
790,57,42,7,,,
791,45,55,50,,,
792,65,56,83,,,
793,47,42,50,,,
794,49,80,93,,,
795,79,29,21,,,
796,2,65,69,,,
797,91,96,63,,,
798,23,64,89,,,
799,30,87,30,,,
800,3,39,88,,,
801,74,46,46,,,
802,3,53,64,,,
803,38,15,44,,,
804,33,85,59,,,
805,60,79,67,,,
806,98,18,84,,,
807,63,46,94,,,
808,13,77,95,,,
809,87,53,41,,,
810,14,56,92,,,
811,77,62,72,,,
812,89,9,83,,,
813,31,39,64,,,
814,24,57,29,,,
815,8,3,74,,,
816,17,23,21,,,
817,46,71,95,,,
818,67,76,76,,,
819,40,73,26,,,
820,89,46,82,,,
821,30,17,39,,,
822,99,22,82,,,
823,79,66,78,,,
824,76,67,16,,,
825,62,70,59,,,
826,76,32,0,,,
827,43,67,36,,,
828,23,54,58,,,
829,87,43,44,,,
830,16,76,69,,,
831,67,6,20,,,
832,30,61,70,,,
833,8,57,54,,,
834,96,96,82,,,
835,24,87,51,,,
836,62,12,25,,,
837,71,9,38,,,
838,92,38,51,,,
839,79,62,71,,,
840,24,83,85,,,
841,5,13,14,,,
842,99,53,61,,,
843,14,68,80,,,
844,16,51,18,,,
845,93,30,19,,,
846,85,47,73,,,
847,39,45,66,,,
848,54,61,26,,,
849,62,81,43,,,
850,63,63,58,,,
851,96,76,22,,,
852,38,8,77,,,
853,50,43,15,,,
854,89,5,49,,,
855,90,57,33,,,
856,73,50,36,,,
857,6,94,50,,,
858,76,26,9,,,
859,2,45,37,,,
860,84,36,55,,,
861,34,64,45,,,
862,77,29,50,,,
863,90,91,26,,,
864,15,98,19,,,
865,88,18,7,,,
866,32,8,61,,,
867,28,98,83,,,
868,48,15,68,,,
869,70,42,65,,,
870,56,54,34,,,
871,34,55,35,,,
872,74,28,12,,,
873,58,40,55,,,
874,59,77,95,,,
875,97,63,26,,,
876,28,46,70,,,
877,91,86,64,,,
878,68,73,79,,,
879,30,82,86,,,
880,29,64,93,,,
881,40,35,74,,,
882,42,35,95,,,
883,65,18,98,,,
884,87,37,63,,,
885,9,95,24,,,
886,48,94,2,,,
887,53,0,99,,,
888,75,29,15,,,
889,58,9,27,,,
890,26,91,92,,,
891,54,5,40,,,
892,97,1,16,,,
893,12,25,63,,,
894,60,61,30,,,
895,87,59,70,,,
896,34,22,18,,,
897,17,66,12,,,
898,87,63,27,,,
899,30,38,32,,,
900,94,53,21,,,
901,53,27,91,,,
902,50,81,16,,,
903,59,45,87,,,
904,27,1,9,,,
905,46,53,96,,,
906,11,71,69,,,
907,42,7,61,,,
908,74,89,8,,,
909,55,50,28,,,
910,62,1,6,,,
911,84,82,5,,,
912,25,44,57,,,
913,4,12,86,,,
914,53,80,41,,,
915,60,31,79,,,
916,23,42,54,,,
917,35,89,91,,,
918,34,77,8,,,
919,43,67,61,,,
920,29,15,16,,,
921,15,54,3,,,
922,92,76,30,,,
923,95,9,86,,,
924,36,99,67,,,
925,66,54,88,,,
926,17,90,66,,,
927,65,9,81,,,
928,9,1,2,,,
929,20,32,95,,,
930,20,34,46,,,
931,54,81,67,,,
932,69,73,84,,,
933,43,39,89,,,
934,14,91,6,,,
935,95,49,27,,,
936,72,44,0,,,
937,83,8,0,,,
938,60,73,94,,,
939,92,50,61,,,
940,51,62,85,,,
941,83,80,70,,,
942,81,91,54,,,
943,85,20,67,,,
944,67,73,17,,,
945,23,9,19,,,
946,95,85,68,,,
947,55,89,54,,,
948,20,72,36,,,
949,74,50,93,,,
950,44,20,76,,,
951,89,92,97,,,
952,58,2,61,,,
953,4,6,97,,,
954,15,47,87,,,
955,22,73,85,,,
956,25,37,70,,,
957,29,78,63,,,
958,80,72,69,,,
959,84,10,96,,,
960,87,20,96,,,
961,40,19,71,,,
962,55,65,67,,,
963,77,20,33,,,
964,98,15,38,,,
965,37,53,23,,,
966,4,52,43,,,
967,72,35,4,,,
968,26,31,75,,,
969,53,93,13,,,
970,89,66,29,,,
971,73,56,52,,,
972,18,14,26,,,
973,37,47,5,,,
974,5,94,79,,,
975,69,24,83,,,
976,86,16,88,,,
977,15,93,80,,,
978,98,90,12,,,
979,12,79,13,,,
980,45,64,27,,,
981,28,87,54,,,
982,76,49,53,,,
983,95,65,89,,,
984,84,82,46,,,
985,12,94,50,,,
986,94,61,61,,,
987,76,36,53,,,
988,96,46,66,,,
989,10,4,65,,,
990,30,68,30,,,
991,98,53,29,,,
992,55,94,59,,,
993,72,30,34,,,
994,94,62,68,,,
995,55,89,68,,,
996,42,62,25,,,
997,9,83,70,,,
998,23,82,31,,,
999,75,78,68,,,
